topology,backend,hamiltonian_mode,lambda,tau_eq_global,tau_eq_probe,tau_dephase_global,tau_dephase_probe,tau_eq_site_var,tau_dephase_site_var,tau_eq_mode1,tau_dephase_mode1,tau_eq_mode_dom,tau_dephase_mode_dom,tail_mean_global,tail_std_global,threshold_global,tail_mean_probe,tail_std_probe,threshold_probe,tail_mean_site_var,tail_std_site_var,threshold_site_var,tail_mean_mode1,tail_std_mode1,threshold_mode1,tail_mean_mode_dom,tail_std_mode_dom,threshold_mode_dom,final_global_lambda,final_probe_gap,max_abs_probe_gap,final_site_var,final_mode1_amp,final_mode_dom_amp,max_abs_mode1_amp,max_abs_mode_dom_amp,mode1_index,mode_dom_index,mode1_eigval,mode_dom_eigval,dim_nominal,dim_hotspot
cycle,iterative,sparse,0.61,,,24.848484848484848,,,,,,,,0.5042173931232551,0.11936007725746042,0.03634875433933159,-4.828293237446601e-10,2.0594320092866207e-09,,1.68180606587285e-18,1.7094952195107325e-18,,-4.832694783349295e-10,1.006036266999707e-09,,-6.329945256990078e-10,2.3725339293947414e-09,,0.5532165075424169,-8.148881569525201e-10,6.5780433322615295e-09,9.864430469870224e-19,5.708279681442942e-10,-2.039312128552727e-09,3.177774327936319e-09,9.331267736773865e-09,1,2,1.3819660112501047,1.3819660112501055,100000,100000
path,iterative,sparse,1.0,,,14.545454545454547,17.575757575757578,,,,22.424242424242426,,17.575757575757578,0.6681459670420666,0.05412683426566691,0.04640833986300115,0.45313049947466855,0.0691481482265401,0.03088334351873846,0.058417571500248996,0.023724703505014218,0.004558821383302439,2.3963068182422746e-09,3.5363103243625422e-09,1.1694859143163333e-09,-0.5086581113085547,0.12228589801102895,0.03397966173216493,0.6566005966439781,0.4255602912875853,0.6021810858295018,0.04567981805240175,-3.0975100140189834e-09,-0.45469811623202067,1.701488074719644e-08,0.6884170095307592,1,2,0.381966011250105,1.3819660112501055,20000,20000
star,iterative,sparse,1.5,,,7.272727272727273,7.272727272727273,,4.242424242424242,,,,7.272727272727273,0.8239372999721295,0.1257868102387915,0.04192985488935979,-1.54488243730106,0.23585026946313292,0.0786184779951098,0.39076593520241965,0.11588845785160026,0.027216292187190353,1.6937506397418644e-10,9.256671105803418e-10,,-1.381784858951488,0.21095089377510334,0.07031850436448282,0.6967321697893049,-1.3063728181629304,1.9247452505067213,0.2730575904858634,2.2172128022468485e-10,-1.1684553703198584,2.5695072458642443e-09,1.7215444872594452,1,4,1.0,5.0,20000,20000
star,iterative,sparse,1.55,,,17.575757575757578,17.575757575757578,,10.90909090909091,,,,17.575757575757578,0.8640551934589267,0.07271948764731906,0.044087242914229774,-1.62010348794354,0.13634903933707246,0.08266358043615438,0.4229322194402053,0.0691219998724254,0.029426968110440974,-2.402384680078029e-10,7.14827229379928e-10,,-1.4490646116644188,0.12195428825127125,0.07393655407257278,0.8647012018194454,-1.6213147540132784,1.9879658483809663,0.42058584474074623,-6.949197883798774e-10,-1.4501480006205336,1.4782647883571087e-09,1.7780907101619206,1,4,1.0,5.0,20000,20000
star,iterative,sparse,1.6,,,8.484848484848484,8.484848484848484,,4.848484848484849,,,,8.484848484848484,0.854867519867768,0.13466625809215654,0.04232115029142412,-1.60287659964964,0.25249923393116924,0.07935215680235824,0.4212750811462942,0.1296242197261903,0.02892389435762553,1.1826980922391428e-10,2.0667447404092746e-10,,-1.4336564146357358,0.2258421805271948,0.07097472670320702,1.0333642326829595,-1.9375579361071005,2.0130607487871557,0.6006609210309987,2.0028129155136298e-10,-1.7330045023470055,5.426795124385819e-10,1.800536270787065,1,4,1.0,5.0,20000,20000
star,iterative,sparse,1.65,,,5.454545454545455,5.454545454545455,,4.848484848484849,,,,5.454545454545455,0.8640095789134289,0.10142665607816356,0.042044644584516074,-1.6200179604396574,0.19017498014845396,0.07883370858884278,0.4256999544472645,0.09790945002845551,0.02890127189426762,2.6583943379954178e-11,5.829749728418742e-11,,-1.4489881137460472,0.17009767329094955,0.07051101253559729,0.6964866020889617,-1.3059123789427651,2.0508891366457007,0.27286514262530304,-2.997824211092848e-11,-1.168043540766574,1.8015600122822661e-10,1.8343710094250394,1,4,1.0,5.0,20000,20000
star,iterative,sparse,1.7,,,9.696969696969697,9.696969696969697,,6.0606060606060606,,,,9.696969696969697,0.8959577869833619,0.07974711568188252,0.04361749280120188,-1.679920850588017,0.14952584188939724,0.08178279898227117,0.4551187266650829,0.07948576568718765,0.030873691049813586,6.6818842126004085e-12,1.0451263321435394e-10,,-1.502566887498805,0.13373997875567153,0.07314875918369633,0.7881704618719552,-1.4778196159507475,2.03020132524727,0.3494321307941914,6.83221812458612e-11,-1.3218020479523236,3.7487721260553997e-10,1.8158672683508483,1,4,1.0,5.0,20000,20000
