lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,status
0.1,0.0036771042259732267,2.7920904708779286,2.7920904708779286,0.9977093069396342,0.9940406258307937,0.011479761912777171,0.029975506102809833,✓
0.11607142857142858,0.0048890308673845695,2.7920904708779286,2.7920904708779286,0.9969267957261465,0.9920527898493186,0.015413389864874706,0.04005437125925864,✓
0.13214285714285715,0.006242197814642081,2.7920904708779286,2.7920904708779286,0.9960360413206973,0.9898185873202605,0.01989867090575657,0.05143070058576928,✓
0.14821428571428574,0.007722273564230608,2.7920904708779286,2.7920904708779286,0.9950403682765243,0.9873563943452403,0.02492176137570297,0.06402756758943343,✓
0.1642857142857143,0.00931415858213236,2.7920904708779286,2.7920904708779286,0.9939434888124997,0.9846857415360222,0.030467080149275294,0.07776216217007945,✓
0.18035714285714288,0.011002281206659359,2.7920904708779286,2.7920904708779286,0.9927494873209448,0.9818269782936728,0.03651733277960001,0.09254696656385619,✓
0.19642857142857145,0.012770881613981544,2.7920904708779286,2.7920904708779286,0.9914628031981725,0.9788009491138623,0.043053540557895474,0.10829091913595772,✓
0.21250000000000002,0.014604276225560486,2.7920904708779286,2.7920904708779286,0.9900882120424517,0.9756286903061124,0.0500550750781152,0.12490053816601462,✓
0.2285714285714286,0.01648709655341618,2.7920904708779286,2.7920904708779286,0.9886308052744115,0.9723311537321707,0.05749969890141517,0.1422809819557144,✓
0.24464285714285716,0.01840449817128309,2.7920904708779286,2.7920904708779286,0.9870959682469667,0.9689289623044844,0.06536361290154076,0.16033702626463348,✓
0.26071428571428573,0.02034233715445921,2.7920904708779286,2.7920904708779286,0.9854893569244755,0.9654422001637866,0.07362151084416307,0.17897394494642316,✓
0.2767857142857143,0.022287312857440456,2.7920904708779286,2.7920904708779286,0.9838168732247817,0.9618902387767921,0.08224664170565038,0.19809828443456845,✓
0.2928571428571429,0.024227077232330307,3.1023227454199205,3.1023227454199205,0.9820846391320986,0.9582915987311601,0.09121088017288313,0.21761852720019956,✓
0.30892857142857144,0.026150311994771025,3.1023227454199205,3.1023227454199205,0.9802989697030006,0.9546638457971145,0.10048480568620899,0.23744564331453857,✓
0.32500000000000007,0.028046775802445634,3.1023227454199205,3.1023227454199205,0.9784663451021036,0.9510235188907865,0.1100377902913431,0.2574935326853773,✓
0.3410714285714286,0.029907324229394683,3.1023227454199205,3.1023227454199205,0.9765933818170774,0.947386086906793,0.1198380954587847,0.27767936335750326,✓
0.3571428571428572,0.03172390571555439,3.1023227454199205,3.1023227454199205,0.9746868032146299,0.9437659309672538,0.12985297790984923,0.2979238134561215,✓
0.3732142857142857,0.03348953687350886,3.1023227454199205,3.1023227454199205,0.9727534096090452,0.9401763484291116,0.1400488043619669,0.31815122594205014,✓
0.38928571428571435,0.03519826057617581,3.1023227454199205,3.1023227454199205,0.970800048022534,0.9366295749648728,0.1503911749744176,0.33828968638697887,✓
0.40535714285714286,0.03684509016426041,3.1023227454199205,3.1023227454199205,0.9688335818214845,0.9331368211451085,0.16084505514311398,0.3582710345351048,✓
0.4214285714285715,0.03842594293333501,3.1023227454199205,3.1023227454199205,0.9668608604145839,0.9297083201678179,0.17137491516207534,0.37803082056689624,✓
0.4375,0.039937565816904774,3.1023227454199205,3.1023227454199205,0.9648886891973391,0.9263533836665333,0.18194487714364713,0.39750821679935555,✓
0.4535714285714286,0.04137745589886943,3.1023227454199205,3.1023227454199205,0.9629237999228332,0.9230804628575544,0.1925188684719291,0.41664589511692157,✓
0.46964285714285714,0.042743778086955064,3.1023227454199205,3.1023227454199205,0.9609728216706243,0.9198972126335401,0.20306078095699004,0.43538987979503,✓
0.48571428571428577,0.04403528197394535,3.1023227454199205,3.1023227454199205,0.9590422525747304,0.9168105565576744,0.21353463476354068,0.4536893846132993,✓
0.5017857142857144,0.04525121961765366,3.1023227454199205,3.1023227454199205,0.9571384324581143,0.9138267510464554,0.22390474610767166,0.4714966423059107,✓
0.5178571428571429,0.04639126569192198,3.1023227454199205,3.1023227454199205,0.9552675165052056,0.9109514473401501,0.23413589765119294,0.4887667335062645,✓
0.5339285714285715,0.0474554412046676,3.1023227454199205,3.1023227454199205,0.9534354500865068,0.9081897501424807,0.24419351047450708,0.5054574214425767,✓
0.55,0.04844404174812167,3.1023227454199205,3.1023227454199205,0.9516479448307864,0.9055462720618896,0.25404381647569846,0.5215289977564773,✓
0.5569444444444445,0.04884795207895498,3.1023227454199205,3.1023227454199205,0.9508907314469829,0.9044416665649382,0.2582277170705351,0.528272507601245,✓
0.5638888888888889,0.049237894139701255,3.1023227454199205,3.1023227454199205,0.950143284529372,0.9033602300681668,0.26236419434003155,0.5348905492803292,✓
0.5708333333333334,0.04961392228859529,3.1023227454199205,3.1023227454199205,0.9494060185043749,0.9023022620819742,0.26645070975707064,0.5413803224464815,✓
0.5777777777777778,0.049976094347898736,3.1023227454199205,3.1023227454199205,0.948679337516011,0.9012680494384088,0.2704847700086166,0.5477391028291327,✓
0.5847222222222223,0.05032447084311187,3.1023227454199205,3.1023227454199205,0.9479636351401967,0.9002578668232535,0.27446392947398024,0.5539642409830163,~
0.5916666666666667,0.05065911428578118,3.1023227454199205,3.1023227454199205,0.9472592941084925,0.899271977269982,0.2783857926732934,0.5600531612016261,~
0.5986111111111112,0.050980088500455545,3.1023227454199205,3.1023227454199205,0.9465666860413172,0.8983106326153479,0.2822480166830556,0.5660033606002908,~
0.6055555555555556,0.05128745799620271,3.1023227454199205,3.1023227454199205,0.9458861711906348,0.8973740739165061,0.286048313515618,0.5718124083727563,~
0.6125,0.05158128738303225,3.1023227454199205,3.1023227454199205,0.9452180981921064,0.8964625318296162,0.28978445245956164,0.5774779452247228,~
0.6194444444444445,0.05186164083344569,3.1023227454199205,3.1023227454199205,0.9445628038266862,0.8955762269499942,0.2934542623779083,0.5829976829869364,~
0.6263888888888889,0.05212858158928735,3.1023227454199205,3.1023227454199205,0.9439206127916268,0.8947153701139083,0.2970556339612053,0.588369404410073,~
0.6333333333333334,0.05238217151396851,3.1023227454199205,3.1023227454199205,0.9432918374808527,0.8938801626622042,0.3005865219325527,0.5935909631428885,~
0.6402777777777778,0.05262247069009707,3.1023227454199205,3.1023227454199205,0.9426767777746454,0.893070796665964,0.30404494720171277,0.5986602838947762,~
