N,topology,alpha,lambda,gamma_corr,bond_cutoff,hotspot_multiplier,spin2_measured_power,spin2_measured_slope,spin2_residual_power,spin2_r2,spin2_fit_quality,postulate_residual,lambda_out,lambda_in,omega_out,omega_in,pred_out,pred_in,num_k_modes,num_k_angles
4,path,0.8,0.8,0.0,4,1.5,-0.008057760357360033,0.008057760357360033,2.00805776035736,0.9656830828303347,True,0.006725760343508025,0.1137089531333725,0.2703859894403452,1.0030816772055338,0.9064597659817613,0.9166178729910769,0.8221596414869132,14,20
4,path,0.8,0.6,0.0,4,1.5,-0.004877875770992809,0.004877875770992809,2.0048778757709926,0.9661088580814345,True,0.04371459100705677,0.06813977249855196,0.1670484437408591,1.0222880380946877,0.9956221816678378,0.9483061099283939,0.8821152202109135,14,20
4,path,0.8,0.4,0.0,4,1.5,-0.002254851851063533,0.002254851851063533,2.0022548518510637,0.9664966091462961,True,0.03036687331440424,0.031752180010386676,0.07975909436943163,1.0321050227838373,1.026185807342581,0.9752275201824666,0.9400198917930671,14,20
4,path,0.8,0.2,0.0,4,1.5,-0.0005731895025743405,0.0005731895025743405,2.0005731895025742,0.9667656258233882,True,0.009146544437886539,0.008175207427172133,0.020863060568031274,1.0347831017006872,1.033916878077379,0.9935023298989578,0.9835835494670007,14,20
4,path,0.8,1.0,0.0,4,1.5,-0.011192966363997183,0.011192966363997183,2.011192966363997,0.9652759333259144,True,0.34474189659312837,0.16440186071677254,0.3776995196727138,0.9849506062400222,0.5163265703816559,0.8837658056859039,0.7679550094426156,14,20
4,path,0.8,0.6,0.02,4,1.5,-0.006527109073089191,0.006527109073089191,2.0065271090730894,0.9662376367860969,True,0.04359259501308166,0.06775432264195139,0.16580166595143286,1.02243072118039,0.9961955793391761,0.9485834942995205,0.8828920251057818,14,20
4,path,0.8,0.2,0.02,4,1.5,-0.0020181197252030214,0.0020181197252030214,2.002018119725203,0.9667925659253985,True,0.009058851340168705,0.008127750438892835,0.02069464195402729,1.0347857840492407,1.0339259500220706,0.9935398051302361,0.983713914208213,14,20
4,path,0.8,0.4,0.02,4,1.5,-0.003865675420829123,0.003865675420829123,2.0038656754208293,0.9665962855125867,True,0.03014171751427608,0.03156470375295181,0.07911999129157993,1.0321420546609723,1.0263230321239496,0.975370183291942,0.9404718973381067,14,20
4,path,0.8,0.8,0.02,4,1.5,-0.009709298533722701,0.009709298533722701,2.0097092985337226,0.9658201676504595,True,0.007360092818950226,0.11310882011937093,0.26857275676791414,1.0031343598384304,0.9078216082738942,0.9170214303877327,0.8231413308509916,14,20
4,path,0.8,1.0,0.02,4,1.5,-0.01281672677126646,0.01281672677126646,2.0128167267712667,0.9654152045764852,True,0.34503970242304494,0.16361354186786686,0.3755111391328796,0.9842238552530822,0.5163265703816559,0.884258648476388,0.7689888859616218,14,20
4,path,0.8,0.4,0.05,4,1.5,-0.006080647697335246,0.006080647697335246,2.006080647697335,0.9666108819113411,True,0.029791371411665102,0.03130177752454551,0.0782135777032814,1.0321838966501427,1.0264778818671896,0.975570331616163,0.9411137041389634,14,20
4,path,0.8,0.2,0.05,4,1.5,-0.0033983824285433537,0.0033983824285433537,2.0033983824285433,0.9666703314233281,True,0.008936364983472722,0.008070283422362027,0.02048284497131619,1.0347848511389715,1.0339222637383658,0.993585188738098,0.9838779051189954,14,20
4,path,0.8,0.6,0.05,4,1.5,-0.008909795739614111,0.008909795739614111,2.0089097957396143,0.9663183500003671,True,0.04336139929830518,0.06720039788987119,0.16399479775891687,1.022622856497971,0.9969620109312053,0.9489824038942557,0.8840202255207465,14,20
4,path,0.8,0.8,0.05,4,1.5,-0.012135427134259759,0.012135427134259759,2.0121354271342597,0.9659409811917222,True,0.008112799992804565,0.11223858631837841,0.2659206690245127,1.0032275443497807,0.9096606139403056,0.9176072477716863,0.8245814082107401,14,20
4,path,0.8,0.2,0.1,4,1.5,-0.0034950326387056282,0.0034950326387056282,2.0034950326387055,0.9659347305595768,True,0.008755786775115793,0.008010951423993256,0.020238319420471565,1.0347698938186278,1.0338693794364593,0.9936320495342864,0.9840673052363078,14,20
4,path,0.8,1.0,0.05,4,1.5,-0.015221131126106282,0.015221131126106282,2.0152211311261063,0.9655606472751683,True,0.3455164089301801,0.16246506030992278,0.3722909257304987,0.9832088325542601,0.5163265703816559,0.8849776430758048,0.7705153127433907,14,20
4,path,0.8,0.4,0.1,4,1.5,-0.009196843270077361,0.009196843270077361,2.0091968432700775,0.966508799423351,True,0.02917650418195572,0.03091163359295336,0.07684030716894,1.032218121405239,1.0266043325181742,0.9758674737723739,0.9420877503089328,14,20
4,path,0.8,0.6,0.1,4,1.5,-0.012620188004612417,0.012620188004612417,2.0126201880046124,0.9663263333146547,True,0.04284533696508741,0.06634047872997434,0.16114898302120248,1.0228843696635401,0.9979873754434467,0.9496023408822156,0.8858029981524769,14,20
4,path,0.8,0.8,0.1,4,1.5,-0.01603292235356115,0.01603292235356115,2.016032922353561,0.9660241595237335,True,0.008860589747144432,0.11086618108186858,0.2616777820616334,1.0034099224432087,0.9121961544664808,0.9185326355940951,0.8268957940859883,14,20
