lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,status
0.1,0.0,2.1716259217939444,2.1716259217939444,0.9737427273917204,0.9737427273917204,0.033706635065984696,0.033706635065984696,✓
0.13214285714285715,0.0,2.1716259217939444,2.1716259217939444,0.955637521441346,0.955637521441346,0.05802733458464461,0.05802733458464461,✓
0.1642857142857143,4.440892098500626e-16,2.1716259217939444,2.1716259217939444,0.934161535634314,0.9341615356343144,0.08809833986712522,0.08809833986712493,✓
0.19642857142857145,2.220446049250313e-16,2.1716259217939444,2.1716259217939444,0.910236259126536,0.9102362591265358,0.12326983787648901,0.12326983787648932,✓
0.2285714285714286,2.220446049250313e-16,2.1716259217939444,2.1716259217939444,0.8847584521343865,0.8847584521343868,0.16281498581280185,0.16281498581280157,✓
0.26071428571428573,0.1250000000000001,2.4818581963359363,2.1716259217939444,0.858542729530254,0.8585427295302542,0.20595548946518852,0.20595548946518824,✗
0.2928571428571429,0.12499999999999989,2.4818581963359363,2.1716259217939444,0.8322877267855875,0.8322877267855875,0.25188445626571493,0.25188445626571493,✗
0.32500000000000007,0.12499999999999989,2.4818581963359363,2.1716259217939444,0.80656318861326,0.80656318861326,0.29978558115099396,0.29978558115099396,✗
0.3571428571428572,3.3306690738754696e-16,2.4818581963359363,2.4818581963359363,0.7818126730487465,0.7818126730487462,0.3488484749492692,0.3488484749492697,✓
0.38928571428571435,1.1102230246251565e-16,2.4818581963359363,2.4818581963359363,0.7583660552604903,0.7583660552604902,0.39828052538643605,0.39828052538643627,✓
0.4214285714285715,2.220446049250313e-16,2.4818581963359363,2.4818581963359363,0.7364568382466951,0.7364568382466952,0.4473160341289146,0.44731603412891413,✓
0.4535714285714286,6.661338147750939e-16,2.4818581963359363,2.4818581963359363,0.7162406404797877,0.7162406404797883,0.495223503601615,0.49522350360161405,✓
0.48571428571428577,1.1102230246251565e-16,2.4818581963359363,2.4818581963359363,0.6978125928131858,0.6978125928131856,0.5413118978846554,0.5413118978846556,✓
0.5178571428571429,3.3306690738754696e-16,2.4818581963359363,2.4818581963359363,0.6812224714111177,0.6812224714111175,0.5849365331573524,0.5849365331573532,✓
0.55,1.1102230246251565e-15,2.4818581963359363,2.4818581963359363,0.6664871505575872,0.666487150557588,0.625505025046983,0.6255050250469809,✓
0.5638888888888889,8.881784197001252e-16,2.4818581963359363,2.4818581963359363,0.6606929872074094,0.66069298720741,0.6419528800864829,0.6419528800864812,✓
0.5777777777777778,8.881784197001252e-16,2.4818581963359363,2.4818581963359363,0.6552426624411924,0.6552426624411919,0.6576901912078817,0.6576901912078833,✓
0.5916666666666667,0.0,2.4818581963359363,2.4818581963359363,0.6501342251122768,0.6501342251122768,0.6726798893476615,0.6726798893476615,✓
0.6055555555555556,9.992007221626409e-16,2.4818581963359363,2.4818581963359363,0.6453653545223837,0.6453653545223831,0.6868873634765982,0.6868873634766005,✓
0.6194444444444445,2.220446049250313e-16,2.4818581963359363,2.4818581963359363,0.6409334266111497,0.6409334266111496,0.7002805566082092,0.70028055660821,✓
0.6333333333333334,6.661338147750939e-16,2.4818581963359363,2.4818581963359363,0.6368355702086307,0.6368355702086311,0.7128300592419695,0.7128300592419681,✓
0.6472222222222223,3.3306690738754696e-16,2.4818581963359363,2.4818581963359363,0.6330687142711265,0.6330687142711263,0.7245091991146132,0.7245091991146141,✓
0.6611111111111112,2.220446049250313e-16,2.4818581963359363,2.4818581963359363,0.6296296269498147,0.6296296269498146,0.7352941260968212,0.7352941260968214,✓
0.675,5.551115123125783e-16,2.4818581963359363,2.4818581963359363,0.6265149472684267,0.6265149472684264,0.7451638910610775,0.7451638910610785,✓
0.6888888888888889,2.220446049250313e-16,2.4818581963359363,2.4818581963359363,0.6237212101113079,0.6237212101113078,0.7541005175644546,0.7541005175644547,✓
0.7027777777777778,0.12500000000000144,2.4818581963359363,2.7920904708779286,0.6212448651481625,0.6212448651481617,0.7620890652382035,0.762089065238206,✗
0.7166666666666667,0.1250000000000011,2.4818581963359363,2.7920904708779286,0.6190822902478896,0.6190822902478891,0.7691176838534369,0.7691176838534384,✗
0.7305555555555556,0.125,2.4818581963359363,2.7920904708779286,0.617229799859909,0.6172297998599091,0.7751776571444041,0.7751776571444038,✗
0.7444444444444445,0.12499999999999978,2.4818581963359363,2.7920904708779286,0.6156836487670779,0.6156836487670783,0.7802634356185302,0.7802634356185291,✗
0.7583333333333333,0.12499999999999978,2.4818581963359363,2.7920904708779286,0.6144400315386515,0.6144400315386517,0.7843726577674465,0.7843726577674457,✗
0.7722222222222223,0.12500000000000044,2.4818581963359363,2.7920904708779286,0.6134950779325885,0.6134950779325884,0.7875061593197511,0.7875061593197519,✗
0.7861111111111112,0.12500000000000022,2.4818581963359363,2.7920904708779286,0.6128448444126765,0.6128448444126765,0.7896679704435546,0.7896679704435547,✗
0.8,0.12499999999999978,2.4818581963359363,2.7920904708779286,0.6124853018550183,0.6124853018550186,0.7908653011168719,0.7908653011168708,✗
0.9,0.12500000000000022,2.4818581963359363,2.7920904708779286,0.6180826931332274,0.6180826931332274,0.7723831113332325,0.7723831113332322,✗
1.0,0.25000000000000033,2.4818581963359363,3.1023227454199205,0.6366114865271117,0.6366114865271115,0.713520964441105,0.7135209644411055,✗
1.1,0.2500000000000012,2.4818581963359363,3.1023227454199205,0.6647866378870158,0.664786637887015,0.6303025343184535,0.630302534318456,✗
1.2,15.116956262470417,0.31023227454199204,5.0,0.6955970078220999,0.6955970078221,0.5470175057447769,0.5470175057447765,✗
1.3,3.0,0.31023227454199204,1.2409290981679681,0.7156912115385928,0.7156912115385927,0.4965632941233836,0.49656329412338385,✗
1.4,0.4999999999999999,2.4818581963359363,1.2409290981679681,0.7097559630948421,0.709755963094842,0.5111687185401877,0.5111687185401882,✗
1.5,5.0,0.31023227454199204,1.861393647251952,0.6752157678786921,0.6752157678786923,0.601260085242222,0.6012600852422215,✗
