scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,frustration_time,deltaB,kappa,k0,backend,effective_backend,total_dim,source_site,raw_power,raw_residual,raw_r2,bg_power,bg_residual,bg_r2,delta_lambda_edge_l2,delta_lambda_edge_maxabs,shell_count,lambda_shell_json
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,1.0,6.5,0.2,4,auto,sparse,32768,2,-0.016053095623340324,2.0160530956233402,0.9776422064627704,-0.33353052942609224,2.3335305294260924,0.6359492477768711,1.888171206847476e-10,1.235098689988945e-10,3,"{""0"": 0.39388088418330014, ""1"": 0.39388088406457067, ""2"": 0.39388088397361154}"
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,1.0,6.5,0.2,4,auto,sparse,32768,3,-0.026257931744993527,2.0262579317449934,0.9968257047461201,2.6635628595747783e-14,1.9999999999999734,0.0,4.1185084196088154e-11,2.367933626956642e-11,3,"{""0"": 0.5453283845931945, ""1"": 0.5453283845458549, ""2"": 0.5453283845781484}"
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,1.0,6.5,0.2,4,auto,sparse,8192,2,-0.022786006161194503,2.0227860061611946,0.959504253106216,-4.072231950963148e-15,2.000000000000004,0.0,9.714929599663835e-12,4.9298828908028725e-12,3,"{""0"": 0.4055275000859268, ""1"": 0.29724726980140936, ""2"": 0.09289885270785765}"
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,1.0,6.5,0.2,4,auto,sparse,8192,2,-0.030554452716189964,2.03055445271619,0.9573698795877166,-4.072231950963148e-15,2.000000000000004,0.0,2.1700913313998637e-11,1.3025316936143838e-11,3,"{""0"": 0.5661904033576928, ""1"": 0.4315311535866664, ""2"": 0.148426327968093}"
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,1.0,6.5,0.2,4,auto,sparse,8192,0,-0.1443318587808015,2.1443318587808013,0.9903880830417381,-6.803100539407295e-15,2.0000000000000067,0.0,3.218003606733248e-11,2.64971378172163e-11,2,"{""0"": 1.0950187228089188, ""1"": 0.36068973494291184}"
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,1.0,6.5,0.2,4,auto,sparse,8192,0,-0.13193066062233502,2.131930660622335,0.9901931893930243,-6.803100539407295e-15,2.0000000000000067,0.0,5.3728791578679754e-11,4.115266460935629e-11,2,"{""0"": 1.184578538308779, ""1"": 0.39861574366523267}"
