N,topology,alpha,lambda,gamma_corr,bond_cutoff,hotspot_multiplier,spin2_measured_power,spin2_measured_slope,spin2_residual_power,spin2_r2,spin2_fit_quality,postulate_residual,lambda_out,lambda_in,omega_out,omega_in,pred_out,pred_in,num_k_modes,num_k_angles
4,path,0.8,1.0,-0.1,4,1.5,-0.0028490478906513087,0.0028490478906513087,2.0028490478906513,0.9618724482198984,True,0.34348920644160486,0.16862584309414633,0.3891512249363652,0.9891797423720818,0.5163265703816559,0.8811343780920002,0.7625897970753291,14,20
4,path,0.8,0.2,-0.1,4,1.5,0.012181274923096716,-0.012181274923096716,1.9878187250769033,0.9665508402028992,True,0.00965272924399474,0.008523385963074732,0.022035094401529544,1.0347274535896571,1.0337243991571075,0.9932274711315338,0.9826772905099,14,20
4,path,0.8,0.6,-0.1,4,1.5,0.004019792431240493,-0.004019792431240493,1.9959802075687596,0.9673899077596517,True,0.04395802135432181,0.07026812354860028,0.1738045520612035,1.0214021333062229,0.9920264797635239,0.9467773838546261,0.8779294870144982,14,20
4,path,0.8,0.2,-0.05,4,1.5,0.004738011133704507,-0.004738011133704507,1.9952619888662955,0.9667741000979542,True,0.00938634669465166,0.008326056421624525,0.021379949716983527,1.034764495511866,1.0338527096317767,0.993383228155267,0.9831836661245579,14,20
4,path,0.8,0.6,-0.05,4,1.5,-0.0005573003616312124,0.0005573003616312124,2.0005573003616313,0.9615316697800557,True,0.04391027004664638,0.06916131718291331,0.17031608612632063,1.0218806782003111,0.9939734955106301,0.9475717516257919,0.8800857866851105,14,20
4,path,0.8,1.0,-0.05,4,1.5,-0.0070655294835997254,0.0070655294835997254,2.0070655294835995,0.9646121187811176,True,0.34406702010783763,0.16645397406537896,0.3833181099308066,0.9869423499148304,0.5163265703816559,0.8824854339688584,0.7653132555133149,14,20
4,path,0.8,0.6,-0.02,4,1.5,-0.0031824658815590664,0.0031824658815590664,2.003182465881559,0.9658135652677503,True,0.04381133612440047,0.0685383653469752,0.1683294535403323,1.0221337418749483,0.9949993103779929,0.9480194379259195,0.8813185095182502,14,20
4,path,0.8,0.2,-0.02,4,1.5,0.001270763515816361,-0.001270763515816361,1.9987292364841835,0.9668647697607106,True,0.00923901129535154,0.008230009922904836,0.02105334025163023,1.034777738238527,1.033898454917636,0.9934590576778493,0.9834363046892569,14,20
4,path,0.8,1.0,-0.02,4,1.5,-0.009553325701597991,0.009553325701597991,2.009553325701598,0.9650831929546501,True,0.34446006739985646,0.1652086262264916,0.37992150030494604,0.9857174195144889,0.5163265703816559,0.8832619988566609,0.7669080994183674,14,20
4,path,0.8,0.2,0.0,4,1.5,-0.0005731895025743405,0.0005731895025743405,2.0005731895025742,0.9667656258233882,True,0.009146544437886539,0.008175207427172133,0.020863060568031274,1.0347831017006872,1.033916878077379,0.9935023298989578,0.9835835494670007,14,20
4,path,0.8,0.6,0.0,4,1.5,-0.004877875770992809,0.004877875770992809,2.0048778757709926,0.9661088580814345,True,0.04371459100705677,0.06813977249855196,0.1670484437408591,1.0222880380946877,0.9956221816678378,0.9483061099283939,0.8821152202109135,14,20
4,path,0.8,1.0,0.0,4,1.5,-0.011192966363997183,0.011192966363997183,2.011192966363997,0.9652759333259144,True,0.34474189659312837,0.16440186071677254,0.3776995196727138,0.9849506062400222,0.5163265703816559,0.8837658056859039,0.7679550094426156,14,20
4,path,0.8,0.2,0.02,4,1.5,-0.0020181197252030214,0.0020181197252030214,2.002018119725203,0.9667925659253985,True,0.009058851340168705,0.008127750438892835,0.02069464195402729,1.0347857840492407,1.0339259500220706,0.9935398051302361,0.983713914208213,14,20
4,path,0.8,0.6,0.02,4,1.5,-0.006527109073089191,0.006527109073089191,2.0065271090730894,0.9662376367860969,True,0.04359259501308166,0.06775432264195139,0.16580166595143286,1.02243072118039,0.9961955793391761,0.9485834942995205,0.8828920251057818,14,20
4,path,0.8,1.0,0.02,4,1.5,-0.01281672677126646,0.01281672677126646,2.0128167267712667,0.9654152045764852,True,0.34503970242304494,0.16361354186786686,0.3755111391328796,0.9842238552530822,0.5163265703816559,0.884258648476388,0.7689888859616218,14,20
4,path,0.8,0.2,0.05,4,1.5,-0.0033983824285433537,0.0033983824285433537,2.0033983824285433,0.9666703314233281,True,0.008936364983472722,0.008070283422362027,0.02048284497131619,1.0347848511389715,1.0339222637383658,0.993585188738098,0.9838779051189954,14,20
4,path,0.8,0.6,0.05,4,1.5,-0.008909795739614111,0.008909795739614111,2.0089097957396143,0.9663183500003671,True,0.04336139929830518,0.06720039788987119,0.16399479775891687,1.022622856497971,0.9969620109312053,0.9489824038942557,0.8840202255207465,14,20
4,path,0.8,1.0,0.05,4,1.5,-0.015221131126106282,0.015221131126106282,2.0152211311261063,0.9655606472751683,True,0.3455164089301801,0.16246506030992278,0.3722909257304987,0.9832088325542601,0.5163265703816559,0.8849776430758048,0.7705153127433907,14,20
4,path,0.8,0.2,0.1,4,1.5,-0.0034950326387056282,0.0034950326387056282,2.0034950326387055,0.9659347305595768,True,0.008755786775115793,0.008010951423993256,0.020238319420471565,1.0347698938186278,1.0338693794364593,0.9936320495342864,0.9840673052363078,14,20
4,path,0.8,0.6,0.1,4,1.5,-0.012620188004612417,0.012620188004612417,2.0126201880046124,0.9663263333146547,True,0.04284533696508741,0.06634047872997434,0.16114898302120248,1.0228843696635401,0.9979873754434467,0.9496023408822156,0.8858029981524769,14,20
4,path,0.8,1.0,0.1,4,1.5,-0.01913950193097874,0.01913950193097874,2.0191395019309786,0.9657011796195936,True,0.34639006053313504,0.1606394339896265,0.36708773776973175,0.981715442265825,0.5163265703816559,0.8861229665646737,0.7729945449490484,14,20
4,cycle,0.8,0.2,-0.1,4,1.5,0.013783854241502067,-0.013783854241502067,1.986216145758498,0.9988128712333275,True,4.440892098500626e-16,0.02749612300029913,0.027496123000299442,1.0333526424954087,1.0333526424954087,0.9784765507266494,0.978476550726649,14,20
4,cycle,0.8,0.6,-0.1,4,1.5,0.00935326782112809,-0.00935326782112809,1.990646732178872,0.9721738072658879,True,3.552713678800501e-15,0.21279606932177364,0.21279606932177417,0.9918942523679091,0.9918942523679122,0.8545278635999912,0.8545278635999909,14,20
