model,k,power
baseline,0.7853981633974483,0.030832399535534807
baseline,0.9995976625058433,0.03084227344515806
baseline,1.2137971616142382,0.03085421498231658
baseline,1.4279966607226333,0.030868036848408588
baseline,1.6421961598310282,0.030883522424286294
baseline,1.856395658939423,0.030900429656534688
baseline,2.0705951580478184,0.030918495649856777
baseline,2.284794657156213,0.03093744191404675
baseline,2.498994156264608,0.03095698016807693
baseline,2.713193655373003,0.030976818557622313
baseline,2.927393154481398,0.030996668101129582
baseline,3.141592653589793,0.03101624914810991
correlated,0.7853981633974483,0.0300485649194085
correlated,0.9995976625058433,0.03006616854295955
correlated,1.2137971616142382,0.03008745656586513
correlated,1.4279966607226333,0.030112094188442195
correlated,1.6421961598310282,0.03013969442715402
correlated,1.856395658939423,0.030169825129883095
correlated,2.0705951580478184,0.03020201723180333
correlated,2.284794657156213,0.03023577415324393
correlated,2.498994156264608,0.030270582161879635
correlated,2.713193655373003,0.030305921442417984
correlated,2.927393154481398,0.03034127754662807
correlated,3.141592653589793,0.030376152843273937
