scenario_id,bond_cutoff,points,valid_points,best_lambda,best_slope,best_power,best_target_error,mean_target_error,median_target_error
N4_star_alpha0.8,5,5,5,1.0,-2.3763294311450114,2.3763294311450114,0.3763294311450114,0.6155852632970701,0.49583239377246136
N4_path_alpha0.8,5,5,5,0.2,-3.804950448927546,3.804950448927546,1.804950448927546,1.9198806775456618,1.9079165128692765
