scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,frustration_time,deltaB,kappa,k0,backend,effective_backend,total_dim,source_site,raw_power,raw_residual,raw_r2,bg_power,bg_residual,bg_r2,covbg_power,covbg_residual,covbg_r2,delta_lambda_edge_l2,delta_lambda_edge_maxabs,covariance_l2,covariance_bg_l2,covariance_delta_l2,covariance_delta_maxabs,shell_count,lambda_shell_json
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,1.0,6.5,0.2,4,auto,sparse,32768,3,-0.01605309555291786,2.016053095552918,0.9776422052647348,2.6635628595747783e-14,1.9999999999999734,0.0,-0.3902945021559818,2.3902945021559816,0.8322059389593588,8.091415179966707e-12,5.621642040765096e-12,0.30819036508176034,0.23552647182714956,0.19876765883282835,0.07163737593799449,3,"{""0"": 0.3938808840668151, ""1"": 0.393880884039171, ""2"": 0.3938808839934403}"
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,1.0,6.5,0.2,4,auto,sparse,32768,3,-0.026257931729776973,2.026257931729777,0.9968257047876892,2.6635628595747783e-14,1.9999999999999734,0.0,-0.386926077116285,2.386926077116285,0.838435617094769,8.23986641191018e-11,5.7427285149458385e-11,0.425613557410822,0.3232516355166493,0.2768669001302004,0.10038288232530065,3,"{""0"": 0.5453283848048396, ""1"": 0.5453283845757944, ""2"": 0.5453283845794037}"
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,1.0,6.5,0.2,4,auto,sparse,8192,2,-0.02278600611147026,2.0227860061114704,0.9595042528800468,-0.4538602112686456,2.453860211268646,0.992183506989058,-1.0116541246039357,3.0116541246039357,0.979859928864489,1.9277335277042097e-10,1.2684405609197924e-10,0.21953855903452288,0.14975461388646247,0.16053265874167547,0.07364881967489402,3,"{""0"": 0.40552749964203744, ""1"": 0.2972472696549543, ""2"": 0.09289885281476554}"
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,1.0,6.5,0.2,4,auto,sparse,8192,2,-0.030554452541776016,2.030554452541776,0.9573698795995237,-4.072231950963148e-15,2.000000000000004,0.0,-0.9766116729330747,2.9766116729330747,0.9764821644847743,3.539143458567311e-11,2.4613533433637258e-11,0.31227050072311346,0.21081507893439091,0.23036898253834118,0.10343540844159663,3,"{""0"": 0.5661904030907315, ""1"": 0.4315311534441606, ""2"": 0.1484263279730021}"
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,1.0,6.5,0.2,4,auto,sparse,8192,0,-0.1443318586154128,2.1443318586154128,0.9903880830389432,-6.803100539407295e-15,2.0000000000000067,0.0,-0.5291926161097719,2.5291926161097718,0.9954664528963896,1.1600994571654855e-10,8.10393141481569e-11,0.43262014212434413,0.1347007115178202,0.41111544082931345,0.17801820786478917,2,"{""0"": 1.0950187228422619, ""1"": 0.36068973495677753}"
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,1.0,6.5,0.2,4,auto,sparse,8192,0,-0.13193066063961809,2.1319306606396182,0.9901931893928437,-6.803100539407295e-15,2.0000000000000067,0.0,-0.5291926162157021,2.529192616215702,0.9954664528973005,4.715570833042575e-11,2.7738311647595992e-11,0.4777751932997955,0.15571075080831334,0.4516893815614535,0.19558723955030577,2,"{""0"": 1.1845785382650285, ""1"": 0.39861574364637165}"
