N,topology,alpha,lambda,gamma_corr,gamma_corr_effective,gamma_mode,bond_cutoff,hotspot_multiplier,spin2_measured_power,spin2_measured_slope,spin2_residual_power,spin2_r2,spin2_fit_quality,postulate_residual,lambda_out,lambda_in,omega_out,omega_in,pred_out,pred_in,num_k_modes,num_k_angles
5,star,0.8,0.8,-0.2,-0.2,constant,4,1.5,-0.01476581427113057,0.01476581427113057,2.0147658142711307,0.9816163779713378,True,0.270187560556169,0.8257988527170655,0.2547501094840469,0.9924539893301878,1.1009389683267345,0.6021778065653343,0.8307027141062003,8,12
5,star,0.8,0.8,-0.25,-0.25,constant,4,1.5,-0.007333338557873244,0.007333338557873244,2.0073333385578733,0.9814167627762787,True,0.2847928711688825,0.8517544152476126,0.26444461869250907,1.0136088204431688,1.118023225220664,0.5947412271060863,0.8253850847838751,8,12
5,star,0.8,0.8,0.0,0.0,constant,4,1.5,-0.04259346539017206,0.04259346539017206,2.042593465390172,0.9823541946484661,True,0.40942930491376806,0.731923685988012,0.22059376191817961,0.6152285613280012,1.0810380056474234,0.6307003689583842,0.8499968056232969,8,12
