N,topology,alpha,lambda,gamma_corr,gamma_corr_effective,gamma_mode,bond_cutoff,hotspot_multiplier,spin2_measured_power,spin2_measured_slope,spin2_residual_power,spin2_r2,spin2_fit_quality,postulate_residual,lambda_out,lambda_in,omega_out,omega_in,pred_out,pred_in,num_k_modes,num_k_angles
5,star,0.8,0.2,-0.25,-0.25,taper_high,4,1.5,0.060167363997975475,-0.060167363997975475,1.9398326360020246,0.9795546027112905,True,0.008822478380173582,0.11249084157718302,0.0289556418775622,0.9792246907925933,1.0345437250864007,0.9174373594710064,0.9773599326439077,8,12
5,star,0.8,0.8,-0.25,0.0,taper_high,4,1.5,-0.04259346539017206,0.04259346539017206,2.042593465390172,0.9823541946484661,True,0.40942930491376806,0.731923685988012,0.22059376191817961,0.6152285613280012,1.0810380056474234,0.6307003689583842,0.8499968056232969,8,12
5,star,0.8,0.8,-0.2,0.0,taper_high,4,1.5,-0.04259346539017206,0.04259346539017206,2.042593465390172,0.9823541946484661,True,0.40942930491376806,0.731923685988012,0.22059376191817961,0.6152285613280012,1.0810380056474234,0.6307003689583842,0.8499968056232969,8,12
5,star,0.8,0.8,0.0,0.0,taper_high,4,1.5,-0.04259346539017206,0.04259346539017206,2.042593465390172,0.9823541946484661,True,0.40942930491376806,0.731923685988012,0.22059376191817961,0.6152285613280012,1.0810380056474234,0.6307003689583842,0.8499968056232969,8,12
5,star,0.8,0.2,-0.2,-0.2,taper_high,4,1.5,0.0457279197574206,-0.0457279197574206,1.9542720802425795,0.979960415463341,True,0.0064706970012455844,0.1028988546528501,0.026420900173415664,0.9834772970025062,1.0360394773584038,0.9239419456236782,0.9793007932024412,8,12
5,star,0.8,0.2,0.0,0.0,taper_high,4,1.5,-0.0037665635352809052,0.0037665635352809052,2.003766563535281,0.9813205872108406,True,0.0041863261050989475,0.07723353060025327,0.019699451047670832,1.0006983869025048,1.0418539315556672,0.9418086351651139,0.9844849495434402,8,12
