topology,backend,hamiltonian_mode,lambda,tau_eq_global,tau_eq_probe,tau_dephase_global,tau_dephase_probe,tau_eq_site_var,tau_dephase_site_var,tau_eq_mode1,tau_dephase_mode1,tau_eq_mode_dom,tau_dephase_mode_dom,tail_mean_global,tail_std_global,threshold_global,tail_mean_probe,tail_std_probe,threshold_probe,tail_mean_site_var,tail_std_site_var,threshold_site_var,tail_mean_mode1,tail_std_mode1,threshold_mode1,tail_mean_mode_dom,tail_std_mode_dom,threshold_mode_dom,final_global_lambda,final_probe_gap,max_abs_probe_gap,final_site_var,final_mode1_amp,final_mode_dom_amp,max_abs_mode1_amp,max_abs_mode_dom_amp,mode1_index,mode_dom_index,mode1_eigval,mode_dom_eigval,dim_nominal,dim_hotspot
path,iterative,sparse,0.95,,,7.272727272727273,3.6363636363636367,,3.6363636363636367,,,,7.878787878787879,0.30554452479424404,0.048970505612955524,0.01809536907239057,0.21175456579927437,0.03690266979526853,0.012093806121780746,0.012985078672928942,0.004965135600762142,0.0013159857909812408,-1.7280541324524913e-11,7.48277078891555e-10,,-0.24299229987122978,0.049948499598946546,0.013367953490873559,0.2826025043011405,0.17942811765945188,0.31879672478631976,0.00789254771133997,-1.1711803904929955e-09,-0.18715870558472797,2.0483763650209593e-09,0.3807869578407137,1,2,0.381966011250105,1.3819660112501055,20000,20000
path,iterative,sparse,1.0,,,7.272727272727273,7.878787878787879,,7.878787878787879,,,,9.090909090909092,0.3272786432013549,0.04969181175234948,0.019138953917661718,0.22572610396142706,0.0431105997851328,0.012690992120057728,0.0148278536841493,0.006582217772594985,0.0013370218687980989,4.938428304622314e-11,1.679283240797794e-09,,-0.2577802814250231,0.06167425444212601,0.013909435171754532,0.2709590865845696,0.17471066095730892,0.3206316589805587,0.007643843767379919,6.277463180031781e-10,-0.18556893912141892,4.785149089508391e-09,0.3923989334828704,1,2,0.381966011250105,1.3819660112501055,20000,20000
path,iterative,sparse,1.05,,,6.666666666666667,7.272727272727273,,6.0606060606060606,,6.666666666666667,,13.93939393939394,0.3433039590406449,0.05132793411481456,0.019689327459178483,0.23550763216579682,0.040513163913070284,0.01292774780354851,0.015870217575560286,0.006399361753886759,0.001222255236827789,4.245626328693427e-12,4.6332557026703e-09,8.290374705085507e-10,-0.2674936954024179,0.05713085358232652,0.01401608257753737,0.37345345978418576,0.274435545779726,0.3244467504210719,0.022755810244919693,-2.8163443507500915e-09,-0.3327350507867476,1.035872275502819e-08,0.3882837647862877,1,2,0.381966011250105,1.3819660112501055,20000,20000
