lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,E0,E1,gap01,status
0.58,0.1606793385669515,0.930696823625976,0.930696823625976,0.842674874245021,0.707274432824342,0.23337162790087262,0.517347923221832,7.444457817141907,8.304223151540482,0.8597653343985749,✗
0.5812121212121212,0.16083015391558908,0.930696823625976,0.930696823625976,0.8423952715515692,0.7069127103701659,0.23386397955164476,0.5182522632043968,7.443795750608952,8.303075949091026,0.8592801984820744,✗
0.5824242424242424,0.16097972209530997,0.930696823625976,0.930696823625976,0.842116738931027,0.7065530203261016,0.2343547719841492,0.5191524401425339,7.443132204364209,8.30192652215209,0.858794317787881,✗
0.5836363636363636,0.1611280452053564,0.930696823625976,0.930696823625976,0.8418392774246445,0.7061953602761218,0.23484399994260333,0.5200484459587088,7.442467177819893,8.300774871572179,0.8583076937522858,✗
0.5848484848484848,0.1612751253410104,0.930696823625976,0.930696823625976,0.8415628880581459,0.7058397278042258,0.23533165820120383,0.5209402726431751,7.441800670387203,8.299620998199737,0.8578203278125338,✗
0.5860606060606061,0.161420964593464,0.930696823625976,0.930696823625976,0.8412875718419192,0.7054861204947034,0.23581774156397417,0.5218279122535687,7.441132681476322,8.298464902883083,0.8573322214067609,✗
0.5872727272727273,0.16156556504966912,0.930696823625976,0.930696823625976,0.8410133297711995,0.7051345359324119,0.23630224486461668,0.5227113569144684,7.440463210496441,8.297306586470514,0.8568433759740728,✗
0.5884848484848484,0.16170892879220533,0.930696823625976,0.930696823625976,0.8407401628262567,0.7047849717030384,0.23678516296635982,0.5235905988169796,7.439792256855748,8.296146049810174,0.856353792954426,✗
0.5896969696969696,0.16185105789915133,0.930696823625976,0.930696823625976,0.8404680719725793,0.7044374253933573,0.23726649076180703,0.5244656302183278,7.43911981996141,8.294983293750162,0.8558634737887525,✗
0.5909090909090908,0.16199195444394265,0.930696823625976,0.930696823625976,0.8401970581610569,0.7040918945914963,0.23774622317278826,0.5253364434414224,7.43844589921961,8.293818319138476,0.8553724199188659,✗
0.592121212121212,0.1621316204952583,0.930696823625976,0.930696823625976,0.839927122328154,0.7037483768871714,0.23822435515022364,0.5262030308744947,7.437770494035526,8.292651126822946,0.8548806327874203,✗
0.5933333333333333,0.16227005811688455,0.930696823625976,0.930696823625976,0.839658265396094,0.7034068698719473,0.23870088167396816,0.5270653849706612,7.4370936038133335,8.291481717651399,0.8543881138380653,✗
0.5945454545454545,0.16240726936759964,0.930696823625976,0.930696823625976,0.8393904882730284,0.7030673711394697,0.23917579775268138,0.5279234982475578,7.436415227956203,8.290310092471463,0.8538948645152606,✗
0.5957575757575757,0.16254325630105115,0.930696823625976,0.930696823625976,0.839123791853217,0.7027298782857097,0.23964909842367477,0.5287773632869303,7.4357353658663214,8.28913625213072,0.8534008862643994,✗
0.5969696969696969,0.16267802096564077,0.930696823625976,0.930696823625976,0.8388581770171937,0.7023943889091915,0.2401207787527822,0.5296269727342672,7.435054016944864,8.287960197476584,0.8529061805317202,✗
0.5981818181818181,0.16281156540440977,0.930696823625976,0.930696823625976,0.8385936446319388,0.7020609006112235,0.24059083383422103,0.5304723192984161,7.434371180592032,8.28678192935634,0.8524107487643091,✗
0.5993939393939394,0.1629438916549295,0.930696823625976,0.930696823625976,0.8383301955510448,0.7017294109961195,0.24105925879045725,0.5313133957512184,7.4336868562070055,8.28560144861722,0.851914592410214,✗
0.6006060606060606,0.16307500174918965,0.930696823625976,0.930696823625976,0.8380678306148898,0.7013999176714271,0.2415260487720615,0.5321501949271205,7.433001043187995,8.284418756106257,0.8514177129182618,✗
0.6018181818181818,0.16320489771349633,0.930696823625976,0.930696823625976,0.8378065506507867,0.7010724182481278,0.24199119895760177,0.5329827097228527,7.432313740932206,8.283233852670332,0.8509201117381258,✗
0.603030303030303,0.16333358156836653,0.930696823625976,0.930696823625976,0.8375463564731569,0.7007469103408603,0.24245470455349305,0.5338109330970431,7.431624948835862,8.28204673915625,0.8504217903203886,✗
0.6042424242424242,0.16346105532842659,0.930696823625976,0.930696823625976,0.8372872488836849,0.7004233915681228,0.24291656079387963,0.5346348580698788,7.430934666294184,8.280857416410642,0.8499227501164581,✗
0.6054545454545455,0.163587321002316,0.930696823625976,0.930696823625976,0.8370292286714769,0.7001018595524751,0.24337676294050767,0.5354544777227639,7.430242892701421,8.279665885280007,0.8494229925785861,✗
0.6066666666666666,0.16371238059259152,0.930696823625976,0.930696823625976,0.8367722966132171,0.6997823119207371,0.24383530628260025,0.5362697851979787,7.4295496274508235,8.278472146610659,0.8489225191598351,✗
0.6078787878787878,0.16383623609563047,0.930696823625976,0.930696823625976,0.8365164534733224,0.6994647463041876,0.24429218613673592,0.5370807736983387,7.428854869934663,8.277276201248778,0.8484213313141149,✗
0.609090909090909,0.16395888950154458,0.930696823625976,0.930696823625976,0.8362617000040902,0.6991491603387457,0.2447473978467342,0.5378874364868873,7.428158619544222,8.276078050040416,0.8479194304961943,✗
0.6103030303030302,0.16408034279408823,0.930696823625976,0.930696823625976,0.836008036945854,0.6988355516651655,0.245200936783529,0.538689766886552,7.427460875669802,8.27487769383142,0.8474168181616184,✗
0.6115151515151515,0.16420059795057507,0.930696823625976,0.930696823625976,0.8357554650271249,0.6985239179292101,0.24565279834506437,0.53948775827985,7.426761637700715,8.273675133467465,0.8469134957667501,✗
0.6127272727272727,0.16431965694179307,0.930696823625976,0.930696823625976,0.8355039849647414,0.6982142567818341,0.24610297795617386,0.5402814041085648,7.426060905025298,8.272470369794101,0.8464094647688034,✗
