topology,lambda,tau_eq_global,tau_eq_probe,tau_dephase_global,tau_dephase_probe,tau_eq_site_var,tau_dephase_site_var,tau_eq_mode1,tau_dephase_mode1,tau_eq_mode_dom,tau_dephase_mode_dom,tail_mean_global,tail_std_global,threshold_global,tail_mean_probe,tail_std_probe,threshold_probe,tail_mean_site_var,tail_std_site_var,threshold_site_var,tail_mean_mode1,tail_std_mode1,threshold_mode1,tail_mean_mode_dom,tail_std_mode_dom,threshold_mode_dom,final_global_lambda,final_probe_gap,max_abs_probe_gap,final_site_var,final_mode1_amp,final_mode_dom_amp,max_abs_mode1_amp,max_abs_mode_dom_amp,mode1_index,mode_dom_index,mode1_eigval,mode_dom_eigval,dim_nominal,dim_hotspot
path,0.9,,,1.9553072625698322,2.7374301675977653,,2.7374301675977653,,,,3.1284916201117317,0.38566428095233607,0.06291423687790741,0.025168180052994992,0.24697178180654752,0.04320608395549897,0.01541011663130057,0.016101967050073156,0.006579127266159267,0.0013174978152700584,-2.490503236017026e-16,4.163532097067562e-15,,-0.26023771083142716,0.0638712473260936,0.015364938368573316,0.3864635362181036,0.2047343399867082,0.34571038236029605,0.008515539153759062,3.742578919729679e-16,-0.16295620318794615,9.240778250169502e-15,0.3931940660255196,1,2,0.381966011250105,1.3819660112501055,2592,2592
path,1.0,,,7.821229050279329,12.905027932960893,,15.642458100558658,,,,17.206703910614525,0.4291147542751966,0.046501572265440674,0.027294420211833318,0.2831510482103752,0.022069337225933298,0.01729224064065325,0.02106781689386894,0.003603990196444946,0.001571172172465674,2.2873167453434894e-15,4.532875141047606e-15,,-0.30867414312082575,0.03189512024482078,0.017990759934230122,0.40861363137543893,0.2827561274847744,0.3770192812672369,0.022144500047468686,4.896313420013254e-15,-0.3239780282422367,1.2880538676455937e-14,0.4097783745217409,1,2,0.381966011250105,1.3819660112501055,2592,2592
path,1.1,,,12.905027932960893,15.251396648044691,,26.59217877094972,,,,16.81564245810056,0.47297064281831236,0.056355782851581465,0.029309420799424637,0.31499205100323036,0.036614337745894794,0.018728321181576985,0.026917821805281253,0.007472694972200498,0.0019878581368266528,-2.5047654032606594e-15,3.8527399527864196e-15,,-0.34686305386835053,0.06004703688880726,0.019683867093588357,0.5496218624839666,0.3682840539638971,0.39802321116096845,0.035863853552201376,-5.100329249925537e-15,-0.40821013586557897,1.0518718783744653e-14,0.46461226419982476,1,2,0.381966011250105,1.3819660112501055,2592,2592
path,1.2,64.52513966480447,,8.603351955307263,6.64804469273743,,5.4748603351955305,,,,6.64804469273743,0.49658057981578885,0.0435835662307421,0.029563450492279156,0.3254751515118012,0.02802637150212978,0.018361167480694326,0.02778348751381239,0.006300774921416117,0.0021956035323418737,1.1937800623715977e-15,6.902292587024533e-15,,-0.3521856685183241,0.049841313169539686,0.018642901143198675,0.5653501873903708,0.38067345083187404,0.43796825541052387,0.03858613323513861,8.573397816641367e-15,-0.42412578625417313,1.5546709280407166e-14,0.5216712813250268,1,2,0.381966011250105,1.3819660112501055,2592,2592
path,1.3,30.89385474860335,,11.340782122905027,7.039106145251396,,5.083798882681564,,,,5.4748603351955305,0.5390865437418279,0.05052076079953013,0.031192252353565042,0.34745127790413866,0.04491115793193186,0.01882514452704385,0.03152976678055844,0.009932452401577623,0.002479471494741389,1.7442409596869807e-15,3.3174086478783565e-15,,-0.3688685282515133,0.07648964887605446,0.01841691364854213,0.5321135126209887,0.338960109507441,0.47946502307921296,0.028293690074817225,-6.956051646567823e-15,-0.35495131456747436,1.020661643917882e-14,0.5531785251478599,1,2,0.381966011250105,1.3819660112501055,2592,2592
star,1.1,,,3.1284916201117317,3.1284916201117317,,1.9553072625698322,,,,3.1284916201117317,0.5158331459857632,0.10698680016933704,0.026070119822247096,-0.9671871487233061,0.20060025031750658,0.04888147466671331,0.15611063057327443,0.06087472605656872,0.012621881194384777,3.8163916471489756e-17,9.67811263410991e-16,,-0.8650784846038045,0.1794223184053677,0.04372092007808193,0.3929450389611454,-0.7367719480521489,1.4006341097496788,0.08685326454984904,-1.3739009929736312e-15,-0.6589888639038184,1.915134717478395e-15,1.2527652324020728,1,4,1.0,5.0,2592,2592
star,1.2,,,3.1284916201117317,3.1284916201117317,,1.1731843575418994,,,,3.1284916201117317,0.5453701299894941,0.08508796141534981,0.026259095849789117,-1.0225689937303022,0.15953992765378078,0.049235804718354655,0.17137605367269998,0.053376809072243556,0.012415226335818636,-9.57181864633425e-16,8.553935269247791e-16,,-0.9146135126658039,0.1426968493437011,0.044037842510858294,0.654762603122429,-1.2276798808545544,1.4286496746719286,0.2411516623768084,5.551115123125783e-17,-1.0980702672798506,3.247402347028583e-15,1.2778231154397564,1,4,1.0,5.0,2592,2592
star,1.3,,,2.346368715083799,2.346368715083799,,1.1731843575418994,,,,2.346368715083799,0.5719323916117786,0.11285676544220748,0.02619474920481129,-1.072373234272086,0.2116064352041391,0.04911515475902126,0.19116186192047607,0.07365983268178421,0.01284074102001719,-8.561824089209974e-16,7.678890671395094e-16,,-0.9591597796334759,0.18926654943714383,0.04392992990663748,0.419770399517466,-0.7870694990952505,1.4825466364306448,0.09911654342496731,-2.123301534595612e-15,-0.7039763611974741,2.123301534595612e-15,1.3260300235490352,1,4,1.0,5.0,2592,2592
star,1.4,,,2.7374301675977653,2.7374301675977653,,8.212290502793296,,,,2.7374301675977653,0.5983813350056565,0.07079063329593707,0.026138534509295177,-1.121965003135607,0.13273243742988192,0.049009752204928536,0.20422773891314527,0.04806020680322345,0.015713996533379855,-1.2528558437610273e-15,1.0745636962030732e-15,,-1.0035160061547916,0.11871950116498142,0.04383565499625607,0.5554820451296647,-1.0415288346181213,1.5824283071840757,0.17356517013455713,-2.7755575615628914e-17,-0.9315717098929022,3.4555691641457997e-15,1.4153669057534044,1,4,1.0,5.0,2592,2592
star,1.5,,,8.212290502793296,8.212290502793296,,7.039106145251396,,,,8.212290502793296,0.6487767452181425,0.05268816693473539,0.028047752887501404,-1.2164563972840177,0.09879031300262886,0.052589536664065156,0.23832411078981894,0.03843376131210519,0.0177268039716958,-4.934324553889585e-16,6.61786389053323e-16,,-1.0880316783966213,0.08836074215694383,0.04703751155442688,0.5603207132908004,-1.0506013374202507,1.695415067977486,0.17660210723027514,-1.1102230246251565e-16,-0.9396864030895496,1.7208456881689926e-15,1.5164253368300342,1,4,1.0,5.0,2592,2592
