topology,backend,hamiltonian_mode,lambda,tau_eq_global,tau_eq_probe,tau_dephase_global,tau_dephase_probe,tau_eq_site_var,tau_dephase_site_var,tau_eq_mode1,tau_dephase_mode1,tau_eq_mode_dom,tau_dephase_mode_dom,tail_mean_global,tail_std_global,threshold_global,tail_mean_probe,tail_std_probe,threshold_probe,tail_mean_site_var,tail_std_site_var,threshold_site_var,tail_mean_mode1,tail_std_mode1,threshold_mode1,tail_mean_mode_dom,tail_std_mode_dom,threshold_mode_dom,final_global_lambda,final_probe_gap,max_abs_probe_gap,final_site_var,final_mode1_amp,final_mode_dom_amp,max_abs_mode1_amp,max_abs_mode_dom_amp,mode1_index,mode_dom_index,mode1_eigval,mode_dom_eigval,dim_nominal,dim_hotspot
star,iterative,sparse,1.58,,,4.848484848484849,4.848484848484849,,3.0303030303030303,,,,4.848484848484849,0.7310058473799295,0.08700086645233118,0.03282197547072777,-1.3706359638756072,0.163126624581372,0.06154120400032851,0.30484051856274663,0.07336706155530215,0.01975816019356231,-4.415509485822255e-11,1.4098906387626805e-10,,-1.2259340750185193,0.14590488861659506,0.05504412623128349,0.6942971150650016,-1.3018070906290504,1.7777683436283633,0.2711522722430161,1.3605550019946122e-10,-1.164371659400503,3.2235797364776886e-10,1.590084345952925,1,4,1.0,5.0,20000,20000
star,iterative,sparse,1.59,,,4.848484848484849,4.848484848484849,,3.0303030303030303,,,,4.848484848484849,0.7362798357015395,0.08796670303393091,0.033038557925244606,-1.3805246916430571,0.16493756830849607,0.061947295999355084,0.3092884522331321,0.07540068861089708,0.020039608348422635,3.4332642701029316e-10,6.505002624483109e-10,,-1.2347788223182639,0.14752464580530483,0.05540734604955849,0.6382927956983179,-1.1967989907455894,1.782253948031395,0.22917245233521077,1.3726582370754414e-09,-1.0704495605473683,3.108323959333248e-09,1.5940963927333707,1,4,1.0,5.0,20000,20000
star,iterative,sparse,1.6,,,7.272727272727273,7.272727272727273,,4.848484848484849,,,,7.272727272727273,0.7506803631525905,0.07832631673140654,0.0339861777264147,-1.407525681017274,0.14686184393454033,0.06372408327231406,0.3204315109775327,0.06543028451913609,0.020856408733935305,-1.2259139120507355e-10,5.622985411880941e-10,,-1.2589292410375654,0.13135722647895315,0.05699655276873939,0.8074571526130934,-1.5139821606046275,1.8337095779681265,0.36674271748465015,6.292226739645912e-10,-1.3541468116209743,1.1719407111421276e-09,1.6401197068794025,1,4,1.0,5.0,20000,20000
star,iterative,sparse,1.61,,,7.878787878787879,7.878787878787879,,5.454545454545455,,,,7.878787878787879,0.7578484184623788,0.07867901982660871,0.034356130021350836,-1.420965784641639,0.14752316216103747,0.0644177437760302,0.3265450951088276,0.06474729022117584,0.021270607188557444,-2.84968521002682e-11,8.982351141444927e-11,,-1.2709504352419392,0.13194872755151316,0.05761698162867132,0.8312036138176225,-1.5585067759500708,1.8611023533294782,0.38863093928820475,-4.853098478641016e-11,-1.3939708377297655,2.3060701959121133e-10,1.6646205501597462,1,4,1.0,5.0,20000,20000
star,iterative,sparse,1.62,,,7.272727272727273,7.272727272727273,,3.0303030303030303,,,,7.272727272727273,0.7537039526887985,0.07515389669923858,0.03382202605888618,-1.413194911570686,0.14091355610409345,0.06341629865914783,0.32271623802438665,0.06230042319134567,0.02088918001579433,-3.2237909425303355e-10,1.580468721447139e-09,,-1.2639999548418293,0.1260369163451209,0.05672126205332911,0.7323138795697155,-1.3730885220789395,1.8797475962330439,0.3016595352433768,2.4413566723779923e-09,-1.2281277116883584,3.397897990753407e-09,1.681297361859612,1,4,1.0,5.0,20000,20000
star,iterative,sparse,1.63,,,5.454545454545455,5.454545454545455,,3.0303030303030303,,,,5.454545454545455,0.7514961057487936,0.06872613779105562,0.03344381085502173,-1.4090551982140187,0.12886150839761834,0.06270714536512459,0.3203266944213433,0.059844601841765786,0.020622680855335834,7.501997634218327e-11,8.4626058956258e-11,,-1.2602972829605046,0.11525723694886314,0.05608697587385545,0.698522978906356,-1.3097305853590127,1.8736439410978558,0.27446307303386785,1.0439063502509782e-10,-1.171458648510198,4.19120210759516e-10,1.675838087265362,1,4,1.0,5.0,20000,20000
star,iterative,sparse,1.64,,,5.454545454545455,5.454545454545455,,3.0303030303030303,,,,5.454545454545455,0.751707528919275,0.07584701722920424,0.03326011009522414,-1.4094516166960365,0.14221315721340094,0.06236270637023335,0.32108455071927555,0.06444228391758017,0.020607769912501652,3.18746362637512e-11,2.0469538638896324e-10,,-1.2606518503964157,0.1271993148113238,0.05577890033403612,0.7122688230552103,-1.3355040432734135,1.8574013269760048,0.28537136791675566,-5.1839199599612584e-11,-1.1945111299539146,1.0403985728490994e-09,1.661310251604752,1,4,1.0,5.0,20000,20000
star,iterative,sparse,1.65,,,5.454545454545455,5.454545454545455,,3.0303030303030303,,,,5.454545454545455,0.755238132007098,0.07921654495450366,0.03334292887761415,-1.416071497438128,0.14853102189798784,0.06251799167443653,0.3243711920805561,0.06551309668607455,0.020794970922295243,8.681126165144271e-11,3.9084869426947164e-10,,-1.266572851775873,0.1328501845957036,0.055917791654464505,0.8686643953885653,-1.6287457419380864,1.8019792911285308,0.4244500303963773,-6.749530934158088e-10,-1.4567944782919402,7.263266932344692e-10,1.6117392757737274,1,4,1.0,5.0,20000,20000
star,iterative,sparse,1.66,,,5.454545454545455,5.454545454545455,,3.0303030303030303,,,,5.454545454545455,0.7563369241354756,0.07217585409746527,0.033232198923040426,-1.4181317327662677,0.13532972643173738,0.06231037298185213,0.32470587940804363,0.06384326421928412,0.02074583726934784,-1.41458150748619e-11,1.8863355996245888e-11,,-1.2684155821950187,0.12104258707202932,0.05573209187528529,0.7554374993540452,-1.4164453113081363,1.7652245980123786,0.32101077117954,-2.2287227618988936e-11,-1.2669072009810742,5.4363236134946646e-11,1.5788648786579829,1,4,1.0,5.0,20000,20000
star,iterative,sparse,1.67,,,5.454545454545455,5.454545454545455,,3.0303030303030303,,,,5.454545454545455,0.7631058356407872,0.07785936311892898,0.03357608524388195,-1.4308234418923733,0.14598630587759537,0.06295515982277788,0.3309708357080491,0.06822156790959266,0.02117095923114853,-7.609163021893295e-11,1.233005315973957e-10,,-1.2797673918896864,0.13057412146407388,0.056308806767735725,0.6413789187386592,-1.2025854726070664,1.822197665192903,0.23139389103883407,3.2238850478094605e-11,-1.0756251462262167,4.379463458548116e-10,1.6298231393462816,1,4,1.0,5.0,20000,20000
