scenario_id,points,valid_points,best_lambda,best_slope,best_power,best_target_error,mean_target_error,median_target_error
N4_star_alpha0.8,9,9,0.1,-2.259539774371239,2.259539774371239,0.2595397743712389,0.7018355366241108,0.687726250900786
N4_cycle_alpha0.8,9,9,1.2,-3.5799020941503277,3.5799020941503277,1.5799020941503277,1.8757208507864018,1.9112351904196196
N4_path_alpha0.8,9,9,0.1,-3.772440650882064,3.772440650882064,1.7724406508820638,1.9313641656774823,1.9157412937615277
