topology,lambda,metric,dense_value,iterative_value,abs_diff
star,1.6,tail_std_mode_dom,0.1992394244952205,0.1992394244937483,1.4722112418041888e-12
star,1.6,tail_std_mode1,1.1859187231480997e-15,1.3062383899287925e-12,1.3050524712056444e-12
star,1.6,final_mode_dom_amp,-1.0777994699942468,-1.0777994699929652,1.2816414596272807e-12
star,1.6,tail_std_site_var,0.099433277817448,0.0994332778163738,1.0741962874760702e-12
star,1.6,tail_std_global,0.1188034391917999,0.118803439190922,8.779088567223425e-13
star,1.6,final_global_lambda,0.6426754349387681,0.6426754349380037,7.643885524544203e-13
star,1.6,final_mode1_amp,-2.248201624865942e-15,5.682676551543864e-13,5.705158567792523e-13
star,1.6,final_site_var,0.2323303395039758,0.2323303395034233,5.525024882047092e-13
path,1.0,threshold_site_var,0.0017688482140347,0.0017688482135706,4.641001125071931e-13
star,1.6,threshold_mode_dom,0.0547465653924236,0.0547465653922065,2.1709717357154545e-13
star,1.6,threshold_global,0.0326445444672257,0.0326445444670963,1.294034324139659e-13
star,1.6,tail_mean_mode1,2.978768025891603e-16,-1.2591316878030057e-13,1.2621104558288973e-13
star,1.6,threshold_site_var,0.0245376233547287,0.0245376233547703,4.160213840087579e-14
star,1.6,threshold_probe,0.0612085208760483,0.0612085208760254,2.2898349882893854e-14
star,1.6,tau_dephase_global,7.0503597122302155,7.0503597122302155,0.0
star,1.6,tau_dephase_mode1,,,0.0
star,1.6,tau_dephase_mode_dom,7.0503597122302155,7.0503597122302155,0.0
star,1.6,tau_dephase_probe,7.0503597122302155,7.0503597122302155,0.0
star,1.6,tau_dephase_site_var,2.014388489208633,2.014388489208633,0.0
star,1.6,tau_eq_global,,,0.0
star,1.6,tau_eq_mode_dom,,,0.0
star,1.6,tau_eq_probe,,,0.0
star,1.6,tau_eq_site_var,,,0.0
star,1.6,threshold_mode1,,,0.0
star,1.6,tau_eq_mode1,,,0.0
path,1.0,dim_hotspot,8192.0,8192.0,0.0
star,1.6,mode_dom_index,4.0,4.0,0.0
star,1.6,mode_dom_eigval,5.0,5.0,0.0
path,1.0,lambda,1.0,1.0,0.0
path,1.0,mode1_eigval,0.381966011250105,0.381966011250105,0.0
path,1.0,mode1_index,1.0,1.0,0.0
path,1.0,mode_dom_eigval,1.3819660112501055,1.3819660112501055,0.0
path,1.0,mode_dom_index,2.0,2.0,0.0
path,1.0,tau_dephase_global,8.057553956834532,8.057553956834532,0.0
path,1.0,tau_dephase_mode1,,,0.0
path,1.0,tau_dephase_mode_dom,27.697841726618705,27.697841726618705,0.0
path,1.0,tau_dephase_probe,14.60431654676259,14.60431654676259,0.0
path,1.0,tau_dephase_site_var,26.690647482014388,26.690647482014388,0.0
path,1.0,tau_eq_global,,,0.0
path,1.0,tau_eq_mode1,,,0.0
path,1.0,tau_eq_mode_dom,,,0.0
path,1.0,tau_eq_probe,48.84892086330935,48.84892086330935,0.0
path,1.0,tau_eq_site_var,,,0.0
path,1.0,threshold_mode1,,,0.0
path,1.0,dim_nominal,8192.0,8192.0,0.0
star,1.6,dim_nominal,8192.0,8192.0,0.0
star,1.6,lambda,1.6,1.6,0.0
star,1.6,mode1_eigval,1.0,1.0,0.0
star,1.6,mode1_index,1.0,1.0,0.0
star,1.6,dim_hotspot,8192.0,8192.0,0.0
