chi,topology,backend,hamiltonian_mode,lambda,tau_eq_global,tau_eq_probe,tau_dephase_global,tau_dephase_probe,tau_eq_site_var,tau_dephase_site_var,tau_eq_mode1,tau_dephase_mode1,tau_eq_mode_dom,tau_dephase_mode_dom,tail_mean_global,tail_std_global,threshold_global,tail_mean_probe,tail_std_probe,threshold_probe,tail_mean_site_var,tail_std_site_var,threshold_site_var,tail_mean_mode1,tail_std_mode1,threshold_mode1,tail_mean_mode_dom,tail_std_mode_dom,threshold_mode_dom,final_global_lambda,final_probe_gap,max_abs_probe_gap,final_site_var,final_mode1_amp,final_mode_dom_amp,max_abs_mode1_amp,max_abs_mode_dom_amp,mode1_index,mode_dom_index,mode1_eigval,mode_dom_eigval,dim_nominal,dim_hotspot
3,cycle,iterative,sparse,0.61,,,9.090909090909092,,,,,,,,0.3584475290200951,0.1075053025336441,0.0246879912608361,1.7334213092690118e-10,1.3029915216871234e-09,,8.589714927647155e-19,7.510185232180283e-19,,3.5315267704525767e-10,1.5411794538700111e-09,,3.5315267704525767e-10,1.5411794538700111e-09,,0.510056143221566,2.3770418966506668e-09,3.123120762005271e-09,2.3194092971843487e-18,3.093398106956306e-09,3.093398106956306e-09,3.437338012402456e-09,3.437338012402456e-09,1,1,1.3819660112501049,1.3819660112501049,7776,7776
3,path,iterative,sparse,1.0,,,11.515151515151516,15.151515151515152,,16.96969696969697,,,,27.272727272727273,0.4305485058713719,0.0698017523118747,0.0274091203618528,0.2845730291660877,0.0376372859898565,0.0174059991462346,0.0214703988943647,0.0051367199233983,0.0018362957656232,1.901944695173251e-10,5.341874563760272e-10,,-0.3107945046708209,0.0401479349578944,0.0181603889226318,0.4496076639348771,0.2812914384217626,0.4124684026810695,0.0190158243410837,-3.4203453071564986e-10,-0.2882178315027326,1.5215009975326332e-09,0.4528893142136151,1,2,0.381966011250105,1.3819660112501055,2592,2592
3,star,iterative,sparse,1.5,,,9.090909090909092,9.090909090909092,,6.666666666666667,,,,9.090909090909092,0.6540623645860131,0.1162650953653791,0.0284706024234309,-1.2263669335973792,0.2179970538139465,0.0533823795413128,0.2482397714070941,0.0879328683755368,0.0158581771015091,1.6109148737175617e-12,2.4227655095498063e-11,,-1.096895931553932,0.1949824924856127,0.0477466517843713,0.4434221480996935,-0.831416527699813,1.6188418436592131,0.1106005508017574,-1.4881498811014637e-11,-0.7436415494099204,6.579053968280846e-11,1.447936162908047,1,4,1.0,5.0,2592,2592
3,star,iterative,sparse,1.55,,,4.242424242424242,4.242424242424242,,5.454545454545455,,,,4.242424242424242,0.6505936175230793,0.098961592529635,0.0271595948548281,-1.2198630328717768,0.1855529859861103,0.0509242403479321,0.2435993167262446,0.0709992189566659,0.0151327377952468,-1.847916333841404e-11,8.52062491417452e-11,,-1.0910786658818277,0.1659636360434245,0.0455480252525619,0.4444076203283773,-0.8332642882677428,1.6219834826681754,0.1110926998158362,-1.7555532028090679e-10,-0.7452942365798766,2.1277302142408414e-10,1.4507461302402942,1,4,1.0,5.0,2592,2592
3,star,iterative,sparse,1.6,,,4.848484848484849,4.848484848484849,,6.0606060606060606,,,,4.848484848484849,0.6619594945462938,0.0908745779950968,0.0270577485951172,-1.241174052274839,0.1703898337403579,0.0507332786161232,0.2511273157569966,0.0680435737887994,0.018999441116191,-6.207458158602463e-13,2.774494118410607e-12,,-1.1101398211176856,0.1524013003677322,0.0453772238825862,0.5956675300899341,-1.116876618916535,1.747534566374061,0.1995861411019364,2.4151236566183347e-12,-0.9989648169528706,6.6376903973264234e-12,1.5630424333801445,1,4,1.0,5.0,2592,2592
3,star,iterative,sparse,1.65,,,5.454545454545455,5.454545454545455,,4.848484848484849,,,,5.454545454545455,0.6807656502215569,0.0875835358341224,0.0275757585454305,-1.2764355941646082,0.1642191296884321,0.0517045472730214,0.2650009197773171,0.0664786219348207,0.0210889689463333,9.360963393323377e-13,4.412611437363864e-12,,-1.1416787029816844,0.1468820548761649,0.0462459529790275,0.7343956462837824,-1.3769918367768808,1.8176444777674916,0.3033770429703231,6.0173255267415016e-12,-1.231618940602821,9.114098364904066e-12,1.6257506444816243,1,4,1.0,5.0,2592,2592
3,star,iterative,sparse,1.7,,,6.0606060606060606,6.0606060606060606,,3.6363636363636367,,,,6.0606060606060606,0.6830396878393517,0.0871075769338299,0.0267974859857746,-1.2806994146968536,0.1633267067739442,0.0502452862109829,0.2666986566316662,0.0667099788047785,0.021160730443011,2.2296164914337167e-12,1.217959533491207e-10,,-1.1454923800042702,0.1460838475345023,0.0449407502177175,0.765188254122851,-1.4347279765430043,1.8221000711447823,0.3293510986392619,-7.235223531409929e-11,-1.283259713852309,2.1261375993120166e-10,1.6297358484878828,1,4,1.0,5.0,2592,2592
4,cycle,iterative,sparse,0.61,,,9.090909090909092,,,,,,,,0.3626353322931742,0.1056857041755248,0.0250221911204259,2.2022549062139517e-11,1.1647551536201962e-09,,4.0624555162387595e-19,2.2467231220796203e-19,,2.478545345047368e-11,5.159189317912164e-10,,1.1488334992829769e-10,8.678111297994768e-10,,0.5475918644689741,1.5158702071360606e-09,2.3600995602279795e-09,4.606785899168438e-19,-3.5911557779278615e-10,1.293280378220372e-09,1.073444798649316e-09,2.182904233325048e-09,1,2,1.3819660112501049,1.3819660112501055,32768,32768
4,path,iterative,sparse,1.0,,,10.303030303030305,16.96969696969697,,16.96969696969697,,,,27.87878787878788,0.4427843043144304,0.0654983050811071,0.0283794527326159,0.2959331478509179,0.0347379709127259,0.0183075951506684,0.0234934230102891,0.0049265773848521,0.0021132318266042,-7.699859913921999e-12,5.385717855016765e-11,,-0.3271159983507467,0.0374997959797459,0.0194563469229097,0.3918927528233442,0.2707028922997352,0.4378031367718047,0.0202445478676639,5.4776941309221e-11,-0.3096162810823746,1.3849617646956043e-10,0.4796801770278173,1,2,0.381966011250105,1.3819660112501055,8192,8192
4,star,iterative,sparse,1.5,,,7.272727272727273,7.272727272727273,,4.848484848484849,,,,7.272727272727273,0.7076780798324516,0.0762122065898028,0.0326308418725962,-1.3268963997146992,0.1428978873673742,0.0611828285445075,0.2849718178736057,0.0628854679464103,0.0187533444699358,-3.331634274017503e-11,1.4907515836226938e-10,,-1.1868122195189137,0.1278117559875424,0.0547235854426287,0.6181265690370951,-1.1589873171419396,1.7332675194254223,0.2149202561341334,-2.2792254195103112e-10,-1.0366297702992455,4.486210430920678e-10,1.5502815986822291,1,4,1.0,5.0,8192,8192
