chi,peak_lambda,peak_tau,left_tau,right_tau,local_prominence
3,1.5,9.090909090909092,,4.242424242424242,
4,1.65,10.90909090909091,7.878787878787879,8.484848484848484,2.4242424242424256
5,1.6,7.272727272727273,4.848484848484849,5.454545454545455,1.8181818181818183
