scenario_id,N,topology,alpha,bond_cutoff,hotspot_multiplier,deltaB,kappa,backend,points,best_raw_lambda,best_raw_power,best_raw_residual,best_bg_lambda,best_bg_power,best_bg_residual,best_covbg_lambda,best_covbg_power,best_covbg_residual,best_harmbg_lambda,best_harmbg_power,best_harmbg_residual,bg_minus_raw_residual,covbg_minus_raw_residual,harmbg_minus_raw_residual,source_site_at_best_bg,source_site_at_best_covbg,source_site_at_best_harmbg
N5_cycle_alpha0.8,5,cycle,0.8,4,1.5,6.5,0.2,auto,2,0.6,-0.01605309545055833,2.0160530954505584,0.6,2.6635628595747783e-14,1.9999999999999734,0.8,-0.3869260770622632,2.386926077062263,0.6,0.3383739294023191,1.6616260705976809,-0.016053095450585086,0.3708729816117047,-0.3544270248528776,1,0,1
N5_path_alpha0.8,5,path,0.8,4,1.5,6.5,0.2,auto,2,0.6,-0.022786006092129194,2.022786006092129,0.6,-4.072231950963148e-15,2.000000000000004,0.8,-0.9766116729379792,2.9766116729379792,0.8,-5.815120720198148,7.815120720198148,-0.022786006092125,0.9538256668458502,5.792334714106019,2,2,2
N5_star_alpha0.8,5,star,0.8,4,1.5,6.5,0.2,auto,2,0.8,-0.13193066060563427,2.1319306606056343,0.6,-6.803100539407295e-15,2.0000000000000067,0.6,-0.5291926158470517,2.5291926158470517,0.6,-0.5485531594169151,2.5485531594169153,-0.13193066060562764,0.3972619552414174,0.416622498811281,0,0,0
