alpha,lambda_c1_min,lambda_c1_max,lambda_c1_span,lambda_revival_min,lambda_revival_max,lambda_revival_span,lambda_revival_global_min,lambda_revival_global_max,lambda_revival_global_span,lambda_c2_min,lambda_c2_max,lambda_c2_span,mean_residual_min,mean_residual_max
0.6,0.1803571428571428,0.4053571428571428,0.225,0.3089285714285714,1.22,0.9110714285714285,0.3089285714285714,1.22,0.9110714285714285,0.6333333333333334,1.2666666666666666,0.6333333333333332,0.24281387809868732,0.27945482877280037
0.8,0.1482142857142857,0.3410714285714286,0.1928571428571429,0.2446428571428571,0.55,0.30535714285714294,0.2446428571428571,0.55,0.30535714285714294,0.6333333333333334,0.6333333333333334,0.0,0.2558895529223134,0.29921563511695615
1.0,0.1321428571428571,0.2928571428571429,0.16071428571428584,0.2125,0.4696428571428571,0.2571428571428571,0.2125,0.4696428571428571,0.2571428571428571,0.6333333333333334,0.6333333333333334,0.0,0.2679149628543226,0.3163420247659493
1.2,0.1160714285714285,0.2767857142857143,0.1607142857142858,0.1964285714285714,0.4214285714285715,0.2250000000000001,0.1964285714285714,0.4214285714285715,0.2250000000000001,0.3732142857142857,0.6333333333333334,0.2601190476190477,0.27901133317811305,0.33134596570251357
