scenario_id,N,topology,lambda,bond_cutoff,backend,effective_backend,source_site,raw_power,raw_residual,bg_power,bg_residual,delta_lambda_edge_l2,delta_lambda_edge_maxabs
N4_path_alpha0.8,4,path,0.4,5,auto,dense,1,-0.0102837334804648,2.010283733480465,-0.6599423002179465,2.6599423002179465,0.0501611508523171,0.0289605539474467
N4_path_alpha0.8,4,path,0.4,5,dense,dense,1,-0.0102837334804648,2.010283733480465,-0.6599423002179465,2.6599423002179465,0.0501611508523171,0.0289605539474467
N4_path_alpha0.8,4,path,1.0,5,auto,dense,1,-0.0325864426513525,2.0325864426513527,-0.6599423002179456,2.6599423002179456,0.1525150129491819,0.0880545837816694
N4_path_alpha0.8,4,path,1.0,5,dense,dense,1,-0.0325864426513525,2.0325864426513527,-0.6599423002179456,2.6599423002179456,0.1525150129491819,0.0880545837816694
N4_star_alpha0.8,4,star,0.4,4,auto,dense,0,-0.0151352098468449,2.015135209846845,6.3355488586007686e-15,1.9999999999999936,2.110382192020081e-16,1.52655665885959e-16
N4_star_alpha0.8,4,star,0.4,4,dense,dense,0,-0.0151352098468449,2.015135209846845,6.3355488586007686e-15,1.9999999999999936,2.110382192020081e-16,1.52655665885959e-16
N4_star_alpha0.8,4,star,1.0,4,auto,dense,0,-0.0383999404757139,2.038399940475714,6.3355488586007686e-15,1.9999999999999936,2.0396099332657776e-16,1.6653345369377348e-16
N4_star_alpha0.8,4,star,1.0,4,dense,dense,0,-0.0383999404757139,2.038399940475714,6.3355488586007686e-15,1.9999999999999936,2.0396099332657776e-16,1.6653345369377348e-16
N4_star_alpha0.8,4,star,0.4,5,auto,dense,0,-0.0151352104806045,2.0151352104806044,6.3355488586007686e-15,1.9999999999999936,1.2470719426290902e-16,1.0408340855860844e-16
N4_star_alpha0.8,4,star,0.4,5,dense,dense,0,-0.0151352104806045,2.0151352104806044,6.3355488586007686e-15,1.9999999999999936,1.2470719426290902e-16,1.0408340855860844e-16
N4_star_alpha0.8,4,star,1.0,5,auto,dense,0,-0.0383990973330629,2.038399097333063,6.3355488586007686e-15,1.9999999999999936,3.713442931002523e-16,3.05311331771918e-16
N4_star_alpha0.8,4,star,1.0,5,dense,dense,0,-0.0383990973330629,2.038399097333063,6.3355488586007686e-15,1.9999999999999936,3.713442931002523e-16,3.05311331771918e-16
N5_cycle_alpha0.8,5,cycle,0.6,4,auto,sparse,2,-0.0160530956233403,2.01605309562334,-0.3335305294260922,2.3335305294260924,1.8881712068474757e-10,1.235098689988945e-10
N5_cycle_alpha0.8,5,cycle,0.8,4,auto,sparse,3,-0.0262579317449935,2.026257931744994,2.6635628595747783e-14,1.9999999999999736,4.1185084196088154e-11,2.367933626956642e-11
N5_path_alpha0.8,5,path,0.6,4,auto,sparse,2,-0.0227860061611945,2.022786006161194,-4.072231950963148e-15,2.000000000000004,9.714929599663835e-12,4.929882890802873e-12
N5_path_alpha0.8,5,path,0.8,4,auto,sparse,2,-0.0305544527161899,2.03055445271619,-4.072231950963148e-15,2.000000000000004,2.1700913313998637e-11,1.3025316936143838e-11
N5_star_alpha0.8,5,star,0.6,4,auto,sparse,0,-0.1443318587808015,2.1443318587808013,-6.803100539407295e-15,2.0000000000000067,3.2180036067332476e-11,2.64971378172163e-11
N5_star_alpha0.8,5,star,0.8,4,auto,sparse,0,-0.131930660622335,2.131930660622335,-6.803100539407295e-15,2.0000000000000067,5.3728791578679754e-11,4.1152664609356287e-11
