lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,status
0.1,0.006495228885732729,0.9873576911282207,0.9873576911282207,0.993424815694175,0.9869722941354745,0.00827337937651391,0.016499584058660213,✓
0.17368421052631577,0.03441720097252854,0.9873576911282207,1.003282815178676,0.981059522270357,0.9631177402081452,0.024132681682008387,0.047868316421889434,✓
0.24736842105263157,0.01771964174173024,1.003282815178676,0.9873576911282207,0.9641186798489515,0.9317313711368046,0.04652088080674627,0.09158840060829564,✓
0.32105263157894737,0.019277445790153114,0.9873576911282207,0.9569774544781215,0.9446411208957797,0.8973649722536148,0.07325384990085564,0.1429672303352653,✓
0.39473684210526316,0.007745593546621521,0.9873576911282207,0.9147578608982045,0.9246071616606439,0.8637829722148213,0.10192550072285095,0.19712276139790255,✓
0.46842105263157896,0.02081232398997246,0.9719302272043421,0.9147578608982045,0.9056592523511088,0.8335363048989491,0.13021004782425186,0.24963474014672873,✓
0.5421052631578946,0.0440882512552474,0.9719302272043421,0.8405883046091609,0.8889858681599001,0.8080464750506846,0.15609659249967398,0.2969407250636097,✓
0.6157894736842104,0.1675603799743215,0.9873576911282207,0.7232969132683478,0.8753258005339807,0.7878969636648566,0.17803970731521265,0.3365018621035142,✗
0.6894736842105262,0.1892092964475527,1.003282815178676,0.7068583470577035,0.8650330599395254,0.7731274070869696,0.1950314767014657,0.3668098408382857,✗
0.763157894736842,0.411831106620978,1.0542971956114897,1.3721367913473068,0.8581571673316629,0.7634504974885508,0.2066096370047524,0.38730327521169217,✗
0.8368421052631578,0.587906408601675,1.0367255756846316,1.5295951116658504,0.8545160350370787,0.7583859099182687,0.2128163179474575,0.3982373731530857,✗
0.9105263157894736,0.21314841930574924,1.003282815178676,0.676125375446499,0.8537563021680019,0.7573343142622151,0.21411803558672346,0.400526031185756,✗
0.9842105263157893,0.5437955080714035,0.9873576911282207,1.413716694115407,0.8554058077341986,0.7596197525226457,0.21129473134044255,0.39556015802489974,✗
1.0578947368421052,0.5229493325842278,0.9569774544781215,1.352250750892998,0.858925714564167,0.7645247501046913,0.20530629576536838,0.38500265992543664,✗
1.131578947368421,0.00034431069292328864,0.9284109632996704,0.8293804605477053,0.8637671676063241,0.7713345987896464,0.19714923983972024,0.37056778207727226,✓
1.2052631578947368,0.8667141727431804,0.9284109632996704,1.63693511950205,0.8694310300771179,0.7793959886191143,0.18772186264058904,0.3538060475711105,✗
1.2789473684210526,0.43975782042315303,0.9284109632996702,1.2440706908215582,0.8755219089527172,0.788181751582876,0.17771984026673446,0.33592862304877236,✗
1.3526315789473684,0.4133290450958945,0.9569774544781217,1.2608824569137411,0.8817831257017972,0.7973422707250464,0.16758212826441285,0.3177081799053985,✗
1.4263157894736842,0.8944500068802496,0.9719302272043421,1.752212240593744,0.8881007372633793,0.8067213087361422,0.15749798705469834,0.29948181790106004,✗
1.5,1.1191156868828607,0.9719302272043424,1.9747153822564414,0.8944724955549099,0.8163227420888981,0.14747170115558345,0.28125710647403995,✗
