lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,spectral_gap,lambda_out,lambda_in,status
0.1,0.014450076663066302,2.7920904708779286,2.7920904708779286,0.9908997652920167,0.9765811877181327,0.9801130565981113,0.011479761912777171,0.029975506102809833,✓
0.11323529411764707,0.018243275942031012,2.7920904708779286,2.7920904708779286,0.9883932839338139,0.9703617525157591,0.9790548092738964,0.01467876736777196,0.038179379246194675,✓
0.1264705882352941,0.022368930482669303,2.7920904708779286,2.7920904708779286,0.9856073961106765,0.9635604127838721,0.9778653346087927,0.018253469822414128,0.04727205831190225,✓
0.13970588235294118,0.02678612825800475,2.7920904708779286,2.7920904708779286,0.9825526972006783,0.9562339146332124,0.9765448562430112,0.022196395736622618,0.057211531479166335,✓
0.15294117647058825,0.031453037368511017,2.7920904708779286,2.7920904708779286,0.9792406705380614,0.948440577134862,0.975093675290168,0.02649926888061643,0.06795289039205489,✓
0.16617647058823531,0.03632765470430088,2.7920904708779286,2.7920904708779286,0.9756836082347767,0.9402393110141773,0.9735121691866322,0.031153018714254202,0.07944877475044447,✓
0.17941176470588238,0.041368490594880236,2.7920904708779286,2.7920904708779286,0.97189452839013,0.9316887187332074,0.9718007884479389,0.036147790203666125,0.09164981808472682,✓
0.19264705882352942,0.0465351753578056,2.7920904708779286,2.7920904708779286,0.9678870896547385,0.9228462942110991,0.9699600521721816,0.04147295522445278,0.10450508696962386,✓
0.2058823529411765,0.05178897861455434,2.7920904708779286,2.7920904708779286,0.9636755041081797,0.9137677340345514,0.96799054296946,0.0471171257038389,0.11796250670931992,~
0.21911764705882356,0.05709323690491919,2.7920904708779286,2.7920904708779286,0.9592744493865052,0.9045063659908456,0.9658929018114506,0.053068168655409906,0.13196926743647835,~
0.23235294117647062,0.062413689262347805,2.7920904708779286,2.7920904708779286,0.9546989809600291,0.8951126954233097,0.9636678231218605,0.05931322325600595,0.14647220555715562,~
0.24558823529411766,0.0677187238644874,2.7920904708779286,2.7920904708779286,0.9499644454105503,0.8856340654507123,0.9613160502880431,0.06583872011102701,0.16141815650898253,~
0.25882352941176473,0.0729795415701423,2.7920904708779286,2.7920904708779286,0.9450863954977353,0.8761144236101324,0.9588383716717939,0.07263040284447234,0.17675427582761197,~
0.2720588235294118,0.07817024409420459,2.7920904708779286,2.7920904708779286,0.9400805077343217,0.866594184976526,0.9562356171280184,0.07967335213939504,0.1924283265111682,~
0.2852941176470588,0.08326785580313556,2.7920904708779286,2.7920904708779286,0.9349625031136041,0.8571101802230018,0.9535086549999265,0.08695201233981119,0.20838893160127522,~
0.29852941176470593,0.0882522887199646,3.1023227454199205,3.1023227454199205,0.9297480715512987,0.8476956763039232,0.9506583895381722,0.09445022070802045,0.22458579174330856,~
0.31176470588235294,0.0931062604137296,3.1023227454199205,3.1023227454199205,0.9244528005195498,0.838380457334175,0.9476857586842167,0.10215123941156332,0.24096986823221625,~
0.32500000000000007,0.09781517412639507,3.1023227454199205,3.1023227454199205,0.9190921082657778,0.8291909536575652,0.9445917321593571,0.1100377902913428,0.2574935326853773,~
0.3382352941176471,0.10236696987038207,3.1023227454199205,3.1023227454199205,0.9136811819235615,0.8201504079024572,0.9413773098060236,0.11809209243906142,0.2741106850106767,✗
0.3514705882352942,0.10675195441060992,3.1023227454199205,3.1023227454199205,0.9082349207404348,0.811279067887428,0.9380435201361452,0.12629590258536044,0.2907768417531123,✗
0.3647058823529412,0.1109626171133159,3.1023227454199205,3.1023227454199205,0.9027678845673108,0.8025943974498702,0.9345914190489761,0.134630558273697,0.3074491972180441,✗
0.3779411764705882,0.1149934376685513,3.1023227454199205,3.1023227454199205,0.8972942476793281,0.7941112975384657,0.9310220886884508,0.14307702376659007,0.3240866599866647,✗
0.39117647058823535,0.11884069072878833,3.1023227454199205,3.1023227454199205,0.8918277579276634,0.7858423311644332,0.9273366364172482,0.1516159386030099,0.3406498675730465,✗
0.40441176470588236,0.12250225159069461,3.1023227454199205,3.1023227454199205,0.8863817011577635,0.7777979469971472,0.9235361938896585,0.16022766869768396,0.3571011820304853,✗
0.4176470588235295,0.12597740620704434,3.1023227454199205,3.1023227454199205,0.880968870771867,0.7699866974828784,0.9196219162112289,0.16889235984559092,0.37340466930962174,✗
0.4308823529411765,0.12926666806601494,3.1023227454199205,3.1023227454199205,0.8756015422625333,0.7624154483407917,0.9155949811757811,0.17758999346898155,0.38952606511360094,✗
0.4441176470588236,0.13237160382202173,3.1023227454199205,3.1023227454199205,0.8702914524999381,0.7550895771399244,0.9114565885737393,0.18630044441932403,0.4054327298949915,✗
0.45735294117647063,0.13529466900624187,3.1023227454199205,3.1023227454199205,0.8650497835183494,0.7480131593833131,0.9072079595682352,0.19500354062395425,0.4210935955064499,✗
0.47058823529411764,0.13803905468150635,3.1023227454199205,3.1023227454199205,0.8598871505168081,0.7411891411266938,0.9028503361361873,0.20367912434640623,0.4364791058593418,✗
0.48382352941176476,0.14060854552824154,3.1023227454199205,3.1023227454199205,0.85481359376487,0.7346194976478225,0.8983849805738933,0.21230711481155068,0.45156115377058986,✗
0.4970588235294118,0.1430073895463928,3.1023227454199205,3.1023227454199205,0.8498385740867649,0.7283053780707879,0.8938131750662315,0.22086757193064321,0.46631301599218167,✗
0.5102941176470589,0.14524017932360112,3.1023227454199205,3.1023227454199205,0.8449709715851341,0.7222472361488718,0.8891362213202809,0.22934076084891591,0.480709288228202,✗
