alpha,hotspot_multiplier,lambda_c1,lambda_revival,residual_min,lambda_revival_first,residual_min_first,lambda_revival_global,residual_min_global,first_violation_lambda,revival_method,revival_gap,lambda_c2,max_residual,mean_residual
0.8,2.0,0.4375,0.55,0.10229803868650378,0.55,0.10229803868650378,0.55,0.10229803868650378,0.55,global_minimum_fallback,0.0,0.65,0.8296706268400442,0.2790925031845243
0.8,3.0,0.21250000000000002,0.4375,0.13368509953806906,0.4375,0.13368509953806906,0.4375,0.13368509953806906,0.4375,global_minimum_fallback,0.0,0.65,0.7995452921810184,0.31189662258465706
