scenario_id,points,valid_points,best_lambda,best_slope,best_power,best_target_error,mean_target_error,median_target_error
N5_star_alpha0.8,6,6,0.8,-2.4070590827994596,2.4070590827994596,0.40705908279945957,0.6270856178934447,0.6342847614714882
N5_path_alpha0.8,6,6,1.0,-3.1184230657586904,3.1184230657586904,1.1184230657586904,1.1255303922229098,1.1236636894738892
N5_cycle_alpha0.8,6,6,0.6,-3.7545739642457936,3.7545739642457936,1.7545739642457936,1.9028372767608304,1.9021404318004445
