scenario_id,bond_cutoff,points,valid_points,best_lambda,best_slope,best_power,best_target_error,mean_target_error,median_target_error
N4_star_alpha0.8,4,5,5,0.4,-2.3259556156282013,2.3259556156282013,0.3259556156282013,0.5798664713550405,0.686519873705445
N4_star_alpha0.8,3,5,5,0.6,-2.523327248028716,2.523327248028716,0.5233272480287159,0.6266330319543891,0.5657683110870986
N4_path_alpha0.8,3,5,5,0.6,-3.415244133444257,3.415244133444257,1.415244133444257,1.7410122576247162,1.8056922614863327
N4_cycle_alpha0.8,3,5,5,0.4,-3.4492317135828316,3.4492317135828316,1.4492317135828316,1.8114898293361825,1.8039632231153142
N4_cycle_alpha0.8,4,5,5,0.4,-3.68532851543187,3.68532851543187,1.6853285154318698,1.8635861471168311,1.8567579296218861
N4_path_alpha0.8,4,5,5,0.6,-3.717770402932608,3.717770402932608,1.717770402932608,1.8715609359252938,1.8439464098095972
