scenario_id,N,topology,alpha,lambda,bond_cutoff,spin2_power,spin2_slope,spin2_target_error,fit_quality,num_modes,method,lambda_out,lambda_in,edge_count
N4_cycle_alpha0.8,4,cycle,0.8,0.2,3,3.803963223115314,-3.803963223115314,1.8039632231153142,False,128,bond_correlator,0.06577719238053321,0.06577719238053321,4
N4_cycle_alpha0.8,4,cycle,0.8,0.4,3,3.4492317135828316,-3.4492317135828316,1.4492317135828316,False,128,bond_correlator,0.22066980051978283,0.22066980051978227,4
N4_cycle_alpha0.8,4,cycle,0.8,0.6,3,4.048172782189985,-4.048172782189985,2.048172782189985,False,128,bond_correlator,0.3982954071835577,0.3982954071835575,4
N4_cycle_alpha0.8,4,cycle,0.8,0.8,3,3.786440412243996,-3.786440412243996,1.786440412243996,False,128,bond_correlator,0.5655914148046655,0.5655914148046663,4
N4_cycle_alpha0.8,4,cycle,0.8,1.0,3,3.9696410155487873,-3.9696410155487873,1.9696410155487873,False,128,bond_correlator,0.7079742143429544,0.7079742143429544,4
N4_cycle_alpha0.8,4,cycle,0.8,0.2,4,3.79144333521485,-3.79144333521485,1.7914433352148502,False,128,bond_correlator,0.065777684918954,0.065777684918954,4
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,3.68532851543187,-3.68532851543187,1.6853285154318698,False,128,bond_correlator,0.22069358266630035,0.22069358266630035,4
N4_cycle_alpha0.8,4,cycle,0.8,0.6,4,3.856757929621886,-3.856757929621886,1.8567579296218861,False,128,bond_correlator,0.3984852273423479,0.3984852273423484,4
N4_cycle_alpha0.8,4,cycle,0.8,0.8,4,3.9802929717497433,-3.9802929717497433,1.9802929717497433,False,128,bond_correlator,0.5663189145260209,0.5663189145260207,4
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,4.004107983565806,-4.004107983565806,2.004107983565806,False,128,bond_correlator,0.7098001235001051,0.7098001235001056,4
N4_path_alpha0.8,4,path,0.8,0.2,3,3.718826393421249,-3.718826393421249,1.7188263934212489,False,128,bond_correlator,0.011908558451656982,0.04537704236147361,3
N4_path_alpha0.8,4,path,0.8,0.4,3,3.93905514401697,-3.93905514401697,1.93905514401697,False,128,bond_correlator,0.0449499585030451,0.160779307489317,3
N4_path_alpha0.8,4,path,0.8,0.6,3,3.415244133444257,-3.415244133444257,1.415244133444257,False,128,bond_correlator,0.09265240530647949,0.3039829582865525,3
N4_path_alpha0.8,4,path,0.8,0.8,3,3.8262433557547717,-3.8262433557547717,1.8262433557547717,False,128,bond_correlator,0.147637831663747,0.4409791120849102,3
N4_path_alpha0.8,4,path,0.8,1.0,3,3.8056922614863327,-3.8056922614863327,1.8056922614863327,False,128,bond_correlator,0.2032881242730046,0.5546038029072685,3
N4_path_alpha0.8,4,path,0.8,0.2,4,3.8439464098095972,-3.8439464098095972,1.8439464098095972,False,128,bond_correlator,0.011908636046731595,0.04537737341887368,3
N4_path_alpha0.8,4,path,0.8,0.4,4,3.8194055938589835,-3.8194055938589835,1.8194055938589835,False,128,bond_correlator,0.044954516570209956,0.16079671226058456,3
N4_path_alpha0.8,4,path,0.8,0.6,4,3.717770402932608,-3.717770402932608,1.717770402932608,False,128,bond_correlator,0.09269776851461393,0.30413220728463697,3
N4_path_alpha0.8,4,path,0.8,0.8,4,4.040302284980894,-4.040302284980894,2.0403022849808936,False,128,bond_correlator,0.1478508778444592,0.44157514180583457,3
N4_path_alpha0.8,4,path,0.8,1.0,4,3.936379988044386,-3.936379988044386,1.936379988044386,False,128,bond_correlator,0.20393826727149453,0.5561481202214275,3
N4_star_alpha0.8,4,star,0.8,0.2,3,2.7316502735705397,-2.7316502735705397,0.7316502735705397,False,128,bond_correlator,0.09684449235995783,0.03300911783574769,3
N4_star_alpha0.8,4,star,0.8,0.4,3,2.7493062074314056,-2.7493062074314056,0.7493062074314056,False,128,bond_correlator,0.31161106916870795,0.11151785706368031,3
N4_star_alpha0.8,4,star,0.8,0.6,3,2.523327248028716,-2.523327248028716,0.5233272480287159,False,128,bond_correlator,0.5357053142578527,0.2014877845092397,3
N4_star_alpha0.8,4,star,0.8,0.8,3,2.563113119654186,-2.563113119654186,0.5631131196541861,False,128,bond_correlator,0.7216188114354637,0.2825510381737957,3
N4_star_alpha0.8,4,star,0.8,1.0,3,2.5657683110870986,-2.5657683110870986,0.5657683110870986,False,128,bond_correlator,0.8585598131905928,0.3460500416003305,3
N4_star_alpha0.8,4,star,0.8,0.2,4,2.6982831030972108,-2.6982831030972108,0.6982831030972108,False,128,bond_correlator,0.09684520772453023,0.03300936707853901,3
N4_star_alpha0.8,4,star,0.8,0.4,4,2.3259556156282013,-2.3259556156282013,0.3259556156282013,False,128,bond_correlator,0.3116432738357014,0.11153018909468568,3
N4_star_alpha0.8,4,star,0.8,0.6,4,2.686519873705445,-2.686519873705445,0.686519873705445,False,128,bond_correlator,0.5359427760829395,0.2015875781275961,3
N4_star_alpha0.8,4,star,0.8,0.8,4,2.433791261531345,-2.433791261531345,0.43379126153134484,False,128,bond_correlator,0.722455781625121,0.2829293329528751,3
N4_star_alpha0.8,4,star,0.8,1.0,4,2.7547825028130006,-2.7547825028130006,0.7547825028130006,False,128,bond_correlator,0.8605030138105911,0.34697437911522183,3
