lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,E0,E1,gap01,status
0.55,0.15654321576308228,0.930696823625976,0.930696823625976,0.8499327392034198,0.7168815350261913,0.22070461266327268,0.49366326781499686,7.460374094557089,8.331905152806044,0.871531058248955,✗
0.5517647058823529,0.15680827865186242,0.930696823625976,0.930696823625976,0.8494880102122392,0.7162812575954622,0.22147456464711676,0.4951245397600068,7.4594627673730844,8.330314764824015,0.8708519974509308,✗
0.5535294117647059,0.15707058831195253,0.930696823625976,0.930696823625976,0.8490454844536282,0.7156854107068901,0.22224150282642546,0.4965774505104998,7.458548333406287,8.32871961811287,0.8701712847065837,✗
0.5552941176470588,0.1573301513566473,0.930696823625976,0.930696823625976,0.8486051664852683,0.7150939872001082,0.22300540860152768,0.4980219696634177,7.457630790918744,8.327119715292275,0.8694889243735311,✗
0.5570588235294118,0.1575869744010583,0.930696823625976,0.930696823625976,0.8481670607723302,0.7145069798785801,0.22376626352568535,0.4994580671730022,7.456710138167854,8.325515058982083,0.8688049208142283,✗
0.5588235294117647,0.15784106406065912,0.930696823625976,0.930696823625976,0.8477311716889971,0.7139243815122165,0.22452404930390032,0.5008857133472339,7.4557863734063785,8.323905651802324,0.8681192783959455,✗
0.5605882352941176,0.15809242694986791,0.930696823625976,0.930696823625976,0.8472975035199676,0.7133461848399316,0.22527874779173387,0.502304878844328,7.454859494882438,8.322291496373063,0.8674320014906254,✗
0.5613636363636364,0.15820201369234999,0.930696823625976,0.930696823625976,0.847107655757862,0.7130935188027622,0.22560937680546841,0.5029257622459802,7.454451244958347,8.321580745392712,0.8671295004343653,✗
0.5623529411764706,0.15834106968065742,0.930696823625976,0.930696823625976,0.8468660604619502,0.7127723825721607,0.22603034099412056,0.5037155346692332,7.453929500839521,8.320672595314523,0.8667430944750016,✗
0.5641176470588235,0.15858699886121386,0.930696823625976,0.930696823625976,0.8464368466251363,0.7122029673933064,0.22677881106420084,0.505117652170215,7.452996389516509,8.319048951246849,0.8660525617303403,✗
