lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,E0,E1,E2,E3,E4,E5,gap01,gap12,gap23,gap34,gap45,min_gap,status
0.1,0.021023758710942975,0.930696823625976,0.930696823625976,0.9897631051614595,0.9689545644575512,0.012928465893955772,0.04005016938001235,17.194428531899053,18.172975902608428,18.187139750027367,18.20077596743227,18.21371980206741,18.594560381873475,0.978547370709375,0.014163847418938502,0.013636217404904727,0.012943834635137819,0.38084057980606545,0.012943834635137819,✓
0.15625,0.0465928457383048,0.930696823625976,0.930696823625976,0.9762622349224964,0.9307753992106199,0.030393684489121994,0.0929663064366665,17.186608881026405,18.15747653761768,18.177578938968953,18.193194539724146,18.210327772636244,18.586966265179463,0.9708676565912739,0.020102401351273613,0.015615600755193526,0.017133232912097895,0.37663849254321846,0.015615600755193526,✓
0.21250000000000002,0.07594025071833788,0.930696823625976,0.930696823625976,0.959099784177573,0.8862655061032244,0.053305475219008205,0.16041255853007455,17.17534571816127,18.135258861553016,18.163847538128213,18.182443163465567,18.205431824940206,18.576096529830693,0.9599131433917449,0.028588676575196814,0.018595625337354704,0.022988661474638405,0.370664704890487,0.018595625337354704,~
0.26875000000000004,0.10486677362483998,0.930696823625976,0.930696823625976,0.9400615497192486,0.8414803279914239,0.07970016737022713,0.23547738838255936,17.160627955475345,18.106522735699343,18.145983595180525,18.168562877358347,18.199005976466417,18.56200379159706,0.9458947802239983,0.03946085948118139,0.02257928217782279,0.030443099108069305,0.3629978151306439,0.02257928217782279,✗
0.32500000000000007,0.13074110743971445,0.930696823625976,0.930696823625976,0.9207827102637232,0.8003985590125022,0.10754069452714325,0.3117219520512344,17.142441476638332,18.07152220817456,18.124038292406066,18.151583049152038,18.19101331968467,18.54474240510739,0.9290807315362279,0.052516084231506,0.027544756745971455,0.039430270532633926,0.3537290854227173,0.027544756745971455,✗
0.3812500000000001,0.15234578955609757,0.930696823625976,0.930696823625976,0.9025638628884388,0.7650620585718982,0.1349435495895829,0.3838543860524337,17.120769380549966,18.03053182598454,18.098073466611616,18.13153771360333,18.181407449844528,18.524359482034093,0.9097624454345734,0.06754164062707702,0.0334642469917128,0.049869736241198837,0.34295203218956516,0.0334642469917128,✗
0.4375,0.1693939190513961,0.930696823625976,0.930696823625976,0.8863163567114938,0.7361797555287787,0.16033163896228256,0.44795486851191346,17.095592242530625,17.983828256266634,18.068159937136038,18.108468386079934,18.170132961269786,18.500885579032285,0.8882360137360088,0.08433168086940412,0.040308448943896735,0.06166457518985169,0.3307526177624993,0.040308448943896735,✗
0.49375,0.18208147753319615,0.930696823625976,0.930696823625976,0.8725934403050476,0.7137103374085297,0.18251134178021775,0.50141080979537,17.0668883742032,17.931679300237533,18.034376247898532,18.082422407238656,18.157125467051504,18.47432507114272,0.8647909260343347,0.10269694766099846,0.04804615934012446,0.07470305981284753,0.31719960409121484,0.04804615934012446,✗
0.55,0.5241229625198848,0.930696823625976,1.2409290981679681,0.861658733945134,0.6972631836103886,0.20069033801448521,0.5427233638345451,17.03463406482908,17.874337011400822,17.99680754845499,18.053450464666057,18.14231147879955,18.444645595969554,0.8397029465717409,0.12247053705416633,0.056642916211067984,0.08886101413349223,0.30233411717000536,0.056642916211067984,✗
0.5750000000000001,0.5268233460621223,0.930696823625976,1.2409290981679681,0.8577120055673898,0.6917532986925206,0.2073656330869539,0.5570025865617392,17.019152554142533,17.847246100634287,17.978918950441123,18.039648380713672,18.135126328202663,18.430434325981086,0.828093546491754,0.13167284980683647,0.06072943027254851,0.09547794748899108,0.29530799777842276,0.06072943027254851,✗
