lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,E0,E1,E2,E3,E4,E5,gap01,gap12,gap23,gap34,gap45,min_gap,status
0.1,0.014445999093099293,0.930696823625976,0.930696823625976,0.9903779482001192,0.9760709492585947,0.012144418978340073,0.03064460985082767,7.5953139147302275,8.575263782615476,8.587874550716087,8.602066800832345,8.613993026384556,9.565278393681698,0.9799498678852485,0.012610768100611125,0.01419225011625791,0.011926225552210568,0.9512853672971424,0.011926225552210568,✓
0.15625,0.032650692059543074,0.930696823625976,0.930696823625976,0.9774904512202258,0.9455747115062905,0.028784870419546017,0.07194736681225673,7.5887664392334475,8.563087091461998,8.579374281161154,8.596223597383025,8.610986992421209,9.546549363112483,0.9743206522285508,0.0162871896991561,0.01684931622187058,0.014763395038183802,0.9355623706912741,0.014763395038183802,✓
0.21250000000000002,0.05449778267268912,0.930696823625976,0.930696823625976,0.960743416609771,0.9083850306871549,0.05107579025724155,0.1260684707171227,7.579325583789205,8.54558472758851,8.567162380093853,8.58784707706264,8.606640057382174,9.519665720507383,0.9662591437993049,0.021577652505342826,0.02068469696878772,0.01879298031953347,0.9130256631252092,0.01879298031953347,~
0.26875000000000004,0.0771781200252124,0.930696823625976,0.930696823625976,0.941602280017951,0.8689311862347119,0.07752439806769539,0.18854889754452375,7.566971086191848,8.522798042040364,8.551260374908738,8.576949862441609,8.600929210122553,9.48618487253249,0.955826955848516,0.028462332868373963,0.025689487532870814,0.02397934768094423,0.8852556624099375,0.02397934768094423,~
0.32500000000000007,0.09863475849489134,0.930696823625976,0.930696823625976,0.9214597006137197,0.8305717455809106,0.10654331835397958,0.2549873856782076,7.5516766919808616,8.494784175291437,8.53169594274588,8.56354181686169,8.593824212103861,9.447339800833923,0.9431074833105759,0.03691176745444302,0.031845874115809636,0.030282395242171134,0.8535155887300618,0.030282395242171134,~
0.3812500000000001,0.11765306093530303,0.930696823625976,0.930696823625976,0.9014785030656262,0.7954167978125802,0.13661099044421932,0.32150314581932,7.533410298271963,8.46161080705669,8.508502602696757,8.547632909110831,8.585287437461512,9.403786371072748,0.9282005087847276,0.04689179564006629,0.03913030641407467,0.037654528350680394,0.8184989336112363,0.037654528350680394,✗
0.4375,0.13368688495488534,0.930696823625976,0.930696823625976,0.8825312141626022,0.7645483652657511,0.16638049730181376,0.3849521584098994,7.512134123887533,8.4233528137171,8.481719362083554,8.529233958035018,8.575273680613755,9.355815916940358,0.9112186898295676,0.05836654836645394,0.04751459595146379,0.046039722578736786,0.7805422363266032,0.046039722578736786,✗
0.49375,0.14661804428174063,0.930696823625976,0.930696823625976,0.8652124206503483,0.7383566676463236,0.19473191804207005,0.4429487533235849,7.487804901795577,8.38008997262831,8.45139032929673,8.508356265664567,8.563729935288467,9.303530161482808,0.8922850708327337,0.07130035666842005,0.056965936367836534,0.05537366962390067,0.7398002261943404,0.05537366962390067,✗
0.55,0.15655407610111693,0.930696823625976,0.930696823625976,0.8498905311599475,0.7168367042671144,0.22077765214535944,0.49377231600882593,7.460374089736163,8.331905138506041,8.417564305200049,8.485010842697342,8.55059515030967,9.246947050334025,0.871531048769878,0.08565916669400764,0.06744653749729324,0.06558430761232792,0.6963519000243554,0.06558430761232792,✗
0.5750000000000001,0.1600593861097328,0.930696823625976,0.930696823625976,0.8437799048591987,0.7087250112757066,0.23142897549638483,0.5137306149955074,7.447173206342353,8.308931809654624,8.401421762286454,8.473845622645264,8.544228932561477,9.22041869254609,0.8617586033122704,0.09248995263182991,0.07242386035881054,0.07038330991621322,0.676189759984613,0.07038330991621322,✗
0.6000000000000001,0.16303108815716605,0.930696823625976,0.930696823625976,0.8381160957848384,0.7014771166870005,0.24144015523226606,0.5319540655917797,7.433344126148049,8.285010350889959,8.384603799627266,8.462195660693489,8.537528220937599,9.193041222982679,0.8516662247419093,0.09959344873730736,0.07759186106622273,0.07533256024411017,0.6555130020450797,0.07533256024411017,✗
