scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,frustration_time,deltaB,kappa,k0,backend,effective_backend,total_dim,source_site,raw_power,raw_residual,raw_r2,bg_power,bg_residual,bg_r2,delta_lambda_edge_l2,delta_lambda_edge_maxabs,shell_count,lambda_shell_json
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,1.0,6.5,0.2,4,dense,dense,1024,1,-0.010283733217715972,2.010283733217716,0.9754371693624524,-0.6599423002179456,2.6599423002179456,0.9899230540102243,0.05016114214901618,0.028960548922593577,3,"{""0"": 0.16079671226058456, ""1"": 0.10287561441539711, ""2"": 0.044954516570209956}"
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,1.0,6.5,0.2,4,dense,dense,1024,1,-0.032586802782766995,2.032586802782767,0.9731257909336806,-0.6599423002179474,2.6599423002179474,0.9899230540102241,0.15251134005891157,0.08805246323748316,3,"{""0"": 0.5561481202214275, ""1"": 0.38004319374646084, ""2"": 0.20393826727149397}"
N4_path_alpha0.8,4,path,0.8,0.4,5,1.5,1.0,6.5,0.2,4,auto,dense,2000,1,-0.01028373348046486,2.010283733480465,0.9754371692793873,-0.6599423002179465,2.6599423002179465,0.9899230540102241,0.05016115085231712,0.02896055394744672,3,"{""0"": 0.1607967372335871, ""1"": 0.10287562933869335, ""2"": 0.044954521443799925}"
N4_path_alpha0.8,4,path,0.8,1.0,5,1.5,1.0,6.5,0.2,4,auto,dense,2000,1,-0.03258644265135251,2.0325864426513527,0.9731255262772749,-0.6599423002179456,2.6599423002179456,0.9899230540102243,0.15251501294918196,0.08805458378166947,3,"{""0"": 0.5561607636811425, ""1"": 0.3800515961178036, ""2"": 0.20394242855446496}"
N4_path_alpha0.8,4,path,0.8,0.4,5,1.5,1.0,6.5,0.2,4,dense,dense,2000,1,-0.01028373348046486,2.010283733480465,0.9754371692793873,-0.6599423002179465,2.6599423002179465,0.9899230540102241,0.05016115085231712,0.02896055394744672,3,"{""0"": 0.1607967372335871, ""1"": 0.10287562933869335, ""2"": 0.044954521443799925}"
N4_path_alpha0.8,4,path,0.8,1.0,5,1.5,1.0,6.5,0.2,4,dense,dense,2000,1,-0.03258644265135251,2.0325864426513527,0.9731255262772749,-0.6599423002179456,2.6599423002179456,0.9899230540102243,0.15251501294918196,0.08805458378166947,3,"{""0"": 0.5561607636811425, ""1"": 0.3800515961178036, ""2"": 0.20394242855446496}"
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,1.0,6.5,0.2,4,auto,dense,1024,0,-0.01513520984684497,2.015135209846845,0.9919695099345274,6.335548858600769e-15,1.9999999999999936,0.0,2.1103821920200813e-16,1.5265566588595902e-16,2,"{""0"": 0.3116432738357014, ""1"": 0.11153018909468537}"
N4_star_alpha0.8,4,star,0.8,1.0,4,1.5,1.0,6.5,0.2,4,auto,dense,1024,0,-0.03839994047571396,2.038399940475714,0.9922415695407857,6.335548858600769e-15,1.9999999999999936,0.0,2.0396099332657776e-16,1.6653345369377348e-16,2,"{""0"": 0.8605030138105911, ""1"": 0.3469743791152215}"
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,1.0,6.5,0.2,4,dense,dense,1024,0,-0.01513520984684497,2.015135209846845,0.9919695099345274,6.335548858600769e-15,1.9999999999999936,0.0,2.1103821920200813e-16,1.5265566588595902e-16,2,"{""0"": 0.3116432738357014, ""1"": 0.11153018909468537}"
N4_star_alpha0.8,4,star,0.8,1.0,4,1.5,1.0,6.5,0.2,4,dense,dense,1024,0,-0.03839994047571396,2.038399940475714,0.9922415695407857,6.335548858600769e-15,1.9999999999999936,0.0,2.0396099332657776e-16,1.6653345369377348e-16,2,"{""0"": 0.8605030138105911, ""1"": 0.3469743791152215}"
N4_star_alpha0.8,4,star,0.8,0.4,5,1.5,1.0,6.5,0.2,4,auto,dense,2000,0,-0.015135210480604571,2.0151352104806044,0.9919695099420138,6.335548858600769e-15,1.9999999999999936,0.0,1.2470719426290902e-16,1.0408340855860843e-16,2,"{""0"": 0.3116433239323521, ""1"": 0.11153020827816922}"
N4_star_alpha0.8,4,star,0.8,1.0,5,1.5,1.0,6.5,0.2,4,auto,dense,2000,0,-0.0383990973330629,2.038399097333063,0.992241559766011,6.335548858600769e-15,1.9999999999999936,0.0,3.713442931002523e-16,3.0531133177191805e-16,2,"{""0"": 0.8605188664230417, ""1"": 0.34698192253647625}"
N4_star_alpha0.8,4,star,0.8,0.4,5,1.5,1.0,6.5,0.2,4,dense,dense,2000,0,-0.015135210480604571,2.0151352104806044,0.9919695099420138,6.335548858600769e-15,1.9999999999999936,0.0,1.2470719426290902e-16,1.0408340855860843e-16,2,"{""0"": 0.3116433239323521, ""1"": 0.11153020827816922}"
N4_star_alpha0.8,4,star,0.8,1.0,5,1.5,1.0,6.5,0.2,4,dense,dense,2000,0,-0.0383990973330629,2.038399097333063,0.992241559766011,6.335548858600769e-15,1.9999999999999936,0.0,3.713442931002523e-16,3.0531133177191805e-16,2,"{""0"": 0.8605188664230417, ""1"": 0.34698192253647625}"
