scenario_id,N,topology,alpha,bond_cutoff,hotspot_multiplier,deltaB,kappa,backend,points,best_raw_lambda,best_raw_power,best_raw_residual,best_bg_lambda,best_bg_power,best_bg_residual,bg_minus_raw_residual,source_site_at_best_bg
N4_cycle_alpha0.8,4,cycle,0.8,4,1.5,6.5,0.2,auto,2,1.0,-0.0006863124658309853,2.000686312465831,0.4,-6.803100539407295e-15,2.0000000000000067,-0.0006863124658242903,2
N4_cycle_alpha0.8,4,cycle,0.8,4,1.5,6.5,0.2,dense,2,1.0,-0.0006863124658309853,2.000686312465831,0.4,-6.803100539407295e-15,2.0000000000000067,-0.0006863124658242903,2
N4_cycle_alpha0.8,4,cycle,0.8,5,1.5,6.5,0.2,auto,2,1.0,-0.0006854618263759982,2.000685461826376,0.4,-6.803100539407295e-15,2.0000000000000067,-0.0006854618263694157,2
N4_cycle_alpha0.8,4,cycle,0.8,5,1.5,6.5,0.2,dense,2,1.0,-0.0006854617608974311,2.0006854617608973,0.4,-6.803100539407295e-15,2.0000000000000067,-0.0006854617608906821,0
N4_path_alpha0.8,4,path,0.8,4,1.5,6.5,0.2,auto,2,0.4,-0.010283733217715972,2.010283733217716,0.4,-0.6599423002179456,2.6599423002179456,0.6496585670002295,1
N4_path_alpha0.8,4,path,0.8,4,1.5,6.5,0.2,dense,2,0.4,-0.010283733217715972,2.010283733217716,0.4,-0.6599423002179456,2.6599423002179456,0.6496585670002295,1
N4_path_alpha0.8,4,path,0.8,5,1.5,6.5,0.2,auto,2,0.4,-0.01028373348046486,2.010283733480465,1.0,-0.6599423002179456,2.6599423002179456,0.6496585667374806,1
N4_path_alpha0.8,4,path,0.8,5,1.5,6.5,0.2,dense,2,0.4,-0.01028373348046486,2.010283733480465,1.0,-0.6599423002179456,2.6599423002179456,0.6496585667374806,1
N4_star_alpha0.8,4,star,0.8,4,1.5,6.5,0.2,auto,2,0.4,-0.01513520984684497,2.015135209846845,0.4,6.335548858600769e-15,1.9999999999999936,-0.015135209846851572,0
N4_star_alpha0.8,4,star,0.8,4,1.5,6.5,0.2,dense,2,0.4,-0.01513520984684497,2.015135209846845,0.4,6.335548858600769e-15,1.9999999999999936,-0.015135209846851572,0
N4_star_alpha0.8,4,star,0.8,5,1.5,6.5,0.2,auto,2,0.4,-0.015135210480604571,2.0151352104806044,0.4,6.335548858600769e-15,1.9999999999999936,-0.015135210480610839,0
N4_star_alpha0.8,4,star,0.8,5,1.5,6.5,0.2,dense,2,0.4,-0.015135210480604571,2.0151352104806044,0.4,6.335548858600769e-15,1.9999999999999936,-0.015135210480610839,0
