scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,deltaB,kappa,backend,source_site,site,shell,lambda_site,lambda_bg,delta_lambda
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,6.5,0.2,dense,1,2,1,0.16079671226058426,0.10287561441539711,0.05792109784518715
N4_path_alpha0.8,4,path,0.8,0.4,5,1.5,6.5,0.2,auto,1,2,1,0.16079673723358678,0.10287562933869335,0.05792110789489344
N4_path_alpha0.8,4,path,0.8,0.4,5,1.5,6.5,0.2,dense,1,2,1,0.16079673723358678,0.10287562933869335,0.05792110789489344
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,6.5,0.2,auto,1,3,2,0.044954516570209956,0.044954516570209956,0.0
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,6.5,0.2,dense,1,3,2,0.044954516570209956,0.044954516570209956,0.0
N4_path_alpha0.8,4,path,0.8,0.4,5,1.5,6.5,0.2,auto,1,3,2,0.044954521443799925,0.044954521443799925,0.0
N4_path_alpha0.8,4,path,0.8,0.4,5,1.5,6.5,0.2,dense,1,3,2,0.044954521443799925,0.044954521443799925,0.0
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,auto,1,0,1,0.20393826727149453,0.38004319374646084,-0.1761049264749663
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,dense,1,0,1,0.20393826727149453,0.38004319374646084,-0.1761049264749663
N4_path_alpha0.8,4,path,0.8,1.0,5,1.5,6.5,0.2,auto,1,0,1,0.20394242855446468,0.3800515961178036,-0.17610916756333891
N4_path_alpha0.8,4,path,0.8,1.0,5,1.5,6.5,0.2,dense,1,0,1,0.20394242855446468,0.3800515961178036,-0.17610916756333891
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,auto,1,1,0,0.5561481202214275,0.5561481202214275,0.0
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,dense,1,1,0,0.5561481202214275,0.5561481202214275,0.0
N4_path_alpha0.8,4,path,0.8,1.0,5,1.5,6.5,0.2,auto,1,1,0,0.5561607636811425,0.5561607636811425,0.0
N4_path_alpha0.8,4,path,0.8,1.0,5,1.5,6.5,0.2,dense,1,1,0,0.5561607636811425,0.5561607636811425,0.0
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,auto,1,2,1,0.5561481202214271,0.38004319374646084,0.17610492647496628
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,dense,1,2,1,0.5561481202214271,0.38004319374646084,0.17610492647496628
N4_path_alpha0.8,4,path,0.8,1.0,5,1.5,6.5,0.2,auto,1,2,1,0.5561607636811425,0.3800515961178036,0.17610916756333894
