scenario_id,points,valid_points,best_lambda,best_slope,best_power,best_target_error,mean_target_error,median_target_error
N4_star_alpha0.8,9,9,1.4,-2.2578429731749576,2.2578429731749576,0.25784297317495763,0.5675722800663168,0.686519873705445
N4_path_alpha0.8,9,9,0.3,-3.6150666462465235,3.6150666462465235,1.6150666462465235,1.8784340251387759,1.8439464098095972
N4_cycle_alpha0.8,9,9,0.4,-3.68532851543187,3.68532851543187,1.6853285154318698,1.8908960785877338,1.8834074023524403
