scenario_id,N,topology,alpha,lambda,spin2_power,spin2_slope,spin2_target_error,fit_quality,num_modes,method,lambda_out,lambda_in,edge_count
N4_cycle_alpha0.8,4,cycle,0.8,0.1,4.031557916450813,-4.031557916450813,2.0315579164508133,False,128,bond_correlator,0.01731757759226488,0.01731757759226488,4
N4_cycle_alpha0.8,4,cycle,0.8,0.2,3.79144333521485,-3.79144333521485,1.7914433352148502,False,128,bond_correlator,0.065777684918954,0.065777684918954,4
N4_cycle_alpha0.8,4,cycle,0.8,0.3,3.7694396730483066,-3.7694396730483066,1.7694396730483066,False,128,bond_correlator,0.13680658277558846,0.13680658277558874,4
N4_cycle_alpha0.8,4,cycle,0.8,0.4,3.68532851543187,-3.68532851543187,1.6853285154318698,False,128,bond_correlator,0.22069358266630035,0.22069358266630035,4
N4_cycle_alpha0.8,4,cycle,0.8,0.6,3.856757929621886,-3.856757929621886,1.8567579296218861,False,128,bond_correlator,0.3984852273423479,0.3984852273423484,4
N4_cycle_alpha0.8,4,cycle,0.8,0.8,3.9802929717497433,-3.9802929717497433,1.9802929717497433,False,128,bond_correlator,0.5663189145260209,0.5663189145260207,4
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4.004107983565806,-4.004107983565806,2.004107983565806,False,128,bond_correlator,0.7098001235001051,0.7098001235001056,4
N4_cycle_alpha0.8,4,cycle,0.8,1.2,4.015728979853889,-4.015728979853889,2.015728979853889,False,128,bond_correlator,0.8111494758452263,0.8111494758452247,4
N4_cycle_alpha0.8,4,cycle,0.8,1.4,3.8834074023524403,-3.8834074023524403,1.8834074023524403,False,128,bond_correlator,0.8605815812629048,0.8605815812629036,4
N4_path_alpha0.8,4,path,0.8,0.1,4.143751915003757,-4.143751915003757,2.143751915003757,False,128,bond_correlator,0.0030230351769673014,0.011723476488972847,3
N4_path_alpha0.8,4,path,0.8,0.2,3.8439464098095972,-3.8439464098095972,1.8439464098095972,False,128,bond_correlator,0.011908636046731595,0.04537737341887368,3
N4_path_alpha0.8,4,path,0.8,0.3,3.6150666462465235,-3.6150666462465235,1.6150666462465235,False,128,bond_correlator,0.02613998633762459,0.09689032296494916,3
N4_path_alpha0.8,4,path,0.8,0.4,3.8194055938589835,-3.8194055938589835,1.8194055938589835,False,128,bond_correlator,0.044954516570209956,0.16079671226058456,3
N4_path_alpha0.8,4,path,0.8,0.6,3.717770402932608,-3.717770402932608,1.717770402932608,False,128,bond_correlator,0.09269776851461393,0.30413220728463697,3
N4_path_alpha0.8,4,path,0.8,0.8,4.040302284980894,-4.040302284980894,2.0403022849808936,False,128,bond_correlator,0.1478508778444592,0.44157514180583457,3
N4_path_alpha0.8,4,path,0.8,1.0,3.936379988044386,-3.936379988044386,1.936379988044386,False,128,bond_correlator,0.20393826727149453,0.5561481202214275,3
N4_path_alpha0.8,4,path,0.8,1.2,4.001415960875462,-4.001415960875462,2.0014159608754616,False,128,bond_correlator,0.2556069642013069,0.6425157853949376,3
N4_path_alpha0.8,4,path,0.8,1.4,3.7878670244967743,-3.7878670244967743,1.7878670244967743,False,128,bond_correlator,0.2987779569479133,0.7012922352311045,3
N4_star_alpha0.8,4,star,0.8,0.1,2.331537199812562,-2.331537199812562,0.331537199812562,False,128,bond_correlator,0.025847159447408445,0.008667274529402628,3
N4_star_alpha0.8,4,star,0.8,0.2,2.6982831030972108,-2.6982831030972108,0.6982831030972108,False,128,bond_correlator,0.09684520772453023,0.03300936707853901,3
N4_star_alpha0.8,4,star,0.8,0.3,2.869663620917287,-2.869663620917287,0.869663620917287,False,128,bond_correlator,0.19755619883104142,0.06890199292243591,3
N4_star_alpha0.8,4,star,0.8,0.4,2.3259556156282013,-2.3259556156282013,0.3259556156282013,False,128,bond_correlator,0.3116432738357014,0.11153018909468568,3
N4_star_alpha0.8,4,star,0.8,0.6,2.686519873705445,-2.686519873705445,0.686519873705445,False,128,bond_correlator,0.5359427760829395,0.2015875781275961,3
N4_star_alpha0.8,4,star,0.8,0.8,2.433791261531345,-2.433791261531345,0.43379126153134484,False,128,bond_correlator,0.722455781625121,0.2829293329528751,3
N4_star_alpha0.8,4,star,0.8,1.0,2.7547825028130006,-2.7547825028130006,0.7547825028130006,False,128,bond_correlator,0.8605030138105911,0.34697437911522183,3
N4_star_alpha0.8,4,star,0.8,1.2,2.7497743699168424,-2.7497743699168424,0.7497743699168424,False,128,bond_correlator,0.9509777549447421,0.3907345864591318,3
N4_star_alpha0.8,4,star,0.8,1.4,2.2578429731749576,-2.2578429731749576,0.25784297317495763,False,128,bond_correlator,1.001091936819651,0.41558357099584486,3
