scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,frustration_time,deltaB,kappa,k0,backend,effective_backend,total_dim,source_site,raw_power,raw_residual,raw_r2,bg_power,bg_residual,bg_r2,covbg_power,covbg_residual,covbg_r2,delta_lambda_edge_l2,delta_lambda_edge_maxabs,covariance_l2,covariance_bg_l2,covariance_delta_l2,covariance_delta_maxabs,shell_count,lambda_shell_json
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,1.0,6.5,0.2,4,auto,dense,4096,2,-0.012993541134530252,2.0129935411345303,0.9937545895344049,-6.803100539407295e-15,2.0000000000000067,0.0,-0.35130193809789356,2.3513019380978935,0.9991071753354591,0.0,0.0,0.1543241508221177,0.10671221340288732,0.11148294505270469,0.039404711276620666,3,"{""0"": 0.22069358266630063, ""1"": 0.22069358266630035, ""2"": 0.22069358266630035}"
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,1.0,6.5,0.2,4,auto,dense,1024,1,-0.010283733217715972,2.010283733217716,0.9754371693624524,-0.6599423002179456,2.6599423002179456,0.9899230540102243,-1.799389637799852,3.7993896377998517,0.9994109433429804,0.05016114214901618,0.028960548922593577,0.09140059763207421,0.06298382713653301,0.06623523810431768,0.05277062090549099,3,"{""0"": 0.16079671226058456, ""1"": 0.10287561441539711, ""2"": 0.044954516570209956}"
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,1.0,6.5,0.2,4,auto,dense,1024,0,-0.01513520984684497,2.015135209846845,0.9919695099345274,6.335548858600769e-15,1.9999999999999936,0.0,-0.3516194083091431,2.3516194083091433,0.9954483496344336,2.1103821920200813e-16,1.5265566588595902e-16,0.13036609627739523,0.07021518302135865,0.1098414636277403,0.051779762524420625,2,"{""0"": 0.3116432738357014, ""1"": 0.11153018909468537}"
