lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,spectral_gap,status
0.636734693877551,0.050000000000000044,0.8582046990462722,0.8582046990462722,0.9999137504002675,0.9499180628802542,0.8581306792344909,~
0.6408163265306123,0.04999999999999993,0.8566496309302601,0.8566496309302601,0.9999136760518448,0.9499179922492526,0.8565756815519325,✓
0.6448979591836734,0.050000000000000044,0.8550862217439867,0.8550862217439867,0.9999136077493707,0.9499179273619021,0.8550123489208081,~
0.6489795918367347,0.050000000000000044,0.8535145026613863,0.8535145026613863,0.9999135454653327,0.949917868192066,0.853440712462227,~
0.6530612244897959,0.050000000000000044,0.8519345050881085,0.8519345050881085,0.9999134891721411,0.949917814713534,0.8518608035287918,~
0.6571428571428571,0.050000000000000044,0.850346260662731,0.850346260662731,0.9999134388421287,0.9499177669000222,0.8502726537058165,~
0.6612244897959184,0.050000000000000044,0.848749801258176,0.848749801258176,0.9999133944475497,0.9499177247251721,0.848676294812746,~
0.6653061224489796,0.050000000000000044,0.8471451589827301,0.8471451589827301,0.9999133559605808,0.9499176881625517,0.8470717589041814,~
0.6693877551020408,0.050000000000000044,0.8455323661815413,0.8455323661815413,0.9999133233533191,0.949917657185653,0.8454590782713804,~
0.673469387755102,0.050000000000000044,0.8439114554377964,0.8439114554377964,0.9999132965977827,0.9499176317678936,0.8438382854434399,~
0.6775510204081633,0.050000000000000044,0.8422824595740466,0.8422824595740466,0.9999132756659098,0.9499176118826143,0.8422094131886242,~
0.6816326530612244,0.050000000000000044,0.8406454116535272,0.8406454116535272,0.9999132605295586,0.9499175975030807,0.8405724945156914,~
0.6857142857142857,0.050000000000000044,0.8390003449814969,0.8390003449814969,0.9999132511605067,0.9499175886024813,0.8389275626752353,~
0.689795918367347,0.04999999999999993,0.8373472931065363,0.8373472931065363,0.9999132475304509,0.9499175851539283,0.837274651160989,✓
0.6938775510204082,0.04999999999999993,0.835686289821941,0.835686289821941,0.9999132496110066,0.9499175871304563,0.8356137937112225,✓
0.6979591836734694,0.050000000000000044,0.8340173691670446,0.8340173691670446,0.9999132573737074,0.949917594505022,0.8339450243100694,~
0.7020408163265306,0.050000000000000044,0.8323405654285769,0.8323405654285769,0.9999132707900054,0.949917607250505,0.8322683771888908,~
0.7061224489795919,0.050000000000000044,0.8306559131421039,0.8306559131421039,0.9999132898312695,0.9499176253397059,0.8305838868277182,~
0.710204081632653,0.050000000000000044,0.8289634470933124,0.8289634470933124,0.9999133144687864,0.949917648745347,0.8288915879565444,~
0.7142857142857143,0.050000000000000044,0.8272632023195173,0.8272632023195173,0.9999133446737596,0.9499176774400716,0.8271915155568337,~
0.7183673469387755,0.050000000000000044,0.8255552141109395,0.8255552141109395,0.9999133804173085,0.949917711396443,0.8254837048628043,~
0.7224489795918367,0.050000000000000044,0.82383951801219,0.82383951801219,0.9999134216704697,0.9499177505869462,0.8237681913629196,~
0.726530612244898,0.050000000000000044,0.8221161498236791,0.8221161498236791,0.999913468404195,0.9499177949839852,0.8220450108012978,~
0.7306122448979592,0.050000000000000044,0.8203851456030166,0.8203851456030166,0.9999135205893516,0.9499178445598839,0.8203141991791201,~
0.7346938775510204,0.050000000000000044,0.8186465416664743,0.8186465416664743,0.9999135781967221,0.949917899286886,0.8185757927560964,~
0.7387755102040816,0.050000000000000044,0.8169003745903018,0.8169003745903018,0.9999136411970044,0.9499179591371542,0.8168298280517856,~
0.7428571428571429,0.050000000000000044,0.8151466812123024,0.8151466812123024,0.9999137095608105,0.9499180240827699,0.8150763418471767,~
0.7469387755102042,0.050000000000000044,0.8133854986332396,0.8133854986332396,0.9999137832586664,0.949918094095733,0.8133153711860994,~
0.7510204081632653,0.050000000000000044,0.8116168642181409,0.8116168642181409,0.9999138622610131,0.9499181691479623,0.8115469533765336,~
0.7551020408163266,0.050000000000000044,0.8098408155979979,0.8098408155979979,0.9999139465382042,0.949918249211294,0.8097711259923122,~
0.7591836734693878,0.050000000000000044,0.8080573906709475,0.8080573906709475,0.9999140360605075,0.9499183342574822,0.8079879268743095,~
0.763265306122449,0.050000000000000044,0.8062666276038922,0.8062666276038922,0.9999141307981039,0.9499184242581986,0.8061973941320644,~
0.7673469387755103,0.050000000000000044,0.804468564833909,0.804468564833909,0.9999142307210868,0.9499185191850323,0.8043995661451948,~
0.7714285714285715,0.050000000000000044,0.8026632410696453,0.8026632410696453,0.9999143357994632,0.94991861900949,0.8025944815647987,~
0.7755102040816326,0.050000000000000044,0.8008506952928469,0.8008506952928469,0.9999144460031512,0.9499187237029936,0.8007821793149854,~
0.7795918367346939,0.050000000000000044,0.7990309667597182,0.7990309667597182,0.9999145613019823,0.9499188332368832,0.7989626985942424,~
