lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,E0,E1,E2,E3,E4,E5,gap01,gap12,gap23,gap34,gap45,min_gap,status
0.1,0.0008980194212722115,0.930696823625976,0.930696823625976,0.9995922832163532,0.9986946299326711,0.0005098538555325569,0.0016338453569846414,13.355366492809853,14.335270519550157,14.348120494252893,14.361973778630865,14.374062949182264,15.310611714083219,0.9799040267403036,0.012849974702735523,0.013853284377972841,0.012089170551398354,0.9365487649009552,0.012089170551398354,✓
0.15625,0.002185877823733806,0.930696823625976,0.930696823625976,0.9990046558025546,0.996820953679629,0.0012454198682459031,0.003986481108563352,13.348896404097474,14.323093542178922,14.339972659330627,14.356017546827061,14.371160055922587,15.279339095439672,0.9741971380814487,0.016879117151704648,0.016044887496434512,0.015142509095525725,0.9081790395170852,0.015142509095525725,✓
0.21250000000000002,0.004025595403357007,0.930696823625976,0.930696823625976,0.9981591806569466,0.9941409956474755,0.002305267760300726,0.0073669182467279515,13.33957023754024,14.305588712784862,14.328264909099891,14.347502731698109,14.36696517625766,15.244688365375277,0.9660184752446224,0.022676196315028818,0.01923782259821749,0.019462444559550818,0.8777231891176172,0.01923782259821749,✓
0.26875000000000004,0.006402639318910497,0.930696823625976,0.930696823625976,0.9970560384781766,0.9906722482830591,0.0036908175270631504,0.011769472362210367,13.32737135095902,14.282813595266909,14.313016971593973,14.33644841060175,14.361457853144016,15.207428708588044,0.9554422443078892,0.030203376327063935,0.02343143900777811,0.025009442542264892,0.845970855444028,0.02343143900777811,✓
0.32500000000000007,0.009298197122302287,0.930696823625976,0.930696823625976,0.9956955158817137,0.986437342701253,0.005403866003246136,0.017186415081376465,13.312278253001809,14.254850145925685,14.294254746185352,14.32286724103688,14.354610733198207,15.167643652131346,0.9425718929238762,0.03940460025966708,0.028612494851527615,0.031743492161327325,0.8130329189331391,0.028612494851527615,✓
0.3812500000000001,0.01268932092694608,0.930696823625976,0.930696823625976,0.9940780415353501,0.981463866239878,0.007446546218221847,0.023607763869005854,13.294264774733772,14.221795002194444,14.272009823046227,14.306771532916976,14.346389670009929,15.12524170818212,0.9275302274606716,0.050214820851783415,0.03476170987074845,0.03961813709295292,0.7788520381721913,0.03476170987074845,✓
0.4375,0.016549126499892597,0.930696823625976,0.930696823625976,0.9922042263062457,0.9757841130513756,0.009821281605975654,0.031021061196747357,13.273300270717694,14.183753584983833,14.246319071477613,14.28817529583968,14.336753694508207,15.080045842278682,0.9104533142661388,0.06256548649377969,0.04185622436206771,0.048578398668526646,0.7432921477704753,0.04185622436206771,✓
0.49375,0.02084705499621875,0.930696823625976,0.930696823625976,0.9900749052889058,0.969434759287972,0.012530737141799751,0.039411162560435815,13.249349843729766,14.140836328953283,14.217224272162264,14.267094196428724,14.32565489063878,15.031818854399486,0.8914864852235169,0.07638794320898157,0.049869924266459975,0.058560694210056496,0.7061639637607051,0.049869924266459975,✓
0.55,0.02554920211845335,0.930696823625976,0.930696823625976,0.9876911797435847,0.9624564581617022,0.015577769282614862,0.048760052363831366,13.222374586948975,14.093155869783267,14.18477175809995,14.243544797328502,14.313038226245077,14.980281299123902,0.870781282834292,0.09161588831668332,0.05877303922855148,0.06949342891657473,0.6672430728788257,0.05877303922855148,✓
0.5750000000000001,0.027759251790422268,0.930696823625976,0.930696823625976,0.9865504415394286,0.9591645394287833,0.017041143937334313,0.053217486276566965,13.209403622616614,14.070465120092726,14.16928370413691,14.232290450044015,14.306927572464325,14.956235552920015,0.8610614974761113,0.09881858404418509,0.06300674590710464,0.07463712242030951,0.6493079804556903,0.06300674590710464,✓
0.6000000000000001,0.030038498690804327,0.930696823625976,0.930696823625976,0.9853598688723405,0.9557611377412476,0.01857206132264906,0.05785815685509845,13.195822808295256,14.046865547716134,14.153147010697307,14.220553217225795,14.30049893727405,14.931452069447705,0.8510427394208779,0.10628146298117258,0.06740620652848861,0.07994572004825429,0.630953132173655,0.06740620652848861,✓
0.625,0.3657167856734882,0.930696823625976,1.2409290981679681,0.9841196205680067,0.9522504297383315,0.020170794154611503,0.06267990117209721,13.181628040385357,14.022366846984395,14.136366504014694,14.20833444735609,14.293746082369456,14.90590731587065,0.8407388065990382,0.11399965703029835,0.07196794334139689,0.08541163501336513,0.6121612335011939,0.07196794334139689,✗
0.65,0.36812387605953634,0.930696823625976,1.2409290981679681,0.9828298701019466,0.9486366855135764,0.0218376170947476,0.06768043455252892,13.166815087949296,13.996978591479033,14.118947146178893,14.195635417981144,14.286662471880744,14.879580249423865,0.8301635035297377,0.12196855469986012,0.0766882718022508,0.09102705389959986,0.5929177775431214,0.0766882718022508,✗
0.675,0.37058946305228135,0.930696823625976,1.2409290981679681,0.9814908061756757,0.94492425738284,0.023572805914051753,0.07285735098189693,13.151379597252177,13.970710215850076,14.100894028593684,14.182457320259612,14.279241269949473,14.852453055354498,0.819330618597899,0.13018381274360813,0.0815632916659279,0.09678394968986126,0.5732117854050252,0.0815632916659279,✗
0.7000000000000001,0.37310984607828546,0.930696823625976,1.2409290981679681,0.9801026332795876,0.941117568395581,0.025376636645991518,0.07820812401898135,13.13531709629554,13.943571000935803,14.08221236544097,14.168801243889597,14.271475338663222,14.824511752244163,0.8082539046402637,0.13864136450516718,0.08658887844862662,0.10267409477362577,0.5530364135809407,0.08658887844862662,✗
0.7250000000000001,0.3756812739872104,0.930696823625976,1.2409290981679681,0.9786655722497215,0.9372211006760978,0.027249384717339637,0.08373010818713758,13.118622999345448,13.915570062026264,14.062907487162416,14.154668162443084,14.263357236431597,14.795746611819872,0.7969470626808164,0.14733742513615233,0.09176067528066767,0.10868907398851313,0.5323893753882754,0.09176067528066767,✗
0.75,0.37829995503982417,0.930696823625976,1.2409290981679681,0.977179860826693,0.9332393836856978,0.029191324043970332,0.08942054080840511,13.101292611461501,13.886716340086839,14.04298483396793,14.140058919141449,14.25487921689692,14.766152362548855,0.7854237286253376,0.15626849388109143,0.09707408517351901,0.11482029775547176,0.5112731456519342,0.09707408517351901,✗
0.775,0.3809620669430509,0.930696823625976,1.2409290981679681,0.9756457542272913,0.9291769825017477,0.031202726075507423,0.09527654423214119,13.083321133038558,13.857018595735772,14.02244994937922,14.12497421311458,14.246033228484528,14.735728173484446,0.7736974626972142,0.16543135364344863,0.10252426373535961,0.12105901536994779,0.4896949449999184,0.10252426373535961,✗
0.8,0.38366376685582115,0.930696823625976,1.2409290981679681,0.9740635257408525,0.9250384862118726,0.03328385877017189,0.10129512839933642,13.064703664378829,13.826485405754429,14.001308473815321,14.109414586193765,14.236810914710365,14.704477440829963,0.7617817413756001,0.17482306806089198,0.1081061123784437,0.12739632851659977,0.4676665261195989,0.1081061123784437,✗
1.0333333333333334,0.2565753181588811,0.930696823625976,0.6204645490839841,0.9570365587650976,0.8835763320649008,0.05611520380467468,0.1647051642711775,12.858847928672304,13.502683152514473,13.77580941346457,13.94128268168885,14.13089947758598,14.37527131704314,0.643835223842169,0.2731262609500966,0.16547326822428055,0.18961679589713043,0.244371839457159,0.16547326822428055,✗
1.2666666666666666,0.5633606101207994,0.930696823625976,0.31023227454199204,0.9361939250778016,0.8394794225158169,0.08519345353167056,0.23901803483628384,12.591884333962478,13.112873369575532,13.50292855426765,13.731091566578712,13.983103406429368,13.989359152847168,0.520989035613054,0.39005518469211786,0.22816301231106273,0.2520118398506561,0.006255746417799912,0.006255746417799912,✗
1.5,0.7941238729880373,0.930696823625976,1.5511613727099602,0.9121443975748708,0.7958850208982882,0.12039705919741443,0.32057862276283045,12.2593158464651,12.662354811648541,13.187801321161615,13.476598701773554,13.563362516040339,13.78414990529934,0.4030389651834412,0.525446509513074,0.28879738061193905,0.08676381426678503,0.22078738925900154,0.08676381426678503,✗
