deltaB,kappa,hotspot_multiplier,bond_cutoff,lambda_c1,lambda_revival,lambda_c2,residual_min,lambda_revival_first,lambda_revival_global,revival_gap,revival_method,revival_reporting_rule,err_c1,err_revival,err_c2,score,mean_residual,max_residual
6.5,0.2,1.0,4,0.4375,1.0333333333333334,1.2666666666666666,0.16955782221315008,1.0333333333333334,1.0333333333333334,0.0,global_minimum_fallback,global_minimum_post_violation,0.2345,0.024666666666666615,0.17166666666666663,3.326666666666666,0.20661791109650549,0.481794641520806
6.0,0.16,1.5,4,0.4375,1.0333333333333334,1.2666666666666666,0.16732897056736962,1.0333333333333334,1.0333333333333334,0.0,global_minimum_fallback,global_minimum_post_violation,0.2345,0.024666666666666615,0.17166666666666663,3.326666666666666,0.2353773905883492,0.48324512853430235
6.0,0.24,2.0,4,0.1,0.55,1.0333333333333334,0.006977799365684878,0.55,0.55,0.0,first_local_minimum,global_minimum_post_violation,0.10300000000000001,0.508,0.061666666666666536,3.878333333333333,0.22876145751649793,0.6959014293988555
5.5,0.12,1.5,4,0.49375,1.0333333333333334,1.2666666666666666,0.19594955586209062,1.0333333333333334,1.0333333333333334,0.0,global_minimum_fallback,global_minimum_post_violation,0.29075,0.024666666666666615,0.17166666666666663,3.889166666666666,0.22731432613774857,0.8377725774469739
6.5,0.16,1.5,4,0.49375,1.0333333333333334,1.2666666666666666,0.19046262787586654,1.0333333333333334,1.0333333333333334,0.0,global_minimum_fallback,global_minimum_post_violation,0.29075,0.024666666666666615,0.17166666666666663,3.889166666666666,0.24515524985308088,0.841493873048863
6.0,0.24,2.5,4,0.1,0.49375,1.0333333333333334,0.03163238445385841,0.49375,0.49375,0.0,first_local_minimum,global_minimum_post_violation,0.10300000000000001,0.56425,0.061666666666666536,4.159583333333333,0.2431740657157274,0.6573139513788245
5.5,0.24,1.0,4,0.1,0.75,0.775,0.04803531553280227,0.75,0.75,0.0,first_local_minimum,global_minimum_post_violation,0.10300000000000001,0.30800000000000005,0.31999999999999995,4.17,0.3452478920646528,0.76457714134338
5.5,0.24,1.5,4,0.1,0.7250000000000001,0.775,0.0006361643841931164,0.7250000000000001,0.7250000000000001,0.0,first_local_minimum,global_minimum_post_violation,0.10300000000000001,0.33299999999999996,0.31999999999999995,4.295,0.32040814419867897,0.7322177197246692
6.5,0.24,1.0,4,0.1,0.7250000000000001,0.775,0.0005375730637661169,0.7250000000000001,0.7250000000000001,0.0,first_local_minimum,global_minimum_post_violation,0.10300000000000001,0.33299999999999996,0.31999999999999995,4.295,0.38678127771610726,1.5927675358843332
7.0,0.2,1.0,4,0.55,1.0333333333333334,1.2666666666666666,0.21759668586000203,1.0333333333333334,1.0333333333333334,0.0,global_minimum_fallback,global_minimum_post_violation,0.34700000000000003,0.024666666666666615,0.17166666666666663,4.451666666666666,0.23972543027950674,0.5230330460541857
5.5,0.16,1.0,4,0.49375,0.8,1.0333333333333334,0.2167992635005026,0.8,0.8,0.0,global_minimum_fallback,global_minimum_post_violation,0.29075,0.258,0.061666666666666536,4.5058333333333325,0.2259486885736934,0.5169031969264327
6.0,0.16,1.0,4,0.5750000000000001,1.0333333333333334,1.2666666666666666,0.22686133683219667,1.0333333333333334,1.0333333333333334,0.0,global_minimum_fallback,global_minimum_post_violation,0.37200000000000005,0.024666666666666615,0.17166666666666663,4.701666666666666,0.22374570001764116,0.532175074637742
5.5,0.24,2.0,4,0.1,0.55,0.775,0.005923277765862545,0.55,0.55,0.0,first_local_minimum,global_minimum_post_violation,0.10300000000000001,0.508,0.31999999999999995,5.17,0.3174622436465509,0.7073139407182633
6.5,0.24,1.5,4,0.1,0.55,0.775,0.0022257023448531976,0.55,0.55,0.0,first_local_minimum,global_minimum_post_violation,0.10300000000000001,0.508,0.31999999999999995,5.17,0.38194748682920293,1.5510084782029994
5.5,0.24,2.5,4,0.1,0.55,0.775,0.052091292893652996,0.55,0.55,0.0,first_local_minimum,global_minimum_post_violation,0.10300000000000001,0.508,0.31999999999999995,5.17,0.3244216648833544,0.7287335513792049
6.5,0.16,1.0,4,0.625,1.0333333333333334,1.2666666666666666,0.2565753181588811,1.0333333333333334,1.0333333333333334,0.0,global_minimum_fallback,global_minimum_post_violation,0.422,0.024666666666666615,0.17166666666666663,5.201666666666666,0.2166568008667968,0.7941238729880373
5.5,0.12,1.0,4,0.65,1.0333333333333334,1.2666666666666666,0.26185658889859975,1.0333333333333334,1.0333333333333334,0.0,global_minimum_fallback,global_minimum_post_violation,0.447,0.024666666666666615,0.17166666666666663,5.451666666666666,0.19986007022295807,0.788279201122654
6.5,0.12,2.5,4,0.3812500000000001,0.625,0.75,0.10039566181277326,0.625,0.625,0.0,global_minimum_fallback,global_minimum_post_violation,0.17825000000000008,0.43300000000000005,0.345,5.6725,0.15982525675921264,0.45643600710698173
