lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,E0,E1,E2,E3,E4,E5,gap01,gap12,gap23,gap34,gap45,min_gap,status
0.1,0.033035344058776506,0.930696823625976,0.930696823625976,0.9990666196393053,0.966062110121882,0.0011678154668901576,0.043912665555525664,21.026058597226868,21.323818349973187,21.98908754334383,22.019689035183642,22.029835364516103,22.05125316658761,0.2977597527463196,0.6652691933706443,0.030601491839810535,0.010146329332460624,0.021417802071507452,0.010146329332460624,✓
0.15625,0.0678240718619666,0.930696823625976,0.930696823625976,0.9977697338181144,0.9300969276899393,0.0027940642343288378,0.09394595099308267,21.007027783829376,21.328678046202366,21.944964345660328,21.9996025946063,22.009932364381275,22.044963270850975,0.3216502623729909,0.6162862994579612,0.0546382489459738,0.01032976977497313,0.035030906469700085,0.01032976977497313,~
0.21250000000000002,0.10234375710030708,0.930696823625976,0.930696823625976,0.9959763566242047,0.8940443943042082,0.005049873108224556,0.14814086186717265,20.98103029882321,21.334257642642815,21.890304251200146,21.971751286651553,21.983621452478424,22.036285715533307,0.3532273438196043,0.556046608557331,0.08144703545140786,0.011870165826870505,0.05266426305488281,0.011870165826870505,✗
0.26875000000000004,0.13231821364744667,0.930696823625976,0.930696823625976,0.9937259206934012,0.8622378820120861,0.007892114887952295,0.19971593811564697,20.948971793071447,21.339623661087902,21.828354132621925,21.937172225296464,21.951696892982106,22.025102096671066,0.39065186801645524,0.4887304715340228,0.10881809267453946,0.014524667685641646,0.07340520368896009,0.014524667685641646,✗
0.32500000000000007,0.156835057537428,0.930696823625976,0.930696823625976,0.991046011222696,0.8356152530303459,0.011293608818243985,0.24590376129073052,20.911580531044912,21.34401079578569,21.760743269394485,21.896725100720086,21.914935544011197,22.01128325234971,0.43243026474077695,0.4167324736087963,0.13598183132560138,0.018210443291110323,0.09634770833851292,0.018210443291110323,✗
0.3812500000000001,0.15692651281442982,0.930696823625976,0.6204645490839841,0.9879554284940433,0.8136733525390183,0.015239264796991397,0.2862430096788239,20.869393120566688,21.3468356712349,21.688308056455718,21.851063547608263,21.8739790681095,21.99470866528008,0.4774425506682114,0.34147238522081835,0.16275549115254506,0.02291552050123613,0.1207295971705804,0.02291552050123613,✗
0.4375,0.14142207727974376,0.930696823625976,0.6204645490839841,0.9844678652163327,0.7955374006582704,0.01972148524656805,0.32126490717555556,20.822786936797225,21.347663855647507,21.611498193649755,21.80067958486614,21.829326578813138,21.97525944063401,0.524876918850282,0.26383433800224765,0.18918139121638333,0.028646993946999544,0.14593286182087084,0.028646993946999544,✗
0.49375,0.12914879164585058,0.930696823625976,0.6204645490839841,0.9805945048817466,0.7803722653212032,0.024736900703662315,0.3517996224987529,20.77202005280591,21.346169356836604,21.530567709974008,21.7459517836331,21.78135932873894,21.952813925328766,0.5741493040306942,0.1843983531374036,0.2153840736590915,0.035407545105840654,0.17145459658982531,0.035407545105840654,✗
0.55,0.11942132208919731,0.930696823625976,0.6204645490839841,0.9763455906709958,0.7674935417012192,0.030284370558722472,0.37867819998753527,20.717264655219836,21.342100664822084,21.44566829121076,21.687182166151192,21.73036720828992,21.927247382501086,0.624836009602248,0.10356762638867778,0.24151387494043064,0.043185042138727425,0.19688017421116655,0.043185042138727425,✗
0.5750000000000001,0.11577108673958314,0.930696823625976,0.6204645490839841,0.9743392960610903,0.7623598498654665,0.03292064689714225,0.3896456348279457,20.691679423821913,21.33941189822926,21.406687934352494,21.659831961086596,21.706792656886975,21.914849777262727,0.6477324744073485,0.06727603612323207,0.25314402673410186,0.046960695800379426,0.2080571203757522,0.046960695800379426,✗
0.6000000000000001,0.11247881988612896,0.930696823625976,0.6204645490839841,0.972261756944593,0.7575333596712709,0.035662005186978374,0.40009234780423847,20.66533553192873,21.33615882723525,21.36694961786592,21.63175296953383,21.68268025265894,21.901799945484267,0.6708232953065192,0.030790790630671694,0.26480335166791136,0.05092728312510886,0.21911969282532695,0.030790790630671694,✗
0.625,0.10951076190777098,0.930696823625976,0.6204645490839841,0.9701139302404277,0.7529805357982566,0.03850845352793448,0.4100694713507283,20.63823822712652,21.32645900275692,21.33232694675409,21.602963679895616,21.65804364146687,21.888087189883,0.6882207756303984,0.005867943997170499,0.2706367331415258,0.05507996157125561,0.23004354841612695,0.005867943997170499,✗
0.65,0.10683702582922772,0.930696823625976,0.6204645490839841,0.9678968103869483,0.7486717567893031,0.04145998476869831,0.4196235548682311,20.610391483638296,21.28522118593545,21.327902540780727,21.573481626194344,21.63289472358291,21.873701099408244,0.6748297022971528,0.04268135484527846,0.24557908541361684,0.05941309738856759,0.2408063758253327,0.04268135484527846,✗
0.675,0.10443112627339923,0.930696823625976,0.6204645490839841,0.9656114356587928,0.7445808468741837,0.044516566228507824,0.4287968764541966,20.581798165145237,21.24324086786179,21.32287251822724,21.543323522200218,21.607243806757765,21.858631636783247,0.6614427027165526,0.0796316503654495,0.220451003972979,0.06392028455754684,0.2513878300254824,0.06392028455754684,✗
0.7000000000000001,0.10226955652585312,0.930696823625976,0.6204645490839841,0.9632588941508621,0.7406846560249671,0.04767812951460751,0.4376277776677267,20.55246016422437,21.20052248350765,21.31722427357199,21.51250537046439,21.581099740145234,21.842869225844844,0.6480623192832802,0.11670179006434012,0.1952810968923977,0.06859436968084509,0.26176948569960956,0.06859436968084509,✗
0.7250000000000001,0.10033141358623043,0.930696823625976,0.6204645490839841,0.96084032955832,0.7369626882007925,0.05094456024197201,0.44615099924763835,20.522378522460507,21.157070304699893,21.310945568177413,21.481042550822337,21.55447003254033,21.82640483662053,0.6346917822393863,0.15387526347752,0.17009698264492457,0.0734274817179923,0.27193480408019965,0.0734274817179923,✗
