lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,E0,E1,E2,E3,E4,E5,gap01,gap12,gap23,gap34,gap45,min_gap,status
0.1,0.4365139007445572,0.930696823625976,0.930696823625976,0.9887903324605227,0.5571696074196724,0.014170935904559947,0.9934820265752087,20.310718474428423,21.034438946592665,21.283898829753316,21.303139714227083,21.31629706981643,21.33237092557167,0.7237204721642421,0.24945988316065026,0.01924088447376704,0.013157355589346054,0.01607385575524134,0.013157355589346054,✗
0.15625,0.42539639887216874,0.930696823625976,0.930696823625976,0.9733968972263948,0.559317362472944,0.03416271262191242,0.9848671503299999,20.29755265804884,21.026646405262724,21.25536813749428,21.287762598382763,21.302864646658186,21.3270883834985,0.7290937472138843,0.22872173223155556,0.03239446088848297,0.015102048275423385,0.024223736840312426,0.015102048275423385,✗
0.21250000000000002,0.4100609097469913,0.930696823625976,0.930696823625976,0.9527334995160927,0.562054733958089,0.06201432576359868,0.973982691502798,20.27859984851528,21.01544531137646,21.21514966904694,21.26565434116298,21.284111443541917,21.31948549228332,0.7368454628611794,0.19970435767048045,0.0505046721160376,0.018457102378938828,0.03537404874140293,0.018457102378938828,✗
0.26875000000000004,0.3912394591514712,0.930696823625976,0.930696823625976,0.9281880308923238,0.565044247695142,0.09670988894168206,0.9622161319203655,20.253853836944643,21.000844795591963,21.164292627733516,21.236915670455414,21.260136792776606,21.30948073803578,0.74699095864732,0.16344783214155356,0.07262304272189724,0.023221122321192667,0.049343945259174404,0.023221122321192667,✗
0.32500000000000007,0.36987642600077364,0.930696823625976,0.930696823625976,0.9012773437122831,0.567916100984513,0.1369204731712867,0.9510293383706818,20.223308134348244,20.98285055785303,21.1037901579337,21.201685901836836,21.23107884241534,21.29695885717503,0.7595424235047865,0.12093960008067128,0.09789574390313405,0.029392940578503612,0.06588001475969207,0.029392940578503612,✗
0.3812500000000001,0.3470710422723684,0.930696823625976,0.930696823625976,0.8734853379886609,0.5703238713233044,0.18104863428884113,0.9417371214002748,20.18695686202624,20.961460796176755,21.034496338368232,21.160134648371642,21.19711846872776,21.28177859737853,0.7745039341505162,0.07303554219147657,0.12563831000340997,0.03698382035611658,0.08466012865077133,0.03698382035611658,✗
0.4375,0.6573139513788245,0.930696823625976,1.2409290981679681,0.8461333518373715,0.5720025455601969,0.22730850850594106,0.9353049600955863,20.14479551323623,20.936661891853472,20.957123614636128,21.112460525315047,21.15845736287962,21.26377328852254,0.7918663786172431,0.02046172278265601,0.15533691067891908,0.04599683756457296,0.1053159256429197,0.02046172278265601,✗
0.49375,0.03163238445385841,0.930696823625976,0.6204645490839841,0.8203004332483986,0.5728150141711125,0.2738319392932494,0.9322053701033008,20.096821514100313,20.87226560351429,20.908423910277264,21.0588906482575,21.11529886801993,21.242750166622432,0.7754440894139769,0.03615830676297449,0.1504667379802349,0.0564082197624316,0.1274512986025016,0.03615830676297449,✓
0.55,0.05218038195992192,0.930696823625976,0.6204645490839841,0.7967951996806079,0.5727738776502383,0.3187845515397902,0.9323620957157314,20.043034579155147,20.780424682706418,20.876695694409037,20.999678857375613,21.06783362953382,21.218490390525385,0.7373901035512702,0.09627101170261909,0.12298316296657674,0.06815477215820565,0.15065676099156633,0.06815477215820565,~
0.5750000000000001,0.060572066913359146,0.930696823625976,0.6204645490839841,0.7872481494177784,0.5725173471958042,0.3378093850388303,0.9333399566362709,20.017263878524336,20.73748083031012,20.861454629824227,20.971623248528992,21.04540045450553,21.206606489990868,0.7202169517857833,0.1239737995141077,0.11016861870476546,0.07377720597653692,0.16120603548533907,0.07377720597653692,~
