lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,status,alpha
0.2,0.03552866307636904,2.8955012290585924,2.8955012290585924,0.9739537398987839,0.9393504656219505,0.04457135048995066,0.10760899259236732,✓,0.6
0.7,0.1514455153876404,3.3091442617812485,3.3091442617812485,0.8338730389038608,0.7075867067592077,0.33203887831356943,0.68875727042241,✗,0.6
0.7999999999999999,0.15560143621560885,3.3091442617812485,3.3091442617812485,0.8218623522493522,0.6939793898678144,0.3612479374092744,0.7349416389980372,✗,0.6
1.0999999999999999,0.14010123970675903,3.3091442617812485,3.3091442617812485,0.8297523651553005,0.7135030301474274,0.34196474754415657,0.6692262395236435,✗,0.6
1.2,0.1304577873728463,3.3091442617812485,3.3091442617812485,0.8388417757777293,0.7294083337538575,0.32019988527803367,0.6182903177007367,✗,0.6
0.9999999999999999,0.1488195878948313,3.3091442617812485,3.3091442617812485,0.8217476944856141,0.6994555412387373,0.3615308906260772,0.7161390563604126,✗,0.6
0.8999999999999999,0.15441421866354832,3.3091442617812485,3.3091442617812485,0.8182681197934449,0.6919158874182494,0.37015552687960346,0.7421039613434978,✗,0.6
0.1,0.013147002455579981,2.8955012290585924,2.8955012290585924,0.9909000315321845,0.9778726663843966,0.01147942297184184,0.02828503952541375,✓,0.8
0.2,0.04643284071214471,2.8955012290585924,2.8955012290585924,0.9655705724732114,0.9207363878852284,0.04457135048995066,0.10760899259236732,✓,0.8
0.6,0.047717799462877464,3.3091442617812485,2.8955012290585924,0.8147339649128805,0.6740149073454625,0.2842431441822394,0.6045583879190369,✓,0.8
0.4,0.12421030949939793,2.8955012290585924,2.8955012290585924,0.888037267199344,0.7777338833935139,0.15759858417000838,0.35723356239261506,✗,0.8
0.3,0.0869823374252896,2.8955012290585924,2.8955012290585924,0.9291304445234417,0.8483125066857944,0.0953439259986091,0.2235135815497133,~,0.8
0.5,0.15309679156256506,2.8955012290585924,2.8955012290585924,0.8483531821317541,0.7184730318354902,0.2234429319390091,0.48980086184531213,✗,0.8
0.7,0.18399332270775703,3.3091442617812485,3.3091442617812485,0.7901196469536084,0.6447429077739341,0.33203887831356943,0.68875727042241,✗,0.8
0.7999999999999999,0.18826432689345807,3.3091442617812485,3.3091442617812485,0.7757961831807679,0.6297414369477268,0.3612479374092744,0.7349416389980372,✗,0.8
1.2,0.15955252221697347,3.3091442617812485,3.3091442617812485,0.7960769910377773,0.669060899238801,0.32019988527803367,0.6182903177007367,✗,0.8
0.9999999999999999,0.18035762251260234,3.3091442617812485,3.3091442617812485,0.775659968586998,0.6357637807744473,0.3615308906260772,0.7161390563604126,✗,0.8
1.0999999999999999,0.17051741229877826,3.3091442617812485,3.3091442617812485,0.7851932663259733,0.6513041423976429,0.34196474754415657,0.6692262395236435,✗,0.8
0.8999999999999999,0.18671135727928967,3.3091442617812485,3.3091442617812485,0.7715308680318378,0.6274772924787448,0.37015552687960346,0.7421039613434978,✗,0.8
0.1,0.016343344410931215,2.8955012290585924,2.8955012290585924,0.9886508586223989,0.9724929971377702,0.01147942297184184,0.02828503952541375,✓,1.0
0.2,0.056913263185843554,2.8955012290585924,2.8955012290585924,0.9573304873151606,0.902845685334761,0.04457135048995066,0.10760899259236732,~,1.0
0.6,0.07462828785072528,3.3091442617812485,2.8955012290585924,0.7786687470593932,0.623224438281057,0.2842431441822394,0.6045583879190369,~,1.0
0.5,0.17878760626865542,2.8955012290585924,2.8955012290585924,0.8173654642110041,0.6712306494180503,0.2234429319390091,0.48980086184531213,✗,1.0
0.3,0.10475540074411227,2.8955012290585924,2.8955012290585924,0.912955261141668,0.817318266899327,0.0953439259986091,0.2235135815497133,✗,1.0
0.4,0.14708962683672344,2.8955012290585924,2.8955012290585924,0.8638573108803466,0.736792861382781,0.15759858417000838,0.35723356239261506,✗,1.0
0.7,0.21123129910766536,3.3091442617812485,3.3091442617812485,0.7507288385351425,0.5921514106937756,0.33203887831356943,0.68875727042241,✗,1.0
0.8999999999999999,0.21350530319502314,3.3091442617812485,3.3091442617812485,0.7298441530045886,0.574018555832229,0.37015552687960346,0.7421039613434978,✗,1.0
0.9999999999999999,0.20663137082049066,3.3091442617812485,3.3091442617812485,0.73446736088387,0.5827033632815279,0.3615308906260772,0.7161390563604126,✗,1.0
