topology,gamma_corr,n_points,best_lambda,best_spin2_power,best_spin2_slope,best_spin2_residual,best_spin2_r2,best_postulate_residual,mean_postulate_residual,max_postulate_residual
cycle,-0.2,3,0.2,0.020284970545028924,-0.020284970545028924,1.979715029454971,0.9831977333297844,2.220446049250313e-16,4.625929269271485e-15,1.3211653993039363e-14
cycle,-0.1,3,0.2,0.007982195654431883,-0.007982195654431883,1.992017804345568,0.9815700470034602,1.5543122344752192e-15,5.1810407815840636e-15,1.3322676295501878e-14
cycle,0.0,3,0.2,-0.0003649947686841495,0.0003649947686841495,2.000364994768684,0.9759408310920221,2.220446049250313e-16,5.921189464667501e-16,1.5543122344752192e-15
path,-0.2,3,0.2,0.0312626297447751,-0.0312626297447751,1.9687373702552249,0.9461247955554116,0.01038818063383451,0.13071914206525725,0.33839105578450024
path,-0.1,3,0.2,0.012236953657573327,-0.012236953657573327,1.9877630463424267,0.9470306556493898,0.009711339322206247,0.13125314723818307,0.3407745757473356
path,0.0,3,0.2,-0.0005749210982205728,0.0005749210982205728,2.0005749210982207,0.9470752043416368,0.009134533966606684,0.1317523290591521,0.3432341626679737
star,-0.2,3,0.2,0.04624822997509799,-0.04624822997509799,1.953751770024902,0.982633008088222,0.0506104271627974,0.4863245424682201,0.7238827717155869
star,-0.1,3,0.2,0.0179662397738391,-0.0179662397738391,1.9820337602261608,0.9833100356394182,0.045877598328684766,0.45478744308078856,0.6990755840109373
star,0.0,3,0.2,-0.003811242425648531,0.003811242425648531,2.0038112424256487,0.983822149220253,0.04139450138955092,0.4653342948967312,0.7156710208088537
