N,topology,alpha,lambda,gamma_corr,bond_cutoff,hotspot_multiplier,spin2_measured_power,spin2_measured_slope,spin2_residual_power,spin2_r2,spin2_fit_quality,postulate_residual,lambda_out,lambda_in,omega_out,omega_in,pred_out,pred_in,num_k_modes,num_k_angles
5,path,0.8,1.0,-0.2,3,1.5,0.005652806300112929,-0.005652806300112929,1.994347193699887,0.9527453613350602,True,0.33839105578450024,0.17189905150855586,0.4001308741685599,0.9866786554499056,0.5163265703816559,0.8791060087379758,0.7575156731915758,14,20
5,path,0.8,0.6,-0.2,3,1.5,0.013918214815470658,-0.013918214815470658,1.9860817851845294,0.9479253748537845,True,0.043378189777437015,0.07267098186712942,0.18256781648041567,1.0203485508680585,0.9863352405868645,0.9450574006208675,0.8725590409192949,14,20
5,path,0.8,0.2,-0.2,3,1.5,0.0312626297447751,-0.0312626297447751,1.9687373702552249,0.9461247955554116,True,0.01038818063383451,0.009063204060944229,0.024049359526037373,1.034584900905163,1.033162929135804,0.9928016289955007,0.9811236830455422,14,20
5,path,0.8,0.2,-0.1,3,1.5,0.012236953657573327,-0.012236953657573327,1.9877630463424267,0.9470306556493898,True,0.009711339322206247,0.008523749258631945,0.022142163214768567,1.0347275730477263,1.0336992975003085,0.9932271844185276,0.982594584272866,14,20
5,path,0.8,0.6,-0.1,3,1.5,0.004120025132399092,-0.004120025132399092,1.9958799748676008,0.9491373675319753,True,0.04327352664500739,0.07018628124132793,0.17414759750762027,1.021450926282248,0.9910878385220959,0.9468360774243662,0.8777180133489019,14,20
5,path,0.8,1.0,-0.1,3,1.5,-0.0027241940221531245,0.0027241940221531245,2.002724194022153,0.9316454744937324,True,0.3407745757473356,0.1672865226304823,0.38708778198552457,0.9835506557509323,0.5163265703816559,0.8819670405670699,0.7635509920451247,14,20
5,path,0.8,0.6,0.0,3,1.5,-0.00485279810541606,0.00485279810541606,2.004852798105416,0.9452510925352666,True,0.042888290542875906,0.06806543054210494,0.16680267426045714,1.0223125682338428,0.9949126523395169,0.9483595965990016,0.8822682386963132,14,20
5,path,0.8,0.2,0.0,3,1.5,-0.0005749210982205728,0.0005749210982205728,2.0005749210982207,0.9470752043416368,True,0.009134533966606684,0.00817509283752787,0.0208611758245909,1.0347831396200715,1.0339059137366764,0.9935024203832467,0.9835850081649908,14,20
5,path,0.8,1.0,0.0,3,1.5,-0.01086592211297737,0.01086592211297737,2.0108659221129774,0.9426869364890275,True,0.3432341626679737,0.16318249201727292,0.37503849535096434,0.9808709978800978,0.5163265703816559,0.8845283656293145,0.7692125470110994,14,20
5,cycle,0.8,0.6,-0.2,3,1.5,0.00766339995065552,-0.00766339995065552,1.9923366000493445,0.9442324918444466,True,1.3211653993039363e-14,0.2243496258407928,0.22434962584079307,0.9601156411676599,0.9601156411676725,0.8478314628303645,0.8478314628303644,14,20
5,cycle,0.8,0.2,-0.2,3,1.5,0.020284970545028924,-0.020284970545028924,1.979715029454971,0.9831977333297844,True,2.220446049250313e-16,0.030574460299232206,0.030574460299232206,1.0324321042181823,1.0324321042181825,0.9761244181833145,0.9761244181833145,14,20
5,cycle,0.8,1.0,-0.2,3,1.5,-0.011390385296188141,0.011390385296188141,2.0113903852961883,0.6590094778832476,True,4.440892098500626e-16,0.4639406774300309,0.46394067743003,0.5163265703816559,0.5163265703816559,0.7293134566794418,0.7293134566794421,14,20
5,cycle,0.8,0.2,-0.1,3,1.5,0.007982195654431883,-0.007982195654431883,1.992017804345568,0.9815700470034602,True,1.5543122344752192e-15,0.027485247875312098,0.027485247875312098,1.033330377424297,1.0333303774242986,0.9784848804156252,0.9784848804156252,14,20
5,cycle,0.8,0.6,-0.1,3,1.5,0.002034945946744391,-0.002034945946744391,1.9979650540532556,0.9008296744453267,True,1.3322676295501878e-14,0.21112036118512365,0.21112036118512365,0.97199668699352,0.9719966869935329,0.8555078918933943,0.8555078918933943,14,20
5,cycle,0.8,1.0,-0.1,3,1.5,-0.012747761069975034,0.012747761069975034,2.012747761069975,0.8455097603969887,True,6.661338147750939e-16,0.4482510915777575,0.44825109157775656,0.5163265703816559,0.5163265703816559,0.7360513449390392,0.7360513449390397,14,20
5,cycle,0.8,0.2,0.0,3,1.5,-0.0003649947686841495,0.0003649947686841495,2.000364994768684,0.9759408310920221,True,2.220446049250313e-16,0.025400651989520556,0.025400651989520556,1.0336665951230017,1.0336665951230015,0.9800841782933876,0.9800841782933876,14,20
5,star,0.8,0.2,-0.2,3,1.5,0.04624822997509799,-0.04624822997509799,1.953751770024902,0.982633008088222,True,0.0506104271627974,0.10289102880005918,0.026418837203124115,1.0233585127275582,1.0328768643810395,0.9239472902031748,0.9793023759653903,14,20
5,cycle,0.8,1.0,0.0,3,1.5,-0.014402508886982815,0.014402508886982815,2.014402508886983,0.9625128164304652,True,0.0,0.4327853550721308,0.4327853550721308,0.5163265703816559,0.5163265703816559,0.7428160675586698,0.7428160675586698,14,20
5,cycle,0.8,0.6,0.0,3,1.5,-0.003263691753221908,0.003263691753221908,2.003263691753222,0.9789484960817461,True,1.5543122344752192e-15,0.19954374173238812,0.19954374173238756,0.9806976549324219,0.9806976549324238,0.8623403102731428,0.8623403102731432,14,20
5,star,0.8,0.6,-0.2,3,1.5,-0.0004281555852592869,0.0004281555852592869,2.000428155585259,0.9837431185568228,True,0.684480428526276,0.5962478289749813,0.17369659473303115,0.5163265703816559,1.0229870340924498,0.6770488665619652,0.8779960594303435,14,20
5,star,0.8,1.0,-0.2,3,1.5,-0.019567345378680306,0.019567345378680306,2.01956734537868,0.9841876766850961,True,0.7238827717155869,0.9822988902540599,0.31487369152499184,1.4702532555207024,1.0330314393499471,0.5599608571492576,0.798786513422599,14,20
5,star,0.8,0.2,-0.1,3,1.5,0.0179662397738391,-0.0179662397738391,1.9820337602261608,0.9833100356394182,True,0.045877598328684766,0.08765907498926044,0.02241913827623474,1.0283864871732735,1.0339343908827787,0.9344682986657387,0.9823806970503396,14,20
5,star,0.8,0.6,-0.1,3,1.5,-0.01513624432600704,0.01513624432600704,2.015136244326007,0.9840853022473391,True,0.6990755840109373,0.5491476519843704,0.15808523349755446,0.5163265703816559,1.0206753798154653,0.694773438200757,0.8877303520150658,14,20
5,star,0.8,1.0,-0.1,3,1.5,-0.035316182035324856,0.035316182035324856,2.035316182035325,0.9845488531071588,True,0.6194091469027436,0.945149015524762,0.30023730447110897,0.5163265703816559,1.050940151428379,0.5694374236826837,0.8063281643364012,14,20
5,star,0.8,0.2,0.0,3,1.5,-0.003811242425648531,0.003811242425648531,2.0038112424256487,0.983822149220253,True,0.04139450138955092,0.07723259707175623,0.019699208170347447,1.0302825698811744,1.0343193320250441,0.9418092976000191,0.9844851378629005,14,20
5,star,0.8,0.6,0.0,3,1.5,-0.029083104357275704,0.029083104357275704,2.0290831043572757,0.9844064064355905,True,0.7156710208088537,0.5079990258377818,0.1447239671675602,0.5163265703816559,1.0203308976962104,0.7110356613561304,0.8962346883150871,14,20
5,star,0.8,1.0,0.0,3,1.5,-0.05016055756547338,0.05016055756547338,2.0501605575654733,0.9848854612730749,True,0.6389373624917891,0.9082016823172689,0.28590662399489875,0.5163265703816559,1.0554241777806534,0.5791859075273589,0.8138515587287106,14,20
