topology,backend,hamiltonian_mode,lambda,tau_eq_global,tau_eq_probe,tau_dephase_global,tau_dephase_probe,tau_eq_site_var,tau_dephase_site_var,tau_eq_mode1,tau_dephase_mode1,tau_eq_mode_dom,tau_dephase_mode_dom,tail_mean_global,tail_std_global,threshold_global,tail_mean_probe,tail_std_probe,threshold_probe,tail_mean_site_var,tail_std_site_var,threshold_site_var,tail_mean_mode1,tail_std_mode1,threshold_mode1,tail_mean_mode_dom,tail_std_mode_dom,threshold_mode_dom,final_global_lambda,final_probe_gap,max_abs_probe_gap,final_site_var,final_mode1_amp,final_mode_dom_amp,max_abs_mode1_amp,max_abs_mode_dom_amp,mode1_index,mode_dom_index,mode1_eigval,mode_dom_eigval,dim_nominal,dim_hotspot
cycle,iterative,sparse,0.61,,,9.090909090909092,,,,,,,,0.36263533229317424,0.10568570417552482,0.02502219112042592,2.2022549062139517e-11,1.1647551536201964e-09,,4.0624555162387595e-19,2.2467231220796203e-19,,2.478545345047368e-11,5.159189317912164e-10,,1.148833499282977e-10,8.678111297994769e-10,,0.5475918644689741,1.5158702071360608e-09,2.3600995602279795e-09,4.606785899168437e-19,-3.5911557779278615e-10,1.293280378220372e-09,1.073444798649316e-09,2.1829042333250485e-09,1,2,1.3819660112501047,1.3819660112501055,32768,32768
path,iterative,sparse,1.0,,,10.303030303030303,16.96969696969697,,16.96969696969697,,,,27.87878787878788,0.44278430431443044,0.06549830508110717,0.02837945273261591,0.29593314785091795,0.03473797091272592,0.018307595150668418,0.023493423010289182,0.004926577384852103,0.0021132318266042257,-7.699859913921999e-12,5.385717855016765e-11,,-0.32711599835074673,0.037499795979745926,0.019456346922909748,0.3918927528233442,0.2707028922997352,0.43780313677180477,0.020244547867663935,5.4776941309221e-11,-0.30961628108237466,1.3849617646956045e-10,0.47968017702781734,1,2,0.381966011250105,1.3819660112501055,8192,8192
star,iterative,sparse,1.5,,,7.272727272727273,7.272727272727273,,4.848484848484849,,,,7.272727272727273,0.7076780798324516,0.07621220658980288,0.03263084187259623,-1.3268963997146992,0.14289788736737424,0.06118282854450751,0.28497181787360576,0.06288546794641033,0.018753344469935842,-3.331634274017503e-11,1.490751583622694e-10,,-1.1868122195189135,0.12781175598754246,0.05472358544262877,0.6181265690370951,-1.1589873171419396,1.7332675194254223,0.2149202561341334,-2.2792254195103112e-10,-1.0366297702992457,4.4862104309206785e-10,1.5502815986822291,1,4,1.0,5.0,8192,8192
star,iterative,sparse,1.55,,,9.696969696969697,9.696969696969697,,5.454545454545455,,,,9.696969696969697,0.7273267574798525,0.08239949995056617,0.03315107124608086,-1.3637376702823654,0.15449906241909817,0.062158258602560364,0.30138406297777104,0.06901645602056218,0.019703856071601723,-8.823757002840437e-12,9.338150227036199e-11,,-1.2197640536845904,0.1381881624010924,0.055596036624881585,0.8562263553084435,-1.6054244162414428,1.7934236239114794,0.4123820089826893,-4.4007075761243186e-11,-1.435935250947426,2.2440746483276541e-10,1.6040868541388515,1,4,1.0,5.0,8192,8192
star,iterative,sparse,1.6,,,7.878787878787879,7.878787878787879,,3.6363636363636367,,,,7.878787878787879,0.7350109472893854,0.09018094048143988,0.03273516478440646,-1.3781455261576947,0.1690892634097691,0.06137843395791227,0.30846020324701307,0.07486715032447676,0.020084880466307825,1.1435168090212499e-11,9.443052260661343e-11,,-1.2326508317591856,0.15123803489352164,0.054898540284442576,0.6951743939841724,-1.3034519888400817,1.8700287583161015,0.2718379339038345,-1.3828535538884523e-10,-1.1658429008743727,3.1564553748530955e-10,1.6726045693406748,1,4,1.0,5.0,8192,8192
star,iterative,sparse,1.65,,,10.90909090909091,10.90909090909091,,8.484848484848484,,,,10.90909090909091,0.7617820722183957,0.0967662314719908,0.033869486213258235,-1.428341385406004,0.18143668400814525,0.06350528665198132,0.33169254137248727,0.08386392337341277,0.021381837111508303,4.02746724859071e-12,2.4627354955587004e-11,,-1.27754737314074,0.16228190362338824,0.05680085515187803,0.6971277381775969,-1.3071145090590324,1.8720978013545178,0.2733677343768443,2.7668617397225148e-11,-1.1691187586743363,6.580808120659754e-11,1.6744551777334205,1,4,1.0,5.0,8192,8192
star,iterative,sparse,1.7,,,8.484848484848484,8.484848484848484,,6.0606060606060606,,,,8.484848484848484,0.7679320160668361,0.0954948276128218,0.033379045387150315,-1.4398725301378756,0.1790528017822043,0.0625857100750052,0.3368468494132188,0.08405627987344329,0.021413366897724967,-1.4500707579134797e-11,2.1470029163703403e-10,,-1.2878611425179296,0.1601496945314201,0.055978360882289156,0.8440305497147517,-1.5825572808737616,1.9057968084050487,0.40071800747912967,-1.8313803251679417e-10,-1.4154822631865254,4.635179740031248e-10,1.704596486235607,1,4,1.0,5.0,8192,8192
