scenario_id,N,topology,alpha,bond_cutoff,hotspot_multiplier,deltaB,kappa,backend,points,best_raw_lambda,best_raw_power,best_raw_residual,best_bg_lambda,best_bg_power,best_bg_residual,bg_minus_raw_residual,source_site_at_best_bg
N4_cycle_alpha0.8,4,cycle,0.8,4,1.5,6.5,0.2,auto,1,1.0,-0.0006863124658309853,2.000686312465831,1.0,-6.803100539407295e-15,2.0000000000000067,-0.0006863124658242903,1
N4_path_alpha0.8,4,path,0.8,4,1.5,6.5,0.2,auto,1,1.0,-0.032586802782766995,2.032586802782767,1.0,-0.6599423002179474,2.6599423002179474,0.6273554974351803,1
N4_star_alpha0.8,4,star,0.8,4,1.5,6.5,0.2,auto,1,1.0,-0.03839994047571396,2.038399940475714,1.0,6.335548858600769e-15,1.9999999999999936,-0.03839994047572026,0
