scenario_id,N,topology,alpha,lambda,bond_cutoff,spin2_power,spin2_slope,spin2_target_error,fit_quality,num_modes,method,lambda_out,lambda_in,edge_count
N3_path_alpha0.8,3,path,0.8,0.2,3,2.549094055198872,-2.549094055198872,0.5490940551988719,False,128,bond_correlator,0.011961968645573503,0.023825570803883714,2
N3_path_alpha0.8,3,path,0.8,0.4,3,2.54766371631276,-2.54766371631276,0.5476637163127598,False,128,bond_correlator,0.04564048409613197,0.08988127236104297,2
