scenario_id,bond_cutoff,points,valid_points,best_lambda,best_slope,best_power,best_target_error,mean_target_error,median_target_error
N5_star_alpha0.8,3,3,3,0.2,-2.536099127541617,2.536099127541617,0.5360991275416169,0.6956283672060776,0.6606102142265509
N5_star_alpha0.8,4,3,3,0.6,-2.7542130400289166,2.7542130400289166,0.7542130400289166,0.8985004740286322,0.7595292671740079
N5_path_alpha0.8,4,3,3,1.0,-3.1184077749234027,3.1184077749234027,1.1184077749234027,1.1271211151162284,1.1261780118920535
N5_path_alpha0.8,3,3,3,1.0,-3.1184230657586904,3.1184230657586904,1.1184230657586904,1.1271268557042704,1.1261799375564472
