scenario_id,N,topology,alpha,lambda,bond_cutoff,spin2_power,spin2_slope,spin2_target_error,fit_quality,num_modes,method,lambda_out,lambda_in,edge_count
N5_path_alpha0.8,5,path,0.8,0.2,3,3.1367775637976734,-3.1367775637976734,1.1367775637976734,False,128,bond_correlator,0.011909281667853159,0.04513400160623923,4
N5_path_alpha0.8,5,path,0.8,0.6,3,3.126179937556447,-3.126179937556447,1.1261799375564472,False,128,bond_correlator,0.09285331302024455,0.29710300614383567,4
N5_path_alpha0.8,5,path,0.8,1.0,3,3.1184230657586904,-3.1184230657586904,1.1184230657586904,False,128,bond_correlator,0.20439404137291067,0.5447164205688512,4
N5_path_alpha0.8,5,path,0.8,0.2,4,3.136777558533229,-3.136777558533229,1.136777558533229,False,128,bond_correlator,0.011909359271458125,0.04513432990940847,4
N5_path_alpha0.8,5,path,0.8,0.6,4,3.1261780118920535,-3.1261780118920535,1.1261780118920535,False,128,bond_correlator,0.09289885269656768,0.2972472697736367,4
N5_path_alpha0.8,5,path,0.8,1.0,4,3.1184077749234027,-3.1184077749234027,1.1184077749234027,False,128,bond_correlator,0.20505107894003066,0.5462203841941832,4
N5_star_alpha0.8,5,star,0.8,0.2,3,2.536099127541617,-2.536099127541617,0.5360991275416169,False,128,bond_correlator,0.9731649004022019,0.3112538781259784,4
N5_star_alpha0.8,5,star,0.8,0.6,3,2.890175759850065,-2.890175759850065,0.8901757598500648,False,128,bond_correlator,1.0946586906348548,0.3605400063577629,4
N5_star_alpha0.8,5,star,0.8,1.0,3,2.660610214226551,-2.660610214226551,0.6606102142265509,False,128,bond_correlator,1.2513363571755851,0.42777198127175714,4
N5_star_alpha0.8,5,star,0.8,0.2,4,2.759529267174008,-2.759529267174008,0.7595292671740079,False,128,bond_correlator,0.9731664472901393,0.3112544899888129,4
N5_star_alpha0.8,5,star,0.8,0.6,4,2.7542130400289166,-2.7542130400289166,0.7542130400289166,False,128,bond_correlator,1.0950187227757255,0.36068973492910544,4
N5_star_alpha0.8,5,star,0.8,1.0,4,3.181759114882972,-3.181759114882972,1.181759114882972,False,128,bond_correlator,1.253450016048484,0.4287075373821596,4
