topology,gamma_corr,n_points,best_lambda,best_spin2_power,best_spin2_slope,best_spin2_residual,best_spin2_r2,best_postulate_residual,mean_postulate_residual,max_postulate_residual,p90_postulate_residual,frac_postulate_gt_0_2,mean_gamma_corr_effective,min_gamma_corr_effective,max_gamma_corr_effective
cycle,-0.25,9,0.2,0.028024034995427605,-0.028024034995427605,1.9719759650045723,0.9885369014744112,4.440892098500626e-16,2.0724163126336257e-15,9.658940314238862e-15,4.596323321948149e-15,0.0,-0.07777777777777778,-0.25,0.0
cycle,-0.2,9,0.2,0.020889453353270023,-0.020889453353270023,1.97911054664673,0.9881303860305707,2.220446049250313e-16,1.8503717077085944e-15,9.658940314238862e-15,3.175237850427949e-15,0.0,-0.06222222222222223,-0.2,0.0
cycle,0.0,9,0.2,-0.00037584064208183915,0.00037584064208183915,2.0003758406420817,0.9826076343567887,2.220446049250313e-16,2.7632217501781674e-15,9.658940314238862e-15,7.971401316808624e-15,0.0,0.0,0.0,0.0
