N,topology,alpha,lambda,gamma_corr,gamma_corr_effective,gamma_mode,bond_cutoff,hotspot_multiplier,spin2_measured_power,spin2_measured_slope,spin2_residual_power,spin2_r2,spin2_fit_quality,postulate_residual,lambda_out,lambda_in,omega_out,omega_in,pred_out,pred_in,num_k_modes,num_k_angles
5,cycle,0.8,0.3,-0.25,-0.25,taper_high,3,1.5,0.020415272029654694,-0.020415272029654694,1.9795847279703453,0.9895723445649882,True,4.440892098500626e-16,0.06821362401578812,0.06821362401578782,1.0264056803116142,1.0264056803116142,0.9482529820864822,0.9482529820864826,16,24
5,cycle,0.8,0.2,-0.25,-0.25,taper_high,3,1.5,0.028024034995427605,-0.028024034995427605,1.9719759650045723,0.9885369014744112,True,4.440892098500626e-16,0.03251518692420727,0.03251518692420758,1.0316666184023056,1.031666618402305,0.9746473279570381,0.9746473279570379,16,24
5,cycle,0.8,0.4,-0.25,-0.15,taper_high,3,1.5,0.008677893235824836,-0.008677893235824836,1.991322106764175,0.9867380041539677,True,3.3306690738754696e-15,0.10653390487576705,0.10653390487576676,1.019662607462421,1.0196626074624247,0.9214660949550512,0.9214660949550514,16,24
5,cycle,0.8,0.6,-0.25,0.0,taper_high,3,1.5,-0.003360652623155626,0.003360652623155626,2.0033606526231558,0.9849023746034911,True,1.5543122344752192e-15,0.19954374173238812,0.19954374173238756,0.9806976549324219,0.9806976549324238,0.8623403102731428,0.8623403102731432,16,24
5,cycle,0.8,0.5,-0.25,-0.05000000000000003,taper_high,3,1.5,0.0005907399683931257,-0.0005907399683931257,1.999409260031607,0.9682345647151257,True,6.661338147750939e-16,0.1493072120002423,0.14930721200024202,1.0064508148847087,1.0064508148847082,0.8932991906853572,0.8932991906853573,16,24
5,cycle,0.8,0.7,-0.25,0.0,taper_high,3,1.5,-0.004858852326599268,0.004858852326599268,2.004858852326599,0.9939286964533836,True,9.658940314238862e-15,0.2578429120319117,0.25784291203191223,0.9357388657742348,0.9357388657742256,0.8289988234354914,0.8289988234354911,16,24
5,cycle,0.8,0.8,-0.25,0.0,taper_high,3,1.5,-0.007054803247725945,0.007054803247725945,2.007054803247726,0.9987564272199106,True,1.4432899320127035e-15,0.317635936742322,0.31763593674232277,0.8512485723496652,0.851248572349666,0.7973790155625062,0.7973790155625058,16,24
5,cycle,0.8,0.9,-0.25,0.0,taper_high,3,1.5,-0.01028590739545063,0.01028590739545063,2.0102859073954504,0.9907623030354934,True,1.1102230246251565e-15,0.37668320010561135,0.3766832001056133,0.5163265703816559,0.5163265703816559,0.7684348125798831,0.7684348125798822,16,24
5,cycle,0.8,1.0,-0.25,0.0,taper_high,3,1.5,-0.014820781150467685,0.014820781150467685,2.0148207811504677,0.9702396469603652,True,0.0,0.4327853550721308,0.4327853550721308,0.5163265703816559,0.5163265703816559,0.7428160675586698,0.7428160675586698,16,24
5,cycle,0.8,0.2,-0.2,-0.2,taper_high,3,1.5,0.020889453353270023,-0.020889453353270023,1.97911054664673,0.9881303860305707,True,2.220446049250313e-16,0.030574460299232206,0.030574460299232206,1.0324321042181823,1.0324321042181825,0.9761244181833145,0.9761244181833145,16,24
5,cycle,0.8,0.3,-0.2,-0.2,taper_high,3,1.5,0.015359888010230112,-0.015359888010230112,1.9846401119897699,0.9888786704376189,True,2.220446049250313e-16,0.06512537284123761,0.06512537284123761,1.0278805631093926,1.0278805631093928,0.9504797229327735,0.9504797229327735,16,24
5,cycle,0.8,0.4,-0.2,-0.12,taper_high,3,1.5,0.006421152919402208,-0.006421152919402208,1.9935788470805977,0.9861436857307616,True,1.5543122344752192e-15,0.10425328693043441,0.1042532869304341,1.020764289588861,1.0207642895888596,0.9230178815613318,0.923017881561332,16,24
5,cycle,0.8,0.5,-0.2,-0.04000000000000003,taper_high,3,1.5,-4.073969970973237e-06,4.073969970973237e-06,2.000004073969971,0.03889367485491413,False,8.881784197001252e-16,0.14841282799626945,0.14841282799626945,1.0069391039576456,1.0069391039576447,0.8938705187588102,0.8938705187588102,16,24
5,cycle,0.8,0.6,-0.2,0.0,taper_high,3,1.5,-0.003360652623155626,0.003360652623155626,2.0033606526231558,0.9849023746034911,True,1.5543122344752192e-15,0.19954374173238812,0.19954374173238756,0.9806976549324219,0.9806976549324238,0.8623403102731428,0.8623403102731432,16,24
5,cycle,0.8,0.7,-0.2,0.0,taper_high,3,1.5,-0.004858852326599268,0.004858852326599268,2.004858852326599,0.9939286964533836,True,9.658940314238862e-15,0.2578429120319117,0.25784291203191223,0.9357388657742348,0.9357388657742256,0.8289988234354914,0.8289988234354911,16,24
5,cycle,0.8,0.8,-0.2,0.0,taper_high,3,1.5,-0.007054803247725945,0.007054803247725945,2.007054803247726,0.9987564272199106,True,1.4432899320127035e-15,0.317635936742322,0.31763593674232277,0.8512485723496652,0.851248572349666,0.7973790155625062,0.7973790155625058,16,24
5,cycle,0.8,0.9,-0.2,0.0,taper_high,3,1.5,-0.01028590739545063,0.01028590739545063,2.0102859073954504,0.9907623030354934,True,1.1102230246251565e-15,0.37668320010561135,0.3766832001056133,0.5163265703816559,0.5163265703816559,0.7684348125798831,0.7684348125798822,16,24
5,cycle,0.8,1.0,-0.2,0.0,taper_high,3,1.5,-0.014820781150467685,0.014820781150467685,2.0148207811504677,0.9702396469603652,True,0.0,0.4327853550721308,0.4327853550721308,0.5163265703816559,0.5163265703816559,0.7428160675586698,0.7428160675586698,16,24
5,cycle,0.8,0.2,0.0,0.0,taper_high,3,1.5,-0.00037584064208183915,0.00037584064208183915,2.0003758406420817,0.9826076343567887,True,2.220446049250313e-16,0.025400651989520556,0.025400651989520556,1.0336665951230017,1.0336665951230015,0.9800841782933876,0.9800841782933876,16,24
5,cycle,0.8,0.3,0.0,0.0,taper_high,3,1.5,-0.0008352931380490985,0.0008352931380490985,2.0008352931380493,0.98060836352318,True,8.881784197001252e-16,0.055896724169698,0.055896724169698,1.0306523071253932,1.0306523071253924,0.9571966732627821,0.9571966732627821,16,24
5,cycle,0.8,0.4,0.0,0.0,taper_high,3,1.5,-0.001466783708475749,0.001466783708475749,2.0014667837084756,0.9788893473648652,True,2.4424906541753444e-15,0.09639468463511892,0.09639468463511863,1.0236058807081079,1.0236058807081057,0.9284053288867207,0.9284053288867209,16,24
5,cycle,0.8,0.5,0.0,0.0,taper_high,3,1.5,-0.002285078943322709,0.002285078943322709,2.0022850789433226,0.9795245663498945,True,7.549516567451064e-15,0.1449863425826326,0.1449863425826326,1.00864672928366,1.0086467292836676,0.8960661203935448,0.8960661203935448,16,24
5,cycle,0.8,0.6,0.0,0.0,taper_high,3,1.5,-0.003360652623155626,0.003360652623155626,2.0033606526231558,0.9849023746034911,True,1.5543122344752192e-15,0.19954374173238812,0.19954374173238756,0.9806976549324219,0.9806976549324238,0.8623403102731428,0.8623403102731432,16,24
5,cycle,0.8,0.7,0.0,0.0,taper_high,3,1.5,-0.004858852326599268,0.004858852326599268,2.004858852326599,0.9939286964533836,True,9.658940314238862e-15,0.2578429120319117,0.25784291203191223,0.9357388657742348,0.9357388657742256,0.8289988234354914,0.8289988234354911,16,24
5,cycle,0.8,0.8,0.0,0.0,taper_high,3,1.5,-0.007054803247725945,0.007054803247725945,2.007054803247726,0.9987564272199106,True,1.4432899320127035e-15,0.317635936742322,0.31763593674232277,0.8512485723496652,0.851248572349666,0.7973790155625062,0.7973790155625058,16,24
5,cycle,0.8,0.9,0.0,0.0,taper_high,3,1.5,-0.01028590739545063,0.01028590739545063,2.0102859073954504,0.9907623030354934,True,1.1102230246251565e-15,0.37668320010561135,0.3766832001056133,0.5163265703816559,0.5163265703816559,0.7684348125798831,0.7684348125798822,16,24
5,cycle,0.8,1.0,0.0,0.0,taper_high,3,1.5,-0.014820781150467685,0.014820781150467685,2.0148207811504677,0.9702396469603652,True,0.0,0.4327853550721308,0.4327853550721308,0.5163265703816559,0.5163265703816559,0.7428160675586698,0.7428160675586698,16,24
