N,topology,alpha,lambda,gamma_corr,bond_cutoff,hotspot_multiplier,spin2_measured_power,spin2_measured_slope,spin2_residual_power,spin2_r2,spin2_fit_quality,postulate_residual,lambda_out,lambda_in,omega_out,omega_in,pred_out,pred_in,num_k_modes,num_k_angles
5,path,0.8,0.2,-0.25,4,1.5,0.041972838954342735,-0.041972838954342735,1.9580271610456572,0.945564540893988,True,0.010732060102700225,0.009407841427288061,0.025249108322214733,1.0344687244126196,1.0327204350952506,0.9925299485060962,0.9802006461659606,14,20
5,path,0.8,0.6,-0.25,4,1.5,0.019184867520287995,-0.019184867520287995,1.980815132479712,0.9478436544584758,True,0.04353856291191338,0.07417991250723321,0.1875133732058244,1.019727747461558,0.9837299589664175,0.9439804879936752,0.8695571278146461,14,20
5,path,0.8,1.0,-0.25,4,1.5,0.010303887253792091,-0.010303887253792091,1.9896961127462078,0.950211402449469,True,0.3361658265020462,0.17615810416039662,0.4109418321666168,0.9882256887167556,0.5163265703816559,0.8764806625250685,0.752585054932018,14,20
5,path,0.8,0.2,-0.2,4,1.5,0.031268476084492666,-0.031268476084492666,1.9687315239155074,0.946125319222004,True,0.010388601098250239,0.009063485409175055,0.024050230051478768,1.034584894009717,1.03316288713318,0.9928014071457012,0.9811230126692044,14,20
5,path,0.8,1.0,-0.2,4,1.5,0.00594323197244063,-0.00594323197244063,1.9940567680275594,0.9528795501954773,True,0.3374470446920239,0.17352546220184864,0.40369385361754856,0.9865448886812546,0.5163265703816559,0.8781016098346096,0.7558835616795422,14,20
5,path,0.8,0.6,-0.2,4,1.5,0.014019092326736291,-0.014019092326736291,1.9859809076732637,0.9479476317966349,True,0.04346732852937396,0.07277727040437114,0.18283143502191795,1.0203503784732648,0.9863303231652435,0.944981462841342,0.8723985037227208,14,20
5,path,0.8,0.6,0.0,4,1.5,-0.004854145482981509,0.004854145482981509,2.0048541454829816,0.9452487954977855,True,0.04294308602966379,0.06814174706095492,0.16696870665517657,1.0223139572060271,0.9949136422213873,0.9483046893758659,0.8821648594842194,14,20
5,path,0.8,0.2,0.0,4,1.5,-0.0005749201717210131,0.0005749201717210131,2.000574920171721,0.9470752008002898,True,0.009134648273342982,0.008175210188789223,0.020861447350770605,1.0347831391493185,1.0339059082209434,0.9935023277182814,0.9835847980169212,14,20
5,path,0.8,1.0,0.0,4,1.5,-0.010933655991347862,0.010933655991347862,2.010933655991348,0.9426332322299262,True,0.34261058000820843,0.16445408360183036,0.37757309062523636,0.980776717809228,0.5163265703816559,0.8837331762774108,0.768014663796026,14,20
5,star,0.8,0.2,-0.25,4,1.5,0.060875572214534025,-0.060875572214534025,1.939124427785466,0.9822775461018614,True,0.05261551160328959,0.11249084157718302,0.0289556418775622,1.0189926359509642,1.0319334899764976,0.9174373594710064,0.9773599326439077,14,20
5,star,0.8,0.6,-0.25,4,1.5,0.007383305812121296,-0.007383305812121296,1.9926166941878787,0.9835599009784407,True,0.6769573400648081,0.6235729346740325,0.18291029853262616,0.5163265703816559,1.024643445704046,0.6671744541492735,0.8723504892665398,14,20
5,star,0.8,1.0,-0.25,4,1.5,-0.01086766654901625,0.01086766654901625,2.010867666549016,0.9839863695927249,True,0.7512081002024429,1.010916972402331,0.3263048019658918,1.4945564644599816,1.0209412170705403,0.5528730224320516,0.7929938413186713,14,20
5,star,0.8,0.2,-0.2,4,1.5,0.04626731829620717,-0.04626731829620717,1.9537326817037928,0.9826325465774385,True,0.050613652398777464,0.1028988546528501,0.026420900173415664,1.023356979286269,1.0328765373479818,0.9239419456236782,0.9793007932024412,14,20
5,star,0.8,0.6,-0.2,4,1.5,-0.00020167225274331883,0.00020167225274331883,2.0002016722527434,0.9837378208913915,True,0.6840807291625652,0.5972995448474914,0.1740490826920207,0.5163265703816559,1.022996250221905,0.6766634049613199,0.8777787333263832,14,20
5,star,0.8,1.0,-0.2,4,1.5,-0.01928230559670967,0.01928230559670967,2.0192823055967097,0.9841811011993202,True,0.726663465719851,0.9910938343539015,0.3183722235388047,1.4708190449204388,1.032906724055295,0.5577633478967515,0.7970046786339763,14,20
5,star,0.8,0.2,0.0,4,1.5,-0.0038112558830108376,0.0038112558830108376,2.003811255883011,0.9838221495342497,True,0.04139497614455645,0.07723353060025327,0.019699451047670832,1.0302824933197736,1.0343193175223573,0.9418086351651139,0.9844849495434402,14,20
5,star,0.8,0.6,0.0,4,1.5,-0.029100126198317013,0.029100126198317013,2.029100126198317,0.9844067963330853,True,0.7154956164487614,0.5084248937669874,0.14486093390763877,0.5163265703816559,1.0203340668976262,0.7108634576494116,0.8961466835967529,14,20
5,star,0.8,1.0,0.0,4,1.5,-0.050551265748044666,0.050551265748044666,2.0505512657480445,0.9848942707708052,True,0.6374068993741318,0.9130161765473308,0.2877612904968239,0.5163265703816559,1.0553754567536378,0.5778967413897413,0.8128699868600194,14,20
